,England Imports cif,England Re-exports,England Exports,GB Imports,GB Re-exports,GB Exports,Source
1697,4543,1096,2295,,,,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1698,6248,1608,3582,,,,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1699,7622,1570,3655,,,,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1700,7902,2081,3731,,,,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1701,7878,2192,4049,,,,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1702,5572,1144,3130,,,,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1703,6014,1622,3888,,,,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1704,7261,1804,3723,,,,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1705,,,,,,,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1706,5350,1447,4142,,,,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1707,5863,1602,4173,,,,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1708,6028,1495,4404,,,,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1709,6268,1507,4406,,,,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1710,5396,1566,4726,,,,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1711,6130,1875,4088,,,,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1712,,,,,,,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1713,7539,2402,4490,,,,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1714,7765,2440,5564,,,,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1715,7409,1908,5015,,,,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1716,7699,2243,4087,,,,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1717,8359,2613,5384,,,,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1718,8557,1980,4381,,,,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1719,7000,2321,4514,,,,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1720,8162,2300,4611,,,,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
1721,7900,2689,4512,,,,"From Dean & Cole, British Economic Growth, 2nd Edition, CUP, 1969"
