reporting,partner,partner type,year,import,export,total,currency,source
UnitedKingdom,Worldestimated,,1796,31100000,30100000,61200000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldundefined,,1796,39600000,,39600000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldbestguess,,1796,31100000,30100000,61200000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldestimated,,1797,25100000,27500000,52600000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldundefined,,1797,34400000,,34400000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldbestguess,,1797,25100000,27500000,52600000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldestimated,,1798,38300000,32200000,70500000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldundefined,,1798,49600000,,49600000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldbestguess,,1798,38300000,32200000,70500000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldestimated,,1799,41500000,36800000,78300000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldundefined,,1799,50900000,,50900000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldbestguess,,1799,41500000,36800000,78300000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,WorldFedericoTena,,1800,48403550.6663089,38336425.6327699,86739976.29907879,sterling pound,FEDERICO-TENA
UnitedKingdom,Worldestimated,,1800,47600000,37700000,85300000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldundefined,,1800,62300000,,62300000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldbestguess,,1800,47600000,37700000,85300000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,WorldFedericoTena,,1801,56723180.8056432,41271705.0306293,97994885.83627251,sterling pound,FEDERICO-TENA
UnitedKingdom,Worldestimated,,1801,55800000,40600000,96400000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldundefined,,1801,68700000,,68700000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldbestguess,,1801,55800000,40600000,96400000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,WorldFedericoTena,,1802,42728931.2333326,46920046.4978461,89648977.7311787,sterling pound,FEDERICO-TENA
UnitedKingdom,Worldestimated,,1802,41800000,45900000,87700000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
