year,FrenchBudget
1668,17
1669,17
1670,17
1671,17
1672,10
1673,10
1674,10
1675,10
1676,10
1677,10
1678,10
1679,8
1680,8
1681,8
1682,8
1683,8
1684,8
1685,8
1686,8
1687,8
1688,20
1689,20
1690,20
1691,20
1692,20
1693,20
1694,20
1695,20
1696,20
1697,20
1698,"15,6666666666667"
1699,"15,6666666666667"
1700,"15,6666666666667"
1701,"15,6666666666667"
1702,"13,3333333333333"
1703,"13,3333333333333"
1704,"13,3333333333333"
1705,"13,3333333333333"
1706,"13,3333333333333"
1707,"13,3333333333333"
1708,"13,3333333333333"
1709,"13,3333333333333"
1710,"13,3333333333333"
1711,"13,3333333333333"
1712,"13,3333333333333"
1713,"13,3333333333333"
1714,6
1715,6
1716,"6,1"
1717,"5,7"
1718,"5,2"
1719,6
1720,"8,2"
1721,"7,1"
1722,8
1723,"9,9"
1724,"9,5"
1725,"8,4"
1726,"6,7"
1727,"8,8"
1728,8
1729,"7,7"
1730,"7,9"
1731,"8,3"
1732,"8,5"
1733,"10,4"
1734,"11,5"
1735,12
1736,"6,6"
1737,"8,4"
1738,"9,4"
1739,"9,4"
1740,"15,4"
1741,"19,3"
1742,"12,4"
1743,"14,1"
1744,"27,4"
1745,"27,5"
1746,"29,8"
1747,"30,2"
1748,"24,8"
1749,20
1750,"21,6"
1751,"19,7"
1752,22
1753,"17,3"
1754,"17,7"
1755,"31,3"
1756,40
1757,39
1758,"42,3"
1759,"56,9"
1760,"23,7"
1761,"30,2"
1762,"24,5"
1763,20
1764,20
1765,20
1766,20
1767,20
1768,20
1769,20
1770,20
1771,20
1772,20
1773,20
1774,"17,7"
1775,"20,5"
1776,"27,2"
1777,"41,1"
1778,74
1779,100
1780,110
1781,147
1782,189
1783,138
