SHIP_NAME	CAPTAIN_NAME	CAPTOR_NAME	TONNAGE	CREW_SIZE	DAY_CAPTURE	MNTH_CAPTURE	YEAR_CAPTURE	HCA
		0	0		1	0		HCA34-6
ABEILLE	FORLET	HEBE	110	0	9	1	96	HCA34-61
ABEILLE INDUSTRIEUSE								HCA
ABEILLE INDUSTRIEUSE	LE GOFF	PHOENIX PR	140	0	21	5	98	HCA34-62
ABEILLE RENE DENCE	LA GARDE	DRYAD	290	70	30	6	96	HCA34-61
ACHERON	DU TAILLY	BERESFORD	3					HCA
ACHERON	DU TAILLY	BERESFORD CR	60	38	22	9	97	HCA34-62
ACHILLE	BRIUNI	PIGMY	350	44	31	7	1	HCA34-63
ACHILLE	DUTRA	ATALANTA SLOOP	280	0	17	12	6	HCA34-64
ACHILLE	HUGUES	SIRIUS	280	0	13	8	3	HCA34-64
ACHILLE	VILLEGRIS	HOWES FL	298	0	15	7	94	HCA34-61
ACR								HCA
ACTEON	DEPOGE	EGYPTIENNE	281	26	9	11	5	HCA34-64
ACTIF	///	MACOON	90	23	2	12	96	HCA34-61AA
ACTIF	BALLET,	THAMES	281	35	27	1	1	HCA34-60
ACTIF	GANTREAU	PHAETON	101	6	3	5	97	HCA34-61
ACTIF	LAURIOL	SHANNON FRIGATE	280	0	22	6	9	HCA34-65
ACTIF	LOISOL	GREYHOUND	290	30	4	5	93	HCA34-61
ACTIF	MOREL	STAG CUTTER	120	14	4	11	96	HCA34-61
ACTIVE	BROUDEVI	SPITFIRE	280	0	8	2	99	HCA34-63
ADELAIDE	BALLET	GANNET SLOOP	280	0	19	7	3	HCA34-64
ADELAIDE	MARQUIS	DISPATCH	110	0	22	11	99	HCA34-63
ADELAIDE	THUILLIER	HIRONDELLE	280	0	2	10	1	HCA34-63
ADELAINE	JALLAND	ARTOIS FR	100	0	21	4	95	HCA34-61
ADELE	DUVEILLA	INDEFATIGABLE	280	39	23	9	8	HCA34-65
ADELE	MANGE	KINGSTON PR	290	0	13	6	97	HCA34-62
ADELE	MANGE	KINGSTON PR	290	0	13	6	97	HCA34-62
ADELEIDE	CANELLA	PIGMY	350	48	31	7	1	HCA34-63
ADOLPHE	DESBROSSES	IRLAM PR	190	0	22	11	3	HCA34-64
ADOLPHE	ICART	NAUTILUS	130	36	31	7	97	HCA34-62
ADOUR	AULIDE	S MARGARETTA	61	47	18	8	97	HCA34-62
AFFAME	JEGO	FLORA FR	180	90	1	8	93	HCA34-61
AFFRIQUE	HENRY	SPITFIRE	290	21	28	3	93	HCA34-61
AGREABLE	CANNAE	HARRIOT	190	0	8	5	93	HCA34-61
AGREEABLE	CANNAE	HARRIOT	190	0	8	5	93	HCA34-61
AIGLE	HARAMENDY	LATONA	180	62	6	2	98	HCA34-62
AIMABLE ADELAIDE	HERPIN	ENTERPRIZE PR	140	0	12	9	98	HCA34-62
AIMABLE AURORA	LABADY	SURPRISE	290	0	28	5	93	HCA34-61
AIMABLE CATHERINE BOMB	CARLES	AGAMEMNON	0	0	0	0	0	HCA32-499
AIMABLE EMILIE	HERDNON	DESPATCH	110	0	22	11	99	HCA34-63
AIMABLE JEANNETTE	HOUTE	LOTTERY PR	140	0	3	10	97	HCA34-62
AIMABLE LIBERTE	RACINE	PHAETON	280	19	16	4	93	HCA34-61
AIMABLE MADELAINE	OZAINE	GALATEA FR	100	0	21	4	95	HCA34-61
AIMABLE MANETTE	ROBIN	SPITFIRE	280	66	13	6	97	HCA34-62
AIMABLE MARIE	SEMINEL	HIND	200	23	16	4	93	HCA34-61
AIMABLE ROSE	LE CHEVALIER	PITT PR	140	0	7	9	97	HCA34-62
AIMABLE ROSE	LEONARD	PHOENIX	140	0	23	7	99	HCA34-63
AIMABLE SOCIETE	LANCES	PILL PR	270	0	9	4	99	HCA34-63
AIMABLE SUZANNE	BOGNETTEAU	DOLPHIN	320	0	20	5	94	HCA34-61
AIMABLE SUZANNE	LAVERGNE	ALLIGATOR	320	0	16	8	93	HCA34-61
AIMABLE THERESE	COFFIN	ANN	380	25	3	10	99	HCA34-63
AIMABLE VICTOIRE	FLEURY	BRILLIANT	110	0	15	6	93	HCA34-61
AIMABLE VICTOIRE	FLORANCE	TRITON	280	87	7	3	99	HCA34-63A
AIME CHERIE	GANDIN	DESPATCH	110	0	17	7	0	HCA34-63
AJAX	BOUTOUCHE	HAZARD PR	140	22	3	9	0	HCA34-63
ALCIDE	///	VICTORY	316	15	9	6	96	HCA34-61
ALERT	DEMAY	KEITH SQ	251	8	6	3	0	HCA34-63
ALERT	RIOUDELAGESSE	FISHGUARD	280	84	2	10	0	HCA34-63
ALEXANDER	GUILLEMET	BRIDPORTS SQ	296	66	7	9	95	HCA34-61
ALEXANDRE	///	STRACHAN SQ	290	0	24	6	95	HCA34-9
ALEXANDRE	///	STRACHAN SQ	290	0	24	6	95	HCA34-61
ALEXANDRINE	SEPTAN	CHARON	280	28	19	6	98	HCA34-62
ALLEGRE	LE HUBY	SPITFIRE	290	31	23	2	97	HCA34-62
ALLERTE	DRIEU	CARYSFORD	210	75	22	1	98	HCA34-62
AMARANTHE	DELAMERE	DIAMOND	290	83	2	2	97	HCA34-62
AMBITIEUX	GUILLEMEN	LATONA FR	290	68	28	6	93	HCA34-61
AMBUSCADE	CLEMENT	CANADA	294	86	20	12	98	HCA34-62
AMERICA	LERETIER	HOWE FL	297	20	15	7	94	HCA34-61
AMERIQUE	DAVID	LATONA	290	22	16	4	93	HCA34-61
AMERIQUE	ROSSY	THESEUS,	150	0	14	8	1	HCA34-60
AMI DE LA NATION	MATRE	ALLIGATOR	140	0	6	11	93	HCA34-61
AMI DES LOIX	SCORPERY	HOUND CR	290	36	28	5	93	HCA34-61
AMI DES LOIX	SENSSERY	HOUND CR	0	35	0	0	93	HCA32-494 1
AMI DES PAL								HCA
AMI DES PLANTEURS	TARDIF	///	110	90	29	6	93	HCA32-497 1
AMIS	GARNIER	SPEEDWELL	280	18	12	12	97	HCA34-62
AMIS	HERCE	INDEFATIGABLE	100	0	13	5	96	HCA34-61
AMIS	MONACH	SNAKE	290	0	28	11	0	HCA34-63
AMIS	PATFRERE,	RACCOON	290	31	27	5	97	HCA34-62
AMIS DE BORDEAUX	PETRONILLE	POLYPHEMUS	60	80	23	2	97	HCA34-62
AMIS FIDELLES	TRUFFER	STAG	110	0	4	9	93	HCA34-61
AMITIE	BARNARD	ALLIGATOR	320	0	21	1	94	HCA34-61
AMITIE	MOURAILLEAU	PHOENIX PR	140	0	21	3	98	HCA34-62
AMITIE	ZEPART	PLYMOUTH	280	55	3	5	97	HCA34-62
ANACREON	BLAUCHERNAN	CHAMPION	370	54	27	7	99	HCA34-63
ANDROMACQUE	MOREL	WARREN SQ	392	85	14	10	96	HCA34-61
ANETTE CHERIE	///	VALIANT	290	0	13	6	97	HCA34-62
ANGE GARDIENNE	///	WARREN SQ	100	0	27	4	96	HCA34-61
ANGELIQUE	NICOLAIN	DOLPHIN LR	320	0	25	5	94	HCA34-61
ANNE	ALLANIEUX	PELLEW SQ	280	23	3	9	0	HCA34-60
ANNE	NOEL	ST FIORENZO	290	0	21	1	97	HCA32-62
ANTHOINE DESIRE	GUERIN	PHOENIX PR	140	0	21	3	98	HCA34-62
ANTICHRIST	SCORSSERY	FAVOURITE	370	53	2	6	1	HCA34-63
ANTOINE	RABIN	UNICORN	280	0	27	7	99	HCA34-63
ARAIGNEE	MOSSE	TRITON	280	39	9	11	98	HCA34-62
ARGONAUTE	NEEL	GALATEA	60	36	7	9	97	HCA34-62
ARGUS	MARTIN	POMONE	281	4	24	5	99	HCA34-63
ARRISO	JOURD	CHARMING MOLLY	100	13	6	11	93	HCA34-61
