SHIPNAME	GETM	CAPTAINNAME	OWNER	PORT	TONNAGE	CANONS	CARRON	SWIVEL	CREW	CAPTURED/NOT	UNDOC_1	CRUISEYEAR	UNDOC_2	CONSTRUCTION_YEAR
A PROPOS		VALENCE JER	PECHE LS	STJ	23				24	T		1798		
A PROPOS		HONDARRAGUE D	LASSERRE RAIMOND	STJ	9			4	17		1	1808		1794
ABEILLE				CAD							1	1801		
ABOLLEMAIS				CON		6			22			1811		
ABONDANCE		CASTELLINI ANT	ARENA BARTH	COR	9	1		4	28			1797		
ABONDANCE		CASTELLINI ANT	CASTELLINI ANT	COR	10	1		6	6			1797		
ACHERON		DU TAILLY	GUILHOM ET CIE	MOR	27		1	4	38	T		1797		
ACHILLE		BRUINI FR		ANC	80				44	T		1801		
ACHILLE				GEN								1810		
ACTEON		THIBAUD LS	COIRON FILS	NAN	150	16			96			1797		
ACTEON		THIBAUD LS	COIRON FILS	NAN	150	16			96		1	1798		
ACTIF		LOISOL NIC	CLERY	FEC	45				30	T	1	1793		
ACTIF		LAFOUD GATIEN C	OSSIN FELIX	NAN	80	12			97			1796		
ACTIF		MAGIE	DUFAITELLE	CAL	35	6		3	33	T		1796		
ACTIF		MERLE	DUFAITELLE	DUN	35				23	T		1796		
ACTIF		MOREL H		DUN	16				14	T		1796		
ACTIF		BOUCHERON		HAV					28			1797		
ACTIF		GAUTREAU	COSSIN FELIX	NAN	180	18			106	T		1797		
ACTIF		LAFOUD GATIEN C	OSSIN FELIX	NAN	80	12			97			1797		
ACTIF		COMMETE ET		DUN		4			22			1799		
ACTIF		BALLET HEN	DANET JN	BOR	180	18			135	T		1800		
ACTIF		CLEMENCE JN	RABION AINE	DIE								1807	1	
ACTIF		COREWYNDER	LE MAIRE	DUN	31	4			31	T		1807		
ACTIF		AREGNAUDEAU	LANUSSE BOUFFAN	LAR	70		6		57			1808		
ACTIF		CLEMENCE JEAN	RABION AINE	DIE						T		1808		
ACTIF		LAURIOL J J	DELAROCHE	NAN							1	1808		
ACTIF		NICQUET CYP	VILLEHUCHET	STM				2	24		1	1808		
ACTIF		MAYENNE LS		DUN	16		1		22			1810		
ACTIF	G ET M		VANVLIEME	AMS						T		1810		
ACTIF			COALPOND	CON								1812		
ACTIF		HERPIN JULIEN	LA CHAMBRE	STM	16	1			27			1813		1812
ADELAIDE		BINARD B	BOURCARD FILS CIE	NAN	45	2			49			1798		
ADELAIDE		CANELLA	PICHAT	ANC	60	3			48			1800		
ADELAIDE		CANELLA	PICHAT	ANC	60	3			48	T		1801		
ADELE			DUFOU JOGUERE	NAN								1799		
ADELE		MALO G	MESSE FRAN	CAL					50			1799		
ADELE	G ET M	DUVEILLA JOS	BOSE ET CIE	BOR	150	6			39	T		1808		
ADOLPHE		ICART PRE	SUCHEVAL DUGLOS	BOU	38	5			36	T		1797		
ADOLPHE			MERLIN DUBROEUEL	HAV								1801		
ADOLPHE		FOURMENTIN JACQ	MERLIN DUBROEUIL	BOU		16			40			1803	4	
ADOLPHE		FOURMENTIN JACQ	MERLIN DUBROEUIL	BOU		16			40			1804		
ADOLPHE		FOURMENTIN JACQ	MERLIN DUBROEUIL	BOU		16			40			1805		
ADOLPHE		FOURMENTIN JACQ	MERLIN DUBROEUIL	BOU		16			40			1806		
ADOLPHE		FOURMENTIN JACQ	MERLIN DUBROEUIL	BOU		16			40			1807		
ADOLPHE		LECLERC JACQ		DUN	46	14			47			1807		
ADOLPHE			ANDRIEL WOLFF	DAN								1811		
ADOLPHE NO TWO		FOURMENTIN JACQ	MERLIN DUBROEUIL	CAL						T		1807		
ADONIS			RENOU JN	NAN							1	1797		
ADOUR		AULIACQ LS	BASTERRECHE FRS	BAY	150	16			147	T		1797		
ADOUR		MONDELOT ALEX								T		1803		
ADRIATIQUE		ROBAYLIE B		CAP							1	1800		
AFFAME		JEGO JN	AUGIER	LOR	150	12		6	90	T	1	1793		
AFFRIQUE		HENRY ARMAND	FIRON JN	HAV	22			6	21	T	1	1793		
AFRICAIN		HENNERALY	MEYNDEC	MAR	450	18						1793		1792
AFRICAIN	G ET M	GOUVERNE FR	GOZLAV ET TAMA	MAR	948							1802		
AFRICAINE		LENWULLERS	LABEDULHE	BAY	80	14			57			1801		
AGATHE		COR	AGUILLON FOIS	LAS							1	1810		
AGILE			SEREC HENRY	LOR								1803		
AGILE		CAMBON	BALGUERIE JUN	LOR	64	2			14	T		1809		
AGLAE			MICHAUD	CAL								1809	2	
AGLAE			MICHAUD	CAL								1810		
AGLAE			MICHAUD	CAL								1811		
AIGLE		DARTIGUE	BONNET	LOR							1	1797		
