IDPrize,Dummy_Prize,Period,General Class,Ship Name,Alt. Ship Name,Year renamed1 ,Ship Name1,Type,Gun_wh,Gun_wos,Swivels,Mortar,Minions,Sakers,Tonnage,Crew Size Home,Crew Size Overseas,Crew Size Peace,How to Navy,Captor,Country of Origin,Previous Owner,Month Taken,Year to Navy,Place Taken,Region Taken,Place Built,Year Built,Original Owner,Fate,Fate1,Place Lost,Month Lost,Year Lost,Year Retaken,
1,1,1688,Fourth Rates,Tiger Prize,,,,,48,42,,,,,,,,,Taken,,Turkish,,,1678,,,,,,,Foundation,Sheerness,,1696,,
2,1,1688,Fourth Rates,Mordaunt,,,,,46,40,,,,,,,,,Purchased,,English,Privateer,,1683,,,,,,,Wrecked,Cuba,11,1693,,
3,1,1688,Fifth Rates,Swan,Swann,,,,32,28,,,,,,,,,Purchased,,Dutch,Captain Anthony Young,,1673,,,,,,,Wrecked,Jamaica,6,1692,,
4,1,1688,Fifth Rates,Saint Paul,,,,,32,28,,,,,,,,,Taken,,Dutch,,,1678,,,,,,,Sold,,5,1689,,
5,1,1688,Fifth Rates,Helderenberg,,,,,30,28,,,,,,,,,Taken,,Dutch,Duke of Monmoutth,,1686,,,,,,,Run Down,Isle of Wight,10,1688,,
6,1,1688,Sixth Rates,Sally Rose,Rose,,,,16,14,,,,,,,,,Taken,,Salee,,,1684,,,,,,,Sold,,,1696,,
7,1,1688,Sixth Rates,Dumbarton,Dunbarton,,,,20,18,,,,,,,,,Taken,,Earl of Argyle ,Earl of Argyle ,,1685,,,,,,,Cast and condemned,Virginia,6,1691,,
8,1,1688,Ketches,Quaker,,,,,10,,,,,,,,,,Purchased,,,Mr Moore,,1671,,,,,,,Sold,,5,1698,,
9,1,1688,Ketches,Kingfisher,,,,,4,,,,,,,,,,Purchased,,,,,1684,,,,,,,Taken by French,,3,1690,,
10,1,1688,Fireships,Castle,,,,,8,,,,,,,,,,Purchased,,,,,1672,,,,,,,Sunk,,8,1692,,
11,1,1688,Fireships,Ann and Christopher,,,,,8,,,,,,,,,,Purchased,,,,,1672,,,,,,,Sold,Portsmouth,,1692/3,,
12,1,1688,Fireships,Young Sprag,Spragge,,,,6,,,,,,,,,,Purchased,,,Admiral Sir Edward Spragge,,1673,,,,,,,Sunk,Portsmouth,,1693,,
13,1,1688,Fireships,Sophia,,,,,.,,,,,,,,,,Taken,Kingfisher,Duke of Argyle,Duke of Argyle,,1685,,,,,,,BU,,,1713,,
14,1,1688,Fireships,Half Moon,,,,,32,,,,,,,,,,Taken,,Salee,,,1685,,,,,,,Expended,La Hogue,5,1692,,
15,1,1688,Unlisted,Little London,,,,,.,,,,,,,,,,,,,,,1672,,,,,,,Sold ,,,1697,,
16,1,1688,Unlisted,Sampson,,,,,8,12,,,,,,,,,Purchased,,,,,1679,,,,,,,Expended,,3,1689,,
17,1,1689-97,Small Line of Battleships,Content Prize,,,,3rd rate,70,62,,,,,1130 1/5,440,320,,Taken,Carlisle,French,,6,1695,,,Toulon,1686,,,Hulked,,,1702,,
18,1,1689-97,Small 2-deckers,Saudadoes,Saudadoes Prize,,,5th rate,40,36,,,,,385,180,150,115,Taken,,French,,9,1692,off Saudadoes,,,,,,Hulked,,,1708,,
19,1,1689-97,Small 2-deckers,Trident,Trident Prize,,,4th rate,58,50,,,,,762 1/2,,,,Taken,,French,,6,1695,Mediterranean,,Toulon,1688,,,Breakwater,,,1702,,
20,1,1689-97,Small 2-deckers,Lewis Prize,Saint Lewis Prize,,,6th rate,42,36,,,,,460,180,150,115,Taken,Medway,French,,,1696,,,St. Malo,1696,,,Hulked,,,1701,,
21,1,1689-97,Small 2-deckers,Medway Prize,,,,4th rate,48,42,,,,,500,250,200,150,Taken,Medway,French,,8,1697,,,,,,,Hulked,,,1709,,
22,1,1689-97,Fifth Rates,Lively Prize,,,,,30,,,,,,309,130,110,85,Taken,,French,,7,1689,,,,,,,Retaken by French,,10,1689,,
23,1,1689-97,Fifth Rates,Play Prize,,,,,30,,,,,,367,,,,Taken,,French,,,1689,,,Dunkirk,1689,,,Breakwater,,,1697,,
24,1,1689-97,Fifth Rates,Conception Prize,,,,,32,,,,,,375,,,,Taken,,French,,,1690,,,,,,,Wrecked,,,1694,,
25,1,1689-97,Fifth Rates,Virgin Prize,,,,,32,,,,,,324,,,,Taken,Happy Return,French,,,1690,,,,,,,Sold,,,1698,,
26,1,1689-97,Fifth Rates,Dover Prize,,,,,32,,,,,,329,,,,Taken,Dover,French,,,1693,,,,,,,Sold,,,1698,,
27,1,1689-97,Fifth Rates,Diligent Prize,,,,,32,,,,,,556,,,,Taken,Ruby,French,,,1694,,,Le Havre,1691,,,Sold,,,1698,,
28,1,1689-97,Fifth Rates,Ruby Prize,,,,,40,,,,,,420,,,,Taken,Ruby,French,,,1694,,,,,,,Sold,,,1698,,
29,1,1689-97,Fifth Rates,Betty,,,,,32,28,,,,,371 65/94,135,115,90,Purchased,,,,,1695,,,,,,,Taken by French,,9,1695,1697,
30,1,1689-97,Fifth Rates,Rainbow Prize,,,,,38,32,,,,,345 91/94,,,,Taken,Medway,French,,,1696,,,,,,,Sold,,,1698,,
31,1,1689-97,Fifth Rates,Thunderbolt Prize,,,,,32,28,,,,,530,135,115,90,Taken,Content,French,,,1696,,,L'Orient,1695,,,Hulked,,,1699,,
32,1,1689-97,Corvettes (large Sixth Rates),Swift Prize,,,,,20,,,,,,288,80,,,Taken,Nonsuch,French,,,1689,,,Dunkirk,1683,,,Discarded,,,1695,,
33,1,1689-97,Corvettes (large Sixth Rates),Henry Prize,,,,,24,,,,,,246,80,,,Taken,Dover ,French,,,1690,,,,,,,Sold,,,1698,,
34,1,1689-97,Corvettes (large Sixth Rates),Crown Prize,,,,,26,,,,,,223,,,,Taken,,French,,,1691,,,,,,,Wrecked,Dartmouth,2,1692,,
35,1,1689-97,Corvettes (large Sixth Rates),Sun Prize,,,,,24,22,,,,,214,,,,Taken,,French,,,1692,,,,,,,Sold,,,1701,,
36,1,1689-97,Corvettes (large Sixth Rates),Legore,,,,,26,,,,,,315 1/2,,,,Taken,York,French,,8,1692,,,,,,,Unknown,,,,,
37,1,1689-97,Corvettes (large Sixth Rates),Mary de Ponchartine,,,,,26,,,,,,336,,,,Taken,"Reserve, Foresight",French,,,1694,,,,,,,Unknown,,,,,
38,1,1689-97,Corvettes (large Sixth Rates),Queen Prize,,,,,26,,,,,,288,,,,Taken,Adventure,French,,,1694,,,,,,,Unknown,,,,,
39,1,1689-97,Small Sixth Rates,Blade of Wheat,,,,,10,,,,,,150,,,,Taken,,French,,,1689,,,,,,,Wrecked,Mill Bay,12,1689,,
40,1,1689-97,Small Sixth Rates,Dragon Prize,,,,,,,,,,,,,,,Taken,,French,,6,1689,,,,,,,Lost,River Thames,1,1690,,
41,1,1689-97,Small Sixth Rates,Saint Albans Prize,,,,,18,,,,,,263,90,,,Taken,Saint Albans,French,,10,1691,,,,,,,Sold,,,1698,,
42,1,1689-97,Small Sixth Rates,Saint Martin,,,,,18,,,,,,177,,,,Taken,Pembroke,French,,,1690,,,,,,,Discarded,,,1695,,
43,1,1689-97,Small Sixth Rates,Germoon,Germoon Prize,,,6th rate,10,,4,,,,103,50,,,Taken,Chester,French,,,1691,,,,,,,Wrecked,Porto Bello,7,1700,,
44,1,1689-97,Small Sixth Rates,Goodwin Prize,,,,,6,,,,,,72,35,,,Taken,Goodwin,French,,11,1691,,,,,,,Taken by French,,3,1695,,
45,1,1689-97,Small Sixth Rates,Marianna Prize,,,,,18,,,,,,202,85,,,Taken,"York, Dover",French,,1,1693,,,,,,,Sold,,,1698,,
46,1,1689-97,Small Sixth Rates,Mermaid,,,,,12,,,,,,174,40,,,Taken,Adventure,French,,11,1692,,,,,,,Burnt by accident,Plymouth,2,1693,,
47,1,1689-97,Small Sixth Rates,Previous Stone,Hyacintha,,,,12,,,,,,302,45,,,Taken,"Deptford, Portsmouth",French,,11,1692,,,,,,,Unknown,,,,,
