"year","colonies","france"
1700,"Guadeloupe",0
1701,"Guadeloupe",0
1702,"Guadeloupe",0
1703,"Guadeloupe",0
1704,"Guadeloupe",0
1705,"Guadeloupe",0
1706,"Guadeloupe",0
1707,"Guadeloupe",0
1708,"Guadeloupe",0
1709,"Guadeloupe",0
1710,"Guadeloupe",0
1711,"Guadeloupe",0
1712,"Guadeloupe",0
1713,"Guadeloupe",0
1714,"Guadeloupe",0
1715,"Guadeloupe",0
1716,"Guadeloupe",0
1717,"Guadeloupe",0
1718,"Guadeloupe",0
1719,"Guadeloupe",0
1720,"Guadeloupe",0
1721,"Guadeloupe",0
1722,"Guadeloupe",0
1723,"Guadeloupe",0
1724,"Guadeloupe",0
1725,"Guadeloupe",0
1726,"Guadeloupe",0
1727,"Guadeloupe",0
1728,"Guadeloupe",0
1729,"Guadeloupe",0
1730,"Guadeloupe",0
1731,"Guadeloupe",0
1732,"Guadeloupe",0
1733,"Guadeloupe",0
1734,"Guadeloupe",0
1735,"Guadeloupe",0
1736,"Guadeloupe",0
1737,"Guadeloupe",0
1738,"Guadeloupe",0
1739,"Guadeloupe",0
1740,"Guadeloupe",0
1741,"Guadeloupe",0
1742,"Guadeloupe",0
1743,"Guadeloupe",0
1744,"Guadeloupe",0
1745,"Guadeloupe",0
1746,"Guadeloupe",0
1747,"Guadeloupe",0
1748,"Guadeloupe",0
1749,"Guadeloupe",0
1750,"Guadeloupe",0
1751,"Guadeloupe",0
1752,"Guadeloupe",0
1753,"Guadeloupe",0
1754,"Guadeloupe",0
1755,"Guadeloupe",0
1756,"Guadeloupe",0
1757,"Guadeloupe",0
1758,"Guadeloupe",0
1759,"Guadeloupe",0
1760,"Guadeloupe",0
1761,"Guadeloupe",0
1762,"Guadeloupe",0
1763,"Guadeloupe",0
1764,"Guadeloupe",0
1765,"Guadeloupe",0
1766,"Guadeloupe",0
1767,"Guadeloupe",0
1768,"Guadeloupe",0
1769,"Guadeloupe",0
1770,"Guadeloupe",0
1771,"Guadeloupe",0
1772,"Guadeloupe",0
1773,"Guadeloupe",0
1774,"Guadeloupe",0
1775,"Guadeloupe",0
1776,"Guadeloupe",0
1777,"Guadeloupe",0
1778,"Guadeloupe",0
1779,"Guadeloupe",0
1780,"Guadeloupe",0
1781,"Guadeloupe",0
1782,"Guadeloupe",0
1783,"Guadeloupe",0
1784,"Guadeloupe",0
1785,"Guadeloupe",0
1786,"Guadeloupe",0
1787,"Guadeloupe",0
1788,"Guadeloupe",0
1789,"Guadeloupe",0
1790,"Guadeloupe",0
1791,"Guadeloupe",0
1792,"Guadeloupe",0
1793,"Guadeloupe",0
1794,"Guadeloupe",0
1795,"Guadeloupe",0
1796,"Guadeloupe",0
1797,"Guadeloupe",0
1798,"Guadeloupe",0
1799,"Guadeloupe",0
1800,"Guadeloupe",0
1801,"Guadeloupe",0
1802,"Guadeloupe",0
1803,"Guadeloupe",0
1804,"Guadeloupe",0
1805,"Guadeloupe",0
1806,"Guadeloupe",0
1807,"Guadeloupe",0
1808,"Guadeloupe",0
1809,"Guadeloupe",0
1810,"Guadeloupe",0
1811,"Guadeloupe",0
1812,"Guadeloupe",0
1813,"Guadeloupe",0
1814,"Guadeloupe",0
1815,"Guadeloupe",0
1816,"Guadeloupe",0
1817,"Guadeloupe",0
1818,"Guadeloupe",0
1819,"Guadeloupe",0
1820,"Guadeloupe",0
1700,"St. Domingue",0
1701,"St. Domingue",0
1702,"St. Domingue",0
1703,"St. Domingue",0
1704,"St. Domingue",0
1705,"St. Domingue",0
1706,"St. Domingue",0
1707,"St. Domingue",0
1708,"St. Domingue",0
1709,"St. Domingue",0
1710,"St. Domingue",0
1711,"St. Domingue",0
1712,"St. Domingue",0
1713,"St. Domingue",0
1714,"St. Domingue",0
1715,"St. Domingue",0
1716,"St. Domingue",0
1717,"St. Domingue",0
1718,"St. Domingue",0
1719,"St. Domingue",0
1720,"St. Domingue",0
1721,"St. Domingue",0
1722,"St. Domingue",0
1723,"St. Domingue",0
1724,"St. Domingue",0
1725,"St. Domingue",0
1726,"St. Domingue",0
1727,"St. Domingue",0
1728,"St. Domingue",0
1729,"St. Domingue",0
1730,"St. Domingue",0
1731,"St. Domingue",0
1732,"St. Domingue",0
1733,"St. Domingue",0
1734,"St. Domingue",0
1735,"St. Domingue",0
1736,"St. Domingue",0
1737,"St. Domingue",0
1738,"St. Domingue",0
1739,"St. Domingue",0
1740,"St. Domingue",0
1741,"St. Domingue",0
1742,"St. Domingue",0
1743,"St. Domingue",0
1744,"St. Domingue",0
1745,"St. Domingue",0
1746,"St. Domingue",0
1747,"St. Domingue",0
1748,"St. Domingue",0
1749,"St. Domingue",0
1750,"St. Domingue",0
1751,"St. Domingue",0
1752,"St. Domingue",0
