,Totat net expenditures Thsd,Army—Net thsd,Navy—Net thsd,Ordnance—Net thsd,Total Gross Expenditures – Million,Army and Ordnance – Gross Million,Navy – Gross Million
1692,4255,1900,1239,254,,,
1693,5576,2346,1925,380,,,
1694,5602,2199,2132,239,,,
1695,6220,2559,1890,417,,,
1696,7998,1749,1922,253,,,
1697,7915,2646,2822,521,,,
1698,4127,1343,877,49,,,
1699,4691,1018,1232,44,,,
1700,3201,359,819,73,,,
1701,3442,442,1046,50,,,
1702,5010,1102,2094,117,,,
1703,5313,1770,1724,173,,,
1704,5527,2107,1630,157,,,
1705,5873,2146,1772,183,,,
1706,6692,2741,1949,271,,,
1707,8747,3188,2297,287,,,
1708,7742,3183,1909,229,,,
1709,9160,3969,2117,282,,,
1710,9772,4463,2422,276,,,
1711,15145,4853,7476,334,,,
1712,7864,2837,1776,165,,,
1713,6362,1267,1457,95,,,
1714,6185,884,1043,76,,,
1715,6228,924,1205,90,,,
1716,7076,2151,792,180,,,
1717,5885,980,443,39,,,
1718,6354,1204,1350,120,,,
1719,6152,1186,1293,159,,,
1720,6002,965,1181,108,,,
1721,5873,754,705,99,,,
1722,6978,1011,1666,108,,,
1723,5671,985,827,89,,,
1724,5438,856,630,120,,,
1725,5516,773,601,95,,,
1726,5543,992,695,100,,,
1727,5860,1191,833,115,,,
1728,6504,1378,1539,201,,,
1729,5711,1293,925,164,,,
1730,5574,1203,1033,123,,,
1731,5347,1353,815,140,,,
1732,4974,1012,700,113,,,
1733,4595,791,555,148,,,
1734,6360,707,2079,462,,,
1735,5852,1037,1545,155,,,
1736,5793,1185,1390,142,,,
1737,5129,835,933,327,,,
1738,4725,846,819,115,,,
1739,5210,1066,988,156,,,
1740,6161,1418,1607,187,,,
1741,7388,1776,2419,320,,,
1742,8533,2523,2795,340,,,
1743,8979,2878,2736,363,,,
1744,9398,3227,2709,364,,,
1745,8920,2790,2688,345,,,
1746,9804,3729,2396,579,,,
1747,11453,3679,3176,516,,,
1748,11943,4172,3361,571,,,
1749,12544,2339,5606,636,,,
1750,7185,1338,1385,228,,,
1751,6425,1383,895,102,,,
1752,7037,976,1854,154,,,
1753,5952,1140,849,133,,,
1754,6030,1071,944,150,,,
1755,7119,1399,1814,177,,,
1756,9589,2396,2714,426,,,
1757,11214,3210,3595,520,,,
1758,13200,4586,3893,547,,,
1759,15382,5744,4971,729,,,
1760,17993,8249,4539,682,,,
1761,21112,9923,5256,853,,,
1762,20040,8781,4892,746,,,
1763,17723,4067,7464,470,,,
1764,10686,2234,2150,279,,,
1765,12017,2702,3154,282,,,
1766,10314,1815,2467,276,,,
1767,9638,1696,1657,243,,,
1768,9146,1472,1431,296,,,
1769,9569,1438,1527,303,,,
1770,10524,1545,2082,236,,,
1771,10106,1514,2061,361,,,
1772,10725,1497,2738,334,,,
1773,9977,1581,1787,327,,,
1774,9566,1532,2030,298,,,
1775,10365,1765,1765,349,,,
1776,14045,4248,2745,549,,,
1777,15259,4677,3531,573,,,
1778,17940,5464,4563,957,,,
1779,19714,7112,4271,1074,,,
1780,22605,7210,6329,1330,,,
1781,25810,8929,6589,1546,,,
1782,29234,7755,10807,1564,,,
1783,23510,5332,6994,1341,,,
1784,24245,3301,9447,1014,,,
1785,25832,2390,11851,551,,,
1786,16978,1984,3127,372,,,
1787,15484,1803,1991,384,,,
1788,16338,2099,2262,547,,,
1789,16018,1899,2073,475,,,
1790,16798,2197,2482,545,,,
1791,17996,2009,3400,769,,,
1792,16953,1829,3331,417,,,
1793,19623,4829,2464,844,,,
1794,28706,9209,6127,1501,,,
1795,38996,14651,9626,1996,,,
1796,42372,14236,11518,2500,,,
1797,57649,15327,23580,2122,,,
1798,47422,14142,12793,1780,,,
1799,47419,14289,11614,1980,,,
1800,,,,,,,
1801,50991,15297,14707,1663,,,
1802,,,,,"65,5","20,1","17,3"
1803,,,,,"54,8","13,3",12
1804,,,,,53,"15,5","8,1"
1805,,,,,"62,8","22,2","11,9"
1806,,,,,"71,4","25,8","14,3"
1807,,,,,"72,9","24,8","16,3"
1808,,,,,"73,3",24,"16,9"
1809,,,,,78,"27,2","17,6"
1810,,,,,"81,5","28,9","19,4"
1811,,,,,"81,6",28,20
1812,,,,,"87,3","33,8","19,6"
1813,,,,,"94,8","36,5","20,8"
1814,,,,,"111,1","49,6","22,5"
1815,,,,,"112,9","49,6","22,8"
1816,,,,,"99,5","39,6","16,8"
1817,,,,,"71,3",18,"10,2"
1818,,,,,"58,7","11,1","6,6"
1819,,,,,"57,5","9,1","6,6"
1820,,,,,"57,6","10,3","6,4"
1821,,,,,"58,4","10,1","6,6"
1822,,,,,"58,4","10,4","6,3"
1823,,,,,"56,5","8,7","5,2"
1824,,,,,"54,3","8,7","5,6"
1825,,,,,"55,5",9,"6,2"
1826,,,,,"54,1","9,2","5,8"
1827,,,,,"56,1","10,2","6,5"
1828,,,,,"55,9","9,8","6,4"
1829,,,,,"53,5","9,5","5,7"
1830,,,,,"53,7","9,3","5,9"
1831,,,,,"51,9","8,6","5,3"
1832,,,,,"51,5","8,7","5,7"
1833,,,,,"50,6","8,9","4,9"
1834,,,,,"48,8","7,9","4,4"
1835,,,,,"48,9","7,6","4,5"
1836,,,,,"65,2","7,6","4,1"
1837,,,,,54,"7,9","4,2"
1838,,,,,"51,1",8,"4,8"
1839,,,,,"51,7","8,2","4,4"
1840,,,,,"53,4","8,5","5,3"
