,Great-Britain,Netherlands,France,Spain,Russia,Venice,USA,Ottoman Empire,Sweden,Denmark,Portugal
1649,,,,,,,,,,,13
1656,,,,,,29,0,28,,,
1688,78,66,92,18,0,,0,,,,
1689,74,71,96,19,0,,0,,,,
1690,71,61,100,20,0,,0,,,,
1691,68,60,114,21,0,,0,,,,
1692,70,61,115,22,0,,0,,,,
1693,81,65,122,23,0,,0,,,,
1694,87,74,120,24,0,,0,,,,
1695,97,74,125,24,0,,0,,,,
1696,99,73,119,24,0,,0,,,,
1697,107,73,118,25,0,,0,,,,
1698,115,72,118,25,0,,0,,,,
1699,117,81,118,26,0,,0,,,,
1700,115,86,118,26,0,,0,,38,29,
1701,117,86,118,23,0,,0,28,,,
1702,123,89,96,20,0,,0,,39,,
1703,117,88,101,17,0,,0,,50,50,
1704,119,87,104,14,0,,0,,40,,
1705,121,86,106,11,0,,0,,42,,
1706,120,85,105,9,0,,0,,43,,
1707,114,84,108,6,0,,0,,,,
1708,123,83,99,3,0,,0,,46,,
1709,124,82,96,0,0,,0,,37,,
1710,129,81,92,0,0,,0,,,,
1711,129,80,86,0,2,,0,,,,
1712,130,79,77,0,3,,0,,,,
1713,128,78,68,0,5,,0,,,,
1714,127,77,66,0,10,,0,,30,24,
1715,124,73,60,6,17,,0,,33,,
1716,122,70,48,11,16,26,0,24,,,
1717,122,66,43,17,15,33,0,50,,,
1718,122,63,32,22,32,,0,,,,
1719,121,59,23,3,26,,0,,,,
1720,120,56,22,5,29,,0,,,20,
1721,122,53,23,7,29,,0,,,,
1722,119,49,27,9,29,,0,,,,
1723,121,45,30,12,30,,0,,,,
1724,121,42,35,14,332,,0,,,,
1725,120,42,36,17,34,,0,,,,
1726,117,43,36,19,31,,0,,,,
1727,116,43,38,22,28,,0,,,,
1728,113,43,37,24,25,,0,,,,
1729,113,43,37,25,24,,0,,,,
1730,111,44,37,27,22,,0,,,,
1731,112,44,40,28,221,,0,,,,
1732,113,44,39,30,19,,0,,,,
1733,113,45,39,31,18,,0,,,,
1734,115,43,40,33,17,,0,,,,
1735,117,40,41,34,15,,0,,,,
1736,121,39,41,36,15,,0,,,,
1737,123,37,41,41,16,,0,,,,
1738,123,35,44,42,16,,0,,,,
1739,118,33,47,41,17,,0,,,,
1740,116,30,47,40,17,,0,,,,
1741,119,29,45,38,14,,0,,12,,
1742,117,35,46,37,15,,0,,16,,
1743,116,35,46,35,17,,0,,,,
1744,107,34,46,34,20,33,0,,,,
1745,110,34,47,32,11,,0,,,,
1746,112,33,44,34,24,,0,,,,
1747,122,33,37,35,24,,0,,,,
1748,123,33,41,36,23,,0,,,,
1749,114,33,47,37,23,,0,,,,
1750,116,33,53,38,23,,0,,,,
1751,116,33,55,40,22,,0,,,,
1752,115,32,58,42,22,,0,,,,
1753,117,31,59,43,21,,0,,,,
1754,118,29,62,45,21,,0,,,,
1755,119,29,63,45,21,,0,,,,
1756,117,29,67,46,20,,0,,,,
1757,95,27,71,46,22,,0,,,,
1758,103,27,59,47,21,,0,,,,
1759,109,25,49,50,20,,0,,,,
1760,107,25,50,52,19,,0,,"15,5",18,
1761,111,23,58,49,19,,0,,,,
1762,116,23,64,47,18,,0,,,,
1763,117,21,69,36,18,,0,,,,
1764,120,20,71,38,17,,0,,,,
1765,120,19,72,41,17,,0,,,,
1766,120,19,69,43,17,,0,,,,
1767,118,17,70,45,16,,0,,,,
1768,121,16,74,47,15,,0,,,,
1769,122,15,76,49,15,,0,,,,
1770,121,15,77,51,15,,0,14,,,
1771,118,13,76,53,16,,0,,,,
1772,115,12,80,56,16,,0,,,,
1773,111,12,78,58,17,,0,,,,
1774,110,11,75,60,17,,0,,,,
1775,108,11,75,61,17,,0,,,,
1776,109,11,75,62,18,,0,,,,
1777,106,14,75,64,18,,0,,,,
