,"English prices and wages, 1209-1914 (Gregory Clark)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(grams of Ag per metric) = (grams of Ag per £) * (pence per English)  /((pence per £)*(metric per English)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(A.) In English pence and English physical units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(B.) In grams of silver and metric physical units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Series no.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Raisins,",,,,,,,,,,Spade/,,,,,,,,,,,,,,,,,,,
Good or service,Barley,Beans,Beef,Beer-strong,Bricks,Books,Bread,Butter,Candles tallow,Candles Wax,Charcoal,Cheese,Cider,Cinnamon,Clothing,Coal,Coal London,Coal North,Coal rest of Eng.,Coal pithead,Coalgas,Coffee,Cotton,Cottoncloth,Cream,Eggs,Firewood,Flour,Ginger,Glassware,Hay,Herring,Honey,Hops,Housing,Iron-pig,Iron-manu,Linen cloth,Manu item,Milk,Mustard,Mutton,Nails,Oatmeal,Oats,Oil-lamp,Paper-foolscap,Parchment,Peas,Pepper,Pewter,Pork,Potato,Raisins/currants,Rice,Rye,Saffron,Salt,Salt Cod index,Salt Salmon,Shoes,Silk Thread,Soap,Spade/shovel,Stockings,Straw,Suet,Sugar,Tea,Tobacco,Treacle,Trenchers,Vinegar,Wine-Port,Wheat,Wheatflour,Wood,wool,Woolcloth,Workgloves,"Wage, farm","Wage, craft","Wage, bldg laborer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,currants,,,,,,,,,,shovel,,,,,,,,,,,,,,,,,,,
pence,12,12,1,1,1,12,1,1,1,1,1,1,1,1,12,12,12,12,12,12,12,1,1,1,1,1,12,1,1,1,12,1,1,1,12,1,1,1,1,1,12,1,1,1,12,1,1,12,12,1,1,1,12,1,1,12,1,1,,12,12,1,12,1,1,12,1,1,12,1,1,1,12,12,12,1,1,1,12,1,1,1,1,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
metric/Eng. unit,35.239,35.239,0.45359,3.7854,1,1,0.45359,0.45359,0.45359,0.45359,35.239,0.45359,3.7854,0.45359,1,1.016,1.016,1.016,1.016,1.016,28.3,0.45359,0.45359,0.45359,3.7854,1,1.016,0.45359,0.45359,1,1.016,,0.45359,0.45359,1,0.45359,0.45359,0.9144,,3.7854,35.239,0.45359,0.45359,0.45359,35.239,3.7854,0.05,1,35.239,0.45359,0.45359,0.45359,50.802,0.45359,0.45359,35.239,28.35,50.802,,119.24,1,0.45359,0.45359,1,1,1,0.45359,0.45359,0.45359,0.45359,0.45359,1,3.7854,3.7854,35.239,0.45359,0.0283,0.45359,0.914402758,1,1,1,1,,Grams of silver per £,,,,Barley,Beans,Beef,Beer-strong,Bricks,Books,Bread,Butter,Candles tallow,Candles Wax,Charcoal,Cheese,Cider,Cinnamon,Clothing,Coal,Coal London,Coal North,Coal rest of Eng.,Coal pithead,Coalgas,Coffee,Cotton,Cotton cloth,Cream,Eggs,Firewood,Flour,Ginger,Glassware,Hay,Herring,Honey,Hops,Housing,Iron-pig,Iron-manu,Linen cloth,Manu item,Milk,Mustard,Mutton,Nails,Oatmeal,Oats,Oil-lamp,Paper-foolscap,Parchment,Peas,Pepper,Pewter,Pork,Potato,Rais./curr.,Rice,Rye,Saffron,Salt,Salt Cod index,Salt Salmon,Shoes,Silk Thread,Soap,Spade,Stockings,Straw,Suet,Sugar,Tea,Tobacco,Treacle,Trenchers,Vinegar,Wine-Port,Wheat,Wheatflour,Wood,wool,Woolcloth,Workgloves,"Wage, farm","Wage, craft","Wage, bldg laborer"
per (unit),bushel,bushel,lb.,gallon,100 bricks,200 pages,lb.,lb.,lb.,lb.,bushel,lb.,gallon,lb.,suit,ton,ton,ton,ton,ton,1000ft3,lb.,lb.,lb.,gallon,dozen,ton,lb.,lb.,bottle,ton,,lb.,lb.,year,lb.,lb.,yard,,gallon,bushel,lb.,lb.,lb.,bushel,gallon,quire,dozen,bushel,lb.,lb.,lb.,cwt,lb.,lb.,bushel,ounce,cwt,,barrel,pair,lb.,lb.,piece,pair,load,lb.,lb.,lb.,lb.,lb.,dozen,gallon,gallon,bushel,lb.,ft3,lb.,yard,pair,day,day,day,,mint price,market price,,,liter,liter,kg.,liter,100 bricks,200 pages,kg.,kg.,kg.,kg.,liter,kg.,liter,kg.,suit,metric ton,metric ton,metric ton,metric ton,metric ton,cubic m.,kg.,kg.,kg.,liter,dozen,metric ton,kg.,kg.,bottle,metric ton,,kg.,kg.,year,kg.,kg.,meter,,liter,liter,kg.,kg.,kg.,liter,liter,ream,dozen,liter,kg.,kg.,kg.,kg.,kg.,kg.,liter,gram,kg.,,liter,pair,kg.,kg.,piece,pair,load,kg.,kg.,kg.,kg.,kg.,dozen,liter,liter,liter,kg.,cubic m.,kg.,meter,pair,day,day,day
Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209,0.206,,,,,,,,,,,0.388,,,,,,,,,,,,,,,,,,,,0.280,,,,,,3.587,,,,,1.834,,0.104,,,,0.222,,,,,,,,,,,,,,,,,,0.751,,,,,,,0.184,0.285,,,1.740,,,1.374,2.784,,,321.1,316.0,,1209,0.092,,,,,,,,,,,1.126,,,,,,,,,,,,,,,,,,,,,,,,,,5.165,,,,,5.323,,0.047,,,,0.099,,,,,,,,,,,,,,,,,,2.181,,,,,,,0.770,0.128,,,5.050,,,1.808,3.665,
