Year,Privateers,Navy
1702,16,197
1703,95,253
1704,90,109
1705,116,86
1706,89,72
1707,111,66
1708,61,82
1709,78,133
1710,79,114
1711,87,64
1712,106,66
1713,27,19
1714,1,5
1715,,
1716,,
1717,,
1718,,
1719,,
1720,,
1721,,
1722,,
1723,,
1724,,
1725,,
1726,,
1727,,
1728,,
1729,,
1730,,
1731,,
1732,,
1733,,
1734,,
1735,,
1736,,
1737,,
1738,,
1739,0,8
1740,0,11
1741,3,14
1742,3,32
1743,0,32
1744,105,42
1745,121,48
1746,67,60
1747,57,145
1748,51,53
1749,0,3
1750,1,0
1751,0,1
1752,,
1753,,
1754,,
1755,,
1756,42,89
1757,113,286
1758,87,66
1759,50,48
1760,34,69
1761,15,94
1762,33,95
1763,8,47
1764,,
1765,,
1766,,
1767,,
1768,,
1769,,
1770,,
1771,,
1772,,
1773,,
1774,,
1775,,
1776,0,11
1777,14,62
1778,201,80
1779,292,196
1780,247,194
1781,349,286
1782,153,148
1783,52,38
1784,2,5
1785,2,1
