Year,MedianValuePrivateers,TotalReal1804Valueofprize,Silver value of 1804 sterling,TotalSilverTonsPrizeValue
1702,396,,"103,4",
1703,396,,"103,4",
1704,396,,"103,4",
1705,396,,"103,4",
1706,396,,"103,4",
1707,396,,"103,4",
1708,396,,"103,4",
1709,396,,"103,4",
1710,396,,"103,4",
1711,396,,"103,4",
1712,396,,"103,4",
1713,396,,"103,4",
1714,396,,"103,4",
1715,,,"103,4",
1716,,,"103,4",
1717,,,"103,4",
1718,,,"103,4",
1719,,,"103,4",
1720,,,"103,4",
1721,,,"103,4",
1722,,,"103,4",
1723,,,"103,4",
1724,,,"103,4",
1725,,,"103,4",
1726,,,"103,4",
1727,,,"103,4",
1728,,,"103,4",
1729,,,"103,4",
1730,,,"103,4",
1731,,,"103,4",
1732,,,"103,4",
1733,,,"103,4",
1734,,,"103,4",
1735,,,"103,4",
1736,,,"103,4",
1737,,,"103,4",
1738,,,"103,4",
1739,5441,,"103,4",
1740,5441,,"103,4",
1741,5441,,"103,4",
1742,5441,,"103,4",
1743,5441,,"103,4",
1744,5441,,"103,4",
1745,5441,,"103,4",
1746,5441,,"103,4",
1747,5441,,"103,4",
1748,5441,,"103,4",
1749,5441,,"103,4",
1750,5441,,"103,4",
1751,5441,,"103,4",
1752,,,"103,4",
1753,,,"103,4",
1754,,,"103,4",
1755,,,"103,4",
1756,12171,,"103,4",
1757,12171,,"103,4",
1758,12171,,"103,4",
1759,12171,,"103,4",
1760,12171,,"103,4",
1761,12171,,"103,4",
1762,12171,,"103,4",
1763,12171,,"103,4",
1764,,,"103,4",
1765,,,"103,4",
1766,,,"103,4",
1767,,,"103,4",
1768,,,"103,4",
1769,,,"103,4",
1770,,,"103,4",
1771,,,"103,4",
1772,,,"103,4",
1773,,,"103,4",
1774,,,"103,4",
1775,,,"103,4",
1776,7455,,"103,4",
1777,7455,,"103,4",
1778,7455,,"103,4",
1779,7455,,"103,4",
1780,7455,,"103,4",
1781,7455,,"103,4",
1782,7455,,"103,4",
1783,7455,,"103,4",
1784,7455,,"103,4",
1785,7455,,"103,4",
1786,,,"103,4",
1787,,,"103,4",
1788,,,"103,4",
1789,,,"103,4",
1790,,,"103,4",
1791,,,"103,4",
1792,,,"103,4",
1793,2240,"79615,3425960939","103,4","8,23222642443611"
1794,2240,"18980,7116925807","103,4","1,96260558901285"
1795,2240,"36383,1417106387","103,4","3,76201685288004"
1796,2240,"155730,402020785","103,4","16,1025235689492"
1797,2240,"64585,2711509012","103,4","6,67811703700318"
1798,2240,"404249,97646379","103,4","41,7994475663558"
1799,2240,"672872,531363263","103,4","69,5750197429614"
1800,2240,"148677,31093479","103,4","15,3732339506573"
1801,2240,"95196,7782808159","103,4","9,84334687423637"
1802,2240,"55281,3197839568","103,4","5,71608846566113"
1803,2716,"258089,459442331","103,4","26,6864501063371"
1804,2716,"107039,0977789","103,4","11,0678427103382"
1805,2716,"372774,264570035","103,4","38,5448589565416"
1806,2716,"148033,076398354","103,4","15,3066200995898"
1807,2716,"140110,370335525","103,4","14,4874122926933"
1808,2716,"134062,933729623","103,4","13,862107347643"
1809,2716,"220743,930971257","103,4","22,8249224624279"
1810,2716,"271101,602758501","103,4","28,031905725229"
1811,2716,"560675,433413867","103,4","57,9738398149939"
1812,2716,"130800,581997731","103,4","13,5247801785654"
1813,2716,"215372,242276445","103,4","22,2694898513844"
1814,2716,"40878,4081373999","103,4","4,22682740140715"
1815,2716,"130516,887956805","103,4","13,4954462147336"
