year,Guerre,p_Allemagne ,p_Angleterre ,p_Espagne ,p_Flandre et autres états de l'Empereur ,p_États-Unis d'Amérique,p_Hollande ,p_Italie ,p_Levant et Barbarie ,p_Nord ,p_Outre-mers ,p_Portugal ,p_Suisse ,,,p_Denmark (pour memoire),p_Sweden (pour memoire),p_Russia (pour memoire)
1688,1,foe,foe,foe,foe,.,foe,neutral,neutral,neutral,ally,foe,neutral,,,neutral,foe,neutral
1689,1,foe,foe,foe,foe,.,foe,neutral,neutral,neutral,ally,foe,neutral,,,neutral,foe,neutral
1690,1,foe,foe,foe,foe,.,foe,neutral,neutral,neutral,ally,foe,neutral,,,neutral,foe,neutral
1691,1,foe,foe,foe,foe,.,foe,neutral,neutral,neutral,ally,foe,neutral,,,neutral,foe,neutral
1692,1,foe,foe,foe,foe,.,foe,neutral,neutral,neutral,ally,foe,neutral,,,neutral,neutral,neutral
1693,1,foe,foe,foe,foe,.,foe,neutral,neutral,neutral,ally,foe,neutral,,,neutral,neutral,neutral
1694,1,foe,foe,foe,foe,.,foe,neutral,neutral,neutral,ally,foe,neutral,,,neutral,neutral,neutral
1695,1,foe,foe,foe,foe,.,foe,neutral,neutral,neutral,ally,foe,neutral,,,neutral,neutral,neutral
1696,1,foe,foe,foe,foe,.,foe,neutral,neutral,neutral,ally,foe,neutral,,,neutral,neutral,neutral
1697,1,foe,foe,foe,foe,.,foe,neutral,neutral,neutral,ally,foe,neutral,,,neutral,neutral,neutral
1698,0,foe,foe,foe,foe,.,foe,neutral,neutral,neutral,ally,foe,neutral,,,neutral,neutral,neutral
1699,0,foe,foe,foe,foe,.,foe,neutral,neutral,neutral,ally,foe,neutral,,,neutral,neutral,neutral
1700,0,foe,foe,foe,foe,.,foe,neutral,neutral,neutral,ally,foe,neutral,,,neutral,neutral,neutral
1701,0,foe,foe,foe,foe,.,foe,neutral,neutral,neutral,ally,foe,neutral,,,neutral,neutral,neutral
1702,1,ally,foe,ally,foe,.,foe,foe,neutral,neutral,ally,foe,neutral,,,neutral,neutral,neutral
1703,1,ally,foe,ally,foe,.,foe,foe,neutral,neutral,ally,foe,neutral,,,neutral,neutral,neutral
1704,1,ally,foe,ally,foe,.,foe,foe,neutral,neutral,ally,foe,neutral,,,neutral,neutral,neutral
1705,1,ally,foe,ally,foe,.,foe,foe,neutral,neutral,ally,foe,neutral,,,neutral,neutral,neutral
1706,1,ally,foe,ally,foe,.,foe,foe,neutral,neutral,ally,foe,neutral,,,neutral,neutral,neutral
1707,1,ally,foe,ally,foe,.,foe,foe,neutral,neutral,ally,foe,neutral,,,neutral,neutral,neutral
1708,1,ally,foe,ally,foe,.,foe,foe,neutral,neutral,ally,foe,neutral,,,neutral,neutral,neutral
1709,1,ally,foe,ally,foe,.,foe,foe,neutral,neutral,ally,foe,neutral,,,neutral,neutral,neutral
1710,1,ally,foe,ally,foe,.,foe,foe,neutral,neutral,ally,foe,neutral,,,neutral,neutral,neutral
1711,1,ally,foe,ally,foe,.,foe,foe,neutral,neutral,ally,foe,neutral,,,neutral,neutral,neutral
1712,1,ally,foe,ally,foe,.,foe,foe,neutral,neutral,ally,foe,neutral,,,neutral,neutral,neutral
1713,1,ally,foe,ally,foe,.,foe,foe,neutral,neutral,ally,foe,neutral,,,neutral,neutral,neutral
1714,1,ally,neutral,ally,foe,.,foe,foe,neutral,neutral,ally,foe,neutral,,,neutral,neutral,neutral
1715,0,ally,neutral,ally,foe,.,foe,foe,neutral,neutral,ally,foe,neutral,,,neutral,neutral,neutral
1716,0,ally,neutral,ally,foe,.,foe,foe,neutral,neutral,ally,foe,neutral,,,neutral,neutral,neutral
1717,0,ally,neutral,ally,foe,.,foe,foe,neutral,neutral,ally,foe,neutral,,,neutral,neutral,neutral
1718,1,ally,ally,foe,ally,.,ally,ally,neutral,neutral,ally,neutral,neutral,,,neutral,neutral,neutral
1719,1,ally,ally,foe,ally,.,ally,ally,neutral,neutral,ally,neutral,neutral,,,neutral,neutral,neutral
1720,1,ally,ally,foe,ally,.,ally,ally,neutral,neutral,ally,neutral,neutral,,,neutral,neutral,neutral
1721,0,ally,ally,foe,ally,.,ally,ally,neutral,neutral,ally,neutral,neutral,,,neutral,neutral,neutral
1722,0,ally,ally,foe,ally,.,ally,ally,neutral,neutral,ally,neutral,neutral,,,neutral,neutral,neutral
1723,0,ally,ally,foe,ally,.,ally,ally,neutral,neutral,ally,neutral,neutral,,,neutral,neutral,neutral
1724,0,ally,ally,foe,ally,.,ally,ally,neutral,neutral,ally,neutral,neutral,,,neutral,neutral,neutral
1725,0,ally,ally,foe,ally,.,ally,ally,neutral,neutral,ally,neutral,neutral,,,neutral,neutral,neutral
1726,0,ally,ally,foe,ally,.,ally,ally,neutral,neutral,ally,neutral,neutral,,,neutral,neutral,neutral
1727,0,ally,ally,foe,ally,.,ally,ally,neutral,neutral,ally,neutral,neutral,,,neutral,neutral,neutral
1728,0,ally,ally,foe,ally,.,ally,ally,neutral,neutral,ally,neutral,neutral,,,neutral,neutral,neutral
1729,0,ally,ally,foe,ally,.,ally,ally,neutral,neutral,ally,neutral,neutral,,,neutral,neutral,neutral
1730,0,ally,ally,foe,ally,.,ally,ally,neutral,neutral,ally,neutral,neutral,,,neutral,neutral,neutral
1731,0,ally,ally,foe,ally,.,ally,ally,neutral,neutral,ally,neutral,neutral,,,neutral,neutral,neutral
1732,0,ally,ally,foe,ally,.,ally,ally,neutral,neutral,ally,neutral,neutral,,,neutral,neutral,neutral
1733,1,foe,neutral,ally,foe,.,neutral,neutral,neutral,neutral,ally,neutral,neutral,,,neutral,neutral,foe
1734,1,foe,neutral,ally,foe,.,neutral,neutral,neutral,neutral,ally,neutral,neutral,,,neutral,neutral,foe
1735,1,foe,neutral,ally,foe,.,neutral,neutral,neutral,neutral,ally,neutral,neutral,,,neutral,neutral,foe
1736,1,foe,neutral,ally,foe,.,neutral,neutral,neutral,neutral,ally,neutral,neutral,,,neutral,neutral,foe
1737,1,foe,neutral,ally,foe,.,neutral,neutral,neutral,neutral,ally,neutral,neutral,,,neutral,neutral,foe
1738,1,foe,neutral,ally,foe,.,neutral,neutral,neutral,neutral,ally,neutral,neutral,,,neutral,neutral,foe
1739,0,foe,neutral,ally,foe,.,neutral,neutral,neutral,neutral,ally,neutral,neutral,,,neutral,neutral,foe
1740,1,ally,foe,ally,foe,.,foe,neutral,neutral,neutral,ally,neutral,neutral,,,neutral,neutral,foe
1741,1,ally,foe,ally,foe,.,foe,neutral,neutral,neutral,ally,neutral,neutral,,,neutral,neutral,foe
1742,1,ally,foe,ally,foe,.,foe,neutral,neutral,neutral,ally,neutral,neutral,,,neutral,neutral,foe
1743,1,ally,foe,ally,foe,.,foe,neutral,neutral,neutral,ally,neutral,neutral,,,neutral,neutral,foe
1744,1,ally,foe,ally,foe,.,foe,neutral,neutral,neutral,ally,neutral,neutral,,,neutral,neutral,foe
1745,1,ally,foe,ally,foe,.,foe,neutral,neutral,neutral,ally,neutral,neutral,,,neutral,neutral,foe
1746,1,ally,foe,ally,foe,.,foe,neutral,neutral,neutral,ally,neutral,neutral,,,neutral,neutral,foe
1747,1,ally,foe,ally,foe,.,foe,neutral,neutral,neutral,ally,neutral,neutral,,,neutral,neutral,foe
1748,1,ally,foe,ally,foe,.,foe,neutral,neutral,neutral,ally,neutral,neutral,,,neutral,neutral,foe
1749,0,ally,foe,ally,foe,.,foe,neutral,neutral,neutral,ally,neutral,neutral,,,neutral,neutral,foe
1750,0,ally,foe,ally,foe,.,foe,neutral,neutral,neutral,ally,neutral,neutral,,,neutral,neutral,foe
1751,0,ally,foe,ally,foe,.,foe,neutral,neutral,neutral,ally,neutral,neutral,,,neutral,neutral,foe
1752,0,ally,foe,ally,foe,.,foe,neutral,neutral,neutral,ally,neutral,neutral,,,neutral,neutral,foe
1753,0,ally,foe,ally,foe,.,foe,neutral,neutral,neutral,ally,neutral,neutral,,,neutral,neutral,foe
1754,0,ally,foe,ally,foe,.,foe,neutral,neutral,neutral,ally,neutral,neutral,,,neutral,neutral,foe
1755,0,ally,foe,ally,foe,.,foe,neutral,neutral,neutral,ally,neutral,neutral,,,neutral,neutral,foe
1756,1,ally,foe,neutral,ally,.,neutral,neutral,neutral,neutral,ally,foe,neutral,,,neutral,ally,ally
1757,1,ally,foe,neutral,ally,.,neutral,neutral,neutral,neutral,ally,foe,neutral,,,neutral,ally,ally
1758,1,ally,foe,neutral,ally,.,neutral,neutral,neutral,neutral,ally,foe,neutral,,,neutral,ally,ally
1759,1,ally,foe,neutral,ally,.,neutral,neutral,neutral,neutral,ally,foe,neutral,,,neutral,ally,ally
1760,1,ally,foe,neutral,ally,.,neutral,neutral,neutral,neutral,ally,foe,neutral,,,neutral,ally,ally
1761,1,ally,foe,neutral,ally,.,neutral,neutral,neutral,neutral,ally,foe,neutral,,,neutral,ally,ally
1762,1,ally,foe,ally,ally,.,neutral,neutral,neutral,neutral,ally,foe,neutral,,,neutral,ally,neutral
1763,0,ally,foe,ally,ally,.,neutral,neutral,neutral,neutral,ally,foe,neutral,,,neutral,ally,neutral
1764,0,ally,foe,ally,ally,.,neutral,neutral,neutral,neutral,ally,foe,neutral,,,neutral,ally,neutral
1765,0,ally,foe,ally,ally,.,neutral,neutral,neutral,neutral,ally,foe,neutral,,,neutral,ally,neutral
1766,0,ally,foe,ally,ally,.,neutral,neutral,neutral,neutral,ally,foe,neutral,,,neutral,ally,neutral
1767,0,ally,foe,ally,ally,.,neutral,neutral,neutral,neutral,ally,foe,neutral,,,neutral,ally,neutral
1768,0,ally,foe,ally,ally,.,neutral,neutral,neutral,neutral,ally,foe,neutral,,,neutral,ally,neutral
1769,0,ally,foe,ally,ally,.,neutral,neutral,neutral,neutral,ally,foe,neutral,,,neutral,ally,neutral
1770,0,ally,foe,ally,ally,.,neutral,neutral,neutral,neutral,ally,foe,neutral,,,neutral,ally,neutral
1771,0,ally,foe,ally,ally,.,neutral,neutral,neutral,neutral,ally,foe,neutral,,,neutral,ally,neutral
1772,0,ally,foe,ally,ally,.,neutral,neutral,neutral,neutral,ally,foe,neutral,,,neutral,ally,neutral
1773,0,ally,foe,ally,ally,.,neutral,neutral,neutral,neutral,ally,foe,neutral,,,neutral,ally,neutral
1774,0,ally,foe,ally,ally,.,neutral,neutral,neutral,neutral,ally,foe,neutral,,,neutral,ally,neutral
1775,0,ally,foe,ally,ally,.,neutral,neutral,neutral,neutral,ally,foe,neutral,,,neutral,ally,neutral
1776,0,ally,foe,ally,ally,.,neutral,neutral,neutral,neutral,ally,foe,neutral,,,neutral,ally,neutral
1777,0,ally,foe,ally,ally,.,neutral,neutral,neutral,neutral,ally,foe,neutral,,,neutral,ally,neutral
1778,1,ally,foe,ally,neutral,ally,neutral,neutral,neutral,neutral,ally,neutral,neutral,,,neutral,neutral,neutral
1779,1,ally,foe,ally,neutral,ally,neutral,neutral,neutral,neutral,ally,neutral,neutral,,,neutral,neutral,neutral
1780,1,ally,foe,ally,neutral,ally,ally,neutral,neutral,neutral,ally,neutral,neutral,,,neutral,neutral,neutral
1781,1,ally,foe,ally,neutral,ally,ally,neutral,neutral,neutral,ally,neutral,neutral,,,neutral,neutral,neutral
1782,1,ally,foe,ally,neutral,ally,ally,neutral,neutral,neutral,ally,neutral,neutral,,,neutral,neutral,neutral
1783,0,ally,foe,ally,neutral,ally,ally,neutral,neutral,neutral,ally,neutral,neutral,,,neutral,neutral,neutral
1784,0,ally,foe,ally,neutral,ally,ally,neutral,neutral,neutral,ally,neutral,neutral,,,neutral,neutral,neutral
1785,0,ally,foe,ally,neutral,ally,ally,neutral,neutral,neutral,ally,neutral,neutral,,,neutral,neutral,neutral
1786,0,ally,foe,ally,neutral,ally,ally,neutral,neutral,neutral,ally,neutral,neutral,,,neutral,neutral,neutral
1787,0,ally,foe,ally,neutral,ally,ally,neutral,neutral,neutral,ally,neutral,neutral,,,neutral,neutral,neutral
1788,0,ally,foe,ally,neutral,ally,ally,neutral,neutral,neutral,ally,neutral,neutral,,,neutral,neutral,neutral
1789,0,ally,foe,ally,neutral,ally,ally,neutral,neutral,neutral,ally,neutral,neutral,,,neutral,neutral,neutral
1790,0,ally,foe,ally,neutral,ally,ally,neutral,neutral,neutral,ally,neutral,neutral,,,neutral,neutral,neutral
1791,0,ally,foe,ally,neutral,ally,ally,neutral,neutral,neutral,ally,neutral,neutral,,,neutral,neutral,neutral
