reporting,partner,partner type,year,import,export,total,currency,source
France,Austria,,1787,1449139.23327458,1447575.82826162,2896715.0615362,sterling pound,Statistique générale de la France (1838)
France,Bremen_Hamburg_Lubeck,,1787,474826.060797328,2502890.84397675,2977716.904774078,sterling pound,Statistique générale de la France (1838)
France,Denmark_Norway,,1787,207487.961573501,263346.426850317,470834.388423818,sterling pound,Statistique générale de la France (1838)
France,FrenchColonies,,1787,10116062.0322519,3971273.2644853,14087335.2967372,sterling pound,Statistique générale de la France (1838)
France,Germany,,1787,367391.862061108,934067.967369742,1301459.82943085,sterling pound,Statistique générale de la France (1838)
France,KingdomofSardinia_Genoa,,1787,1522319.89345561,1048932.49790957,2571252.39136518,sterling pound,Statistique générale de la France (1838)
France,Milan_PapalStates_Tuscany,,1787,245537.746875581,593129.250767254,838666.997642835,sterling pound,Statistique générale de la France (1838)
France,Netherlands,,1787,1006030.33587844,1395900.30299288,2401930.63887132,sterling pound,Statistique générale de la France (1838)
France,Portugal,,1787,377786.842200459,163625.303377495,541412.145577954,sterling pound,Statistique générale de la France (1838)
France,Prussia,,1787,125026.663124057,374572.714341372,499599.377465429,sterling pound,Statistique générale de la France (1838)
France,RussiaUSSR,,1787,272252.845833713,275674.873295587,547927.7191293,sterling pound,Statistique générale de la France (1838)
France,Spain,,1787,1261505.68376724,1669899.50549001,2931405.18925725,sterling pound,Statistique générale de la France (1838)
France,Sweden,,1787,345558.245776416,209716.645315378,555274.891091794,sterling pound,Statistique générale de la France (1838)
France,Switzerland,,1787,310685.166404921,853693.98093228,1164379.147337201,sterling pound,Statistique générale de la France (1838)
France,Turkey_BarbaryCoast,,1787,1568619.13499628,866720.970042915,2435340.105039195,sterling pound,Statistique générale de la France (1838)
France,TwoSicilies,,1787,620147.883145455,221991.037863923,842138.921009378,sterling pound,Statistique générale de la France (1838)
France,UnitedKingdom,,1787,2055732.06231832,1422054.07302349,3477786.13534181,sterling pound,Statistique générale de la France (1838)
France,UnitedStatesofAmerica,,1787,586518.043398626,85263.7850950122,671781.8284936382,sterling pound,Statistique générale de la France (1838)
France,Worldasreported,,1787,22912660.96107,18300329.2713909,41212990.2324609,sterling pound,Statistique générale de la France (1838)
France,Worldsumpartners,,1787,22912627.6971335,18300329.2713909,41212956.9685244,sterling pound,Statistique générale de la France (1838)
France,Worldbestguess,,1787,22912660.96107,18300329.2713909,41212990.2324609,sterling pound,Statistique générale de la France (1838)
France,Austria,,1788,1212816.19824602,1435898.56800153,2648714.76624755,sterling pound,Statistique générale de la France (1838)
France,Bremen_Hamburg_Lubeck,,1788,408893.042453023,2628445.70032525,3037338.7427782733,sterling pound,Statistique générale de la France (1838)
France,Denmark_Norway,,1788,150709.785241111,212122.029751947,362831.814993058,sterling pound,Statistique générale de la France (1838)
France,FrenchColonies,,1788,9263020.36064057,4095021.77350648,13358042.13414705,sterling pound,Statistique générale de la France (1838)
France,Germany,,1788,330212.436817585,964338.217859345,1294550.65467693,sterling pound,Statistique générale de la France (1838)
France,KingdomofSardinia_Genoa,,1788,1237688.52520674,1006916.33838793,2244604.86359467,sterling pound,Statistique générale de la France (1838)
France,Milan_PapalStates_Tuscany,,1788,219566.557594727,620348.703155891,839915.2607506181,sterling pound,Statistique générale de la France (1838)
France,Netherlands,,1788,976892.937796289,1866695.93784698,2843588.875643269,sterling pound,Statistique générale de la France (1838)
France,Portugal,,1788,374192.794056806,172258.443263786,546451.237320592,sterling pound,Statistique générale de la France (1838)
France,Prussia,,1788,143600.485999709,387773.640566258,531374.126565967,sterling pound,Statistique générale de la France (1838)
France,RussiaUSSR,,1788,322032.041313246,244365.29778929,566397.339102536,sterling pound,Statistique générale de la France (1838)
France,Spain,,1788,1114295.78282419,2039588.04493044,3153883.82775463,sterling pound,Statistique générale de la France (1838)
France,Sweden,,1788,229161.454270731,144888.254407439,374049.70867817,sterling pound,Statistique générale de la France (1838)
France,Switzerland,,1788,259491.466388018,931514.432000105,1191005.8983881231,sterling pound,Statistique générale de la France (1838)
France,Turkey_BarbaryCoast,,1788,1746352.95810624,729592.345668111,2475945.3037743513,sterling pound,Statistique générale de la France (1838)
France,TwoSicilies,,1788,600279.956763687,231266.853413527,831546.810177214,sterling pound,Statistique générale de la France (1838)
France,UnitedKingdom,,1788,2408490.76813137,1273643.83678128,3682134.6049126503,sterling pound,Statistique générale de la France (1838)
France,UnitedStatesofAmerica,,1788,141069.918874679,56347.0221070998,197416.94098177878,sterling pound,Statistique générale de la France (1838)
France,Worldasreported,,1788,21138771.5588784,19041025.4397627,40179796.9986411,sterling pound,Statistique générale de la France (1838)
France,Worldsumpartners,,1788,21138767.4707247,19041025.4397627,40179792.9104874,sterling pound,Statistique générale de la France (1838)
France,Worldbestguess,,1788,21138771.5588784,19041025.4397627,40179796.9986411,sterling pound,Statistique générale de la France (1838)
France,Austria,,1789,1235007.54964246,1166000.33553967,2401007.88518213,sterling pound,Statistique générale de la France (1838)
France,Bremen_Hamburg_Lubeck,,1789,670525.372813057,2470806.46641913,3141331.8392321873,sterling pound,Statistique générale de la France (1838)
France,Denmark_Norway,,1789,128953.274518928,290194.328113476,419147.60263240396,sterling pound,Statistique générale de la France (1838)
France,FrenchColonies,,1789,9149707.66898063,3298932.60400938,12448640.27299001,sterling pound,Statistique générale de la France (1838)
France,Germany,,1789,340802.256345973,988813.234190859,1329615.490536832,sterling pound,Statistique générale de la France (1838)
France,KingdomofSardinia_Genoa,,1789,1397079.53872793,964597.399884144,2361676.938612074,sterling pound,Statistique générale de la France (1838)
France,Milan_PapalStates_Tuscany,,1789,307683.541779437,596967.797688575,904651.339468012,sterling pound,Statistique générale de la France (1838)
France,Netherlands,,1789,1455284.5914488,1707651.57054722,3162936.16199602,sterling pound,Statistique générale de la France (1838)
France,Portugal,,1789,294625.984065031,122938.88429896,417564.868363991,sterling pound,Statistique générale de la France (1838)
France,Prussia,,1789,221266.250724101,506118.850681684,727385.101405785,sterling pound,Statistique générale de la France (1838)
France,RussiaUSSR,,1789,242910.141844645,275514.467773948,518424.609618593,sterling pound,Statistique générale de la France (1838)
France,Spain,,1789,1275604.68362725,1625626.36708672,2901231.05071397,sterling pound,Statistique générale de la France (1838)
France,Sweden,,1789,282438.930198253,128280.612454853,410719.54265310604,sterling pound,Statistique générale de la France (1838)
France,Switzerland,,1789,259607.9883764,793543.393825437,1053151.382201837,sterling pound,Statistique générale de la France (1838)
France,Turkey_BarbaryCoast,,1789,1560615.55701167,791090.155709398,2351705.712721068,sterling pound,Statistique générale de la France (1838)
France,TwoSicilies,,1789,1062529.08274218,283032.455548908,1345561.5382910878,sterling pound,Statistique générale de la France (1838)
France,UnitedKingdom,,1789,2410187.74393892,1389403.27752612,3799591.02146504,sterling pound,Statistique générale de la France (1838)
France,UnitedStatesofAmerica,,1789,519849.070460164,49143.8990342156,568992.9694943796,sterling pound,Statistique générale de la France (1838)
France,Worldasreported,,1789,22814679.2272458,17448656.1003327,40263335.3275785,sterling pound,Statistique générale de la France (1838)
France,Worldsumpartners,,1789,22814679.2272458,17448656.1003327,40263335.3275785,sterling pound,Statistique générale de la France (1838)
France,Worldbestguess,,1789,22814679.2272458,17448656.1003327,40263335.3275785,sterling pound,Statistique générale de la France (1838)
France,Austria,,1790,,,,sterling pound,
France,Austria,,1791,,,,sterling pound,
France,Austria,,1792,1210949.98876259,2930630.33974974,4141580.32851233,sterling pound,Statistique générale de la France (1838)
France,Bremen_Hamburg_Lubeck,,1790,,,,sterling pound,
France,Bremen_Hamburg_Lubeck,,1791,,,,sterling pound,
France,Bremen_Hamburg_Lubeck,,1792,547705.193584229,3599058.58965715,4146763.783241379,sterling pound,Statistique générale de la France (1838)
France,Denmark_Norway,,1790,,,,sterling pound,
France,Denmark_Norway,,1791,,,,sterling pound,
France,Denmark_Norway,,1792,94172.688970558,364899.385582557,459072.074553115,sterling pound,Statistique générale de la France (1838)
France,FrenchColonies,,1790,,,,sterling pound,
France,FrenchColonies,,1791,,,,sterling pound,
France,FrenchColonies,,1792,16660137.8878095,2811766.99619194,19471904.88400144,sterling pound,Statistique générale de la France (1838)
France,Germany,,1790,,,,sterling pound,
France,Germany,,1791,,,,sterling pound,
