
="",="ln_pEGermanySwitz",="ln_pEIberia",="ln_pEItaly",="ln_pELowCountries",="ln_pENorthofHolland",="ln_pEOverseas",="ln_pEUnitedKingdom",="ln_pEUnitedStates"

="loss",="0.95***",="0.57*",="0.26",="-0.06",="-0.69",="-0.25",="-0.35",="1.45"
="",="(4.23)",="(2.46)",="(1.34)",="(-0.22)",="(-1.73)",="(-0.39)",="(-0.33)",="(0.75)"

="war",="0.48***",="0.04",="0.01",="0.03",="-0.31*",="-1.06***",="-1.44***",="0.01"
="",="(6.52)",="(0.54)",="(0.09)",="(0.36)",="(-2.39)",="(-5.07)",="(-4.10)",="(0.02)"

="year",="0.00",="-0.01***",="-0.00",="0.00",="-0.00",="-0.03***",="0.02",="0.03"
="",="(1.45)",="(-4.61)",="(-1.68)",="(0.54)",="(-0.31)",="(-6.08)",="(1.88)",="(1.09)"



="loss_nm",="1.09***",="0.73**",="0.28",="-0.04",="-0.89*",="-0.48",="-0.33",="0.67"
="",="(4.46)",="(2.89)",="(1.27)",="(-0.12)",="(-2.04)",="(-0.68)",="(-0.29)",="(0.38)"

="war",="0.42***",="-0.01",="-0.01",="0.03",="-0.25",="-1.01***",="-1.43***",="0.15"
="",="(5.40)",="(-0.07)",="(-0.09)",="(0.32)",="(-1.83)",="(-4.52)",="(-3.79)",="(0.27)"

="year",="0.00*",="-0.01***",="-0.00",="0.00",="-0.00",="-0.03***",="0.02*",="0.05"
="",="(2.48)",="(-4.97)",="(-1.57)",="(0.51)",="(-0.56)",="(-6.82)",="(2.02)",="(1.81)"



="ln(loss)",="0.11**",="0.06",="0.02",="0.01",="-0.02",="0.05",="-0.13",="0.63"
="",="(2.87)",="(1.51)",="(0.50)",="(0.23)",="(-0.27)",="(0.46)",="(-0.73)",="(1.78)"

="war",="0.51***",="0.07",="0.03",="0.02",="-0.39**",="-1.13***",="-1.38***",="-0.38"
="",="(6.49)",="(0.85)",="(0.41)",="(0.18)",="(-2.89)",="(-5.39)",="(-3.91)",="(-0.68)"

="year",="0.01**",="-0.01***",="-0.00",="0.00",="-0.00",="-0.04***",="0.02*",="0.02"
="",="(3.33)",="(-4.12)",="(-1.16)",="(0.36)",="(-1.55)",="(-7.69)",="(2.29)",="(0.95)"



="ln(loss_nm)",="0.14***",="0.08*",="0.02",="-0.01",="-0.05",="-0.03",="-0.11",="0.43"
="",="(4.23)",="(2.44)",="(0.87)",="(-0.23)",="(-0.89)",="(-0.37)",="(-0.71)",="(1.81)"

="war",="0.46***",="0.03",="0.01",="0.03",="-0.35*",="-1.05***",="-1.37***",="-0.40"
="",="(6.04)",="(0.37)",="(0.20)",="(0.37)",="(-2.54)",="(-4.90)",="(-3.80)",="(-0.72)"

="year",="0.01***",="-0.01***",="-0.00",="0.00",="-0.00",="-0.03***",="0.02*",="0.03"
="",="(3.87)",="(-4.58)",="(-1.29)",="(0.58)",="(-1.49)",="(-7.83)",="(2.32)",="(1.15)"

