
="",="ln_pIGermanySwitz",="ln_pIIberia",="ln_pIItaly",="ln_pILowCountries",="ln_pINorthofHolland",="ln_pIOverseas",="ln_pIUnitedKingdom",="ln_pIUnitedStates"

="loss",="0.54",="0.75**",="0.68*",="0.27",="-0.09",="-0.38",="0.23",="-1.91"
="",="(1.39)",="(3.10)",="(2.56)",="(0.76)",="(-0.15)",="(-0.47)",="(0.29)",="(-1.19)"

="war",="0.80***",="0.21**",="0.16",="0.34**",="-0.19",="-1.29***",="-0.52",="0.40"
="",="(6.50)",="(2.68)",="(1.89)",="(3.04)",="(-0.95)",="(-5.10)",="(-1.90)",="(0.87)"

="year",="0.01***",="-0.01**",="-0.00",="-0.00",="0.00",="-0.03***",="0.01",="0.07**"
="",="(3.99)",="(-2.77)",="(-1.30)",="(-1.24)",="(0.19)",="(-4.39)",="(1.57)",="(2.93)"



="loss_nm",="0.70",="0.90***",="0.82**",="0.44",="0.09",="-0.95",="0.57",="-2.02"
="",="(1.72)",="(3.54)",="(2.95)",="(1.18)",="(0.13)",="(-1.13)",="(0.66)",="(-1.44)"

="war",="0.75***",="0.15",="0.11",="0.30*",="-0.21",="-1.18***",="-0.59*",="0.47"
="",="(5.72)",="(1.88)",="(1.22)",="(2.52)",="(-1.02)",="(-4.36)",="(-2.01)",="(1.03)"

="year",="0.01***",="-0.00**",="-0.00",="-0.00",="0.00",="-0.03***",="0.01",="0.07**"
="",="(4.86)",="(-2.66)",="(-1.05)",="(-1.47)",="(0.03)",="(-4.92)",="(1.68)",="(3.50)"



="ln(loss)",="0.00",="0.09",="0.06",="0.04",="0.02",="0.09",="-0.17",="-0.09"
="",="(0.01)",="(1.99)",="(1.20)",="(0.62)",="(0.22)",="(0.65)",="(-1.28)",="(-0.25)"

="war",="0.87***",="0.24**",="0.21*",="0.35**",="-0.22",="-1.41***",="-0.34",="0.12"
="",="(7.01)",="(3.02)",="(2.37)",="(3.12)",="(-1.11)",="(-5.60)",="(-1.26)",="(0.25)"

="year",="0.02***",="-0.00",="-0.00",="-0.00",="-0.00",="-0.03***",="0.02**",="0.05*"
="",="(5.77)",="(-1.74)",="(-0.09)",="(-1.17)",="(-0.01)",="(-5.94)",="(2.78)",="(2.50)"



="ln(loss_nm)",="0.08",="0.10**",="0.06",="0.05",="0.03",="-0.05",="-0.11",="-0.02"
="",="(1.47)",="(3.04)",="(1.55)",="(1.01)",="(0.39)",="(-0.40)",="(-0.96)",="(-0.09)"

="war",="0.78***",="0.19*",="0.18*",="0.32**",="-0.24",="-1.29***",="-0.36",="0.07"
="",="(6.22)",="(2.44)",="(2.08)",="(2.81)",="(-1.17)",="(-4.96)",="(-1.31)",="(0.14)"

="year",="0.01***",="-0.00",="0.00",="-0.00",="-0.00",="-0.03***",="0.01*",="0.05*"
="",="(5.88)",="(-1.89)",="(0.03)",="(-1.29)",="(-0.03)",="(-5.96)",="(2.65)",="(2.62)"

