
="",="loss",="loss_nomemory",="ln_loss",="ln_loss_nomemory"

="Other foodstuff",="0.22**",="0.17*",="0.52",="0.81**"
="",="(3.27)",="(2.66)",="(1.85)",="(3.36)"



="Plantation foodstuff",="-0.07***",="-0.06***",="-0.23***",="-0.20***"
="",="(-7.37)",="(-6.46)",="(-5.10)",="(-4.62)"



="Drinks and tobacco",="0.35***",="0.29***",="1.22***",="1.01***"
="",="(4.93)",="(4.26)",="(4.22)",="(3.76)"



="Crude material",="0.14*",="0.07",="0.26",="0.54**"
="",="(2.62)",="(1.45)",="(1.20)",="(2.82)"



="Oils",="0.19***",="0.15***",="0.60**",="0.56***"
="",="(4.62)",="(3.84)",="(3.48)",="(3.62)"



="Chemical products",="-0.22**",="-0.19**",="-0.65*",="-0.78**"
="",="(-3.25)",="(-3.07)",="(-2.41)",="(-3.39)"



="Leather wood and paper product",="0.38***",="0.34***",="1.27***",="1.07***"
="",="(7.17)",="(7.01)",="(5.41)",="(4.40)"



="Other threads and fabric",="-0.18*",="-0.09",="-0.47",="-0.38"
="",="(-2.66)",="(-1.41)",="(-1.71)",="(-1.51)"



="Wool threads and fabric",="-0.01",="0.02",="0.05",="-0.27"
="",="(-0.30)",="(0.40)",="(0.33)",="(-1.68)"



="Silk threads and fabric",="0.49***",="0.43***",="1.74***",="1.65***"
="",="(12.01)",="(10.72)",="(8.88)",="(6.52)"



="Cotton threads and fabric",="0.09",="0.05",="0.01",="0.29"
="",="(1.92)",="(1.09)",="(0.05)",="(1.66)"



="Other industrial products",="0.42***",="0.39***",="1.16**",="1.02**"
="",="(5.08)",="(5.13)",="(3.19)",="(2.90)"

