
="",="ln_pE0a",="ln_pE0b",="ln_pE1",="ln_pE2",="ln_pE4",="ln_pE5",="ln_pE6a_c",="ln_pE6d_h_i",="ln_pE6e",="ln_pE6f",="ln_pE6g",="ln_pEother"

="loss",="-0.49",="-2.21**",="0.54*",="-1.08**",="-0.10",="-0.44",="0.42",="-0.07",="1.96***",="1.27***",="-1.50**",="0.22"
="",="(-1.76)",="(-3.20)",="(2.73)",="(-3.61)",="(-0.37)",="(-1.05)",="(1.99)",="(-0.28)",="(4.99)",="(6.57)",="(-3.17)",="(1.20)"

="year",="0.01",="0.03**",="0.00",="0.02***",="0.01",="0.00",="-0.00",="-0.02***",="-0.03***",="-0.00",="0.01",="-0.02***"
="",="(1.83)",="(3.10)",="(1.42)",="(3.85)",="(1.83)",="(0.73)",="(-1.29)",="(-4.24)",="(-5.43)",="(-1.44)",="(1.77)",="(-5.28)"



="loss_nm",="-0.42",="-2.87***",="0.67**",="-1.11**",="-0.01",="-0.52",="0.56*",="0.08",="2.01***",="1.41***",="-1.74**",="0.25"
="",="(-1.39)",="(-4.42)",="(3.43)",="(-3.47)",="(-0.05)",="(-1.19)",="(2.64)",="(0.30)",="(4.69)",="(7.50)",="(-3.61)",="(1.32)"

="year",="0.01",="0.02*",="0.01*",="0.01**",="0.01",="0.00",="-0.00",="-0.02***",="-0.03***",="0.00",="0.01",="-0.01***"
="",="(1.43)",="(2.20)",="(2.25)",="(2.83)",="(1.76)",="(0.41)",="(-0.62)",="(-3.84)",="(-3.96)",="(0.22)",="(0.90)",="(-4.70)"



="ln(loss)",="-0.12*",="-0.34*",="0.08",="-0.22***",="-0.01",="-0.03",="0.09*",="-0.02",="0.38***",="0.24***",="-0.34***",="0.03"
="",="(-2.29)",="(-2.38)",="(2.01)",="(-3.92)",="(-0.18)",="(-0.40)",="(2.18)",="(-0.34)",="(5.01)",="(6.05)",="(-4.05)",="(0.73)"

="year",="0.01*",="0.04**",="0.00",="0.02***",="0.01",="0.01",="-0.01",="-0.02***",="-0.04***",="-0.01*",="0.02*",="-0.02***"
="",="(2.12)",="(3.30)",="(1.02)",="(4.45)",="(1.90)",="(0.87)",="(-1.56)",="(-4.26)",="(-6.11)",="(-2.14)",="(2.34)",="(-5.41)"



="ln(loss_nm)",="-0.08",="-0.33*",="0.08*",="-0.21***",="0.00",="-0.03",="0.09*",="-0.01",="0.35***",="0.23***",="-0.29**",="0.03"
="",="(-1.70)",="(-2.58)",="(2.18)",="(-4.22)",="(0.05)",="(-0.46)",="(2.49)",="(-0.31)",="(5.17)",="(6.91)",="(-3.70)",="(0.91)"

="year",="0.01",="0.03*",="0.01",="0.02**",="0.01",="0.01",="-0.00",="-0.02***",="-0.03***",="-0.00",="0.01",="-0.02***"
="",="(1.55)",="(2.56)",="(1.55)",="(3.33)",="(1.85)",="(0.72)",="(-0.90)",="(-4.15)",="(-4.66)",="(-0.49)",="(1.25)",="(-4.98)"

