
="",="ln_pI0a",="ln_pI0b",="ln_pI1",="ln_pI2",="ln_pI4",="ln_pI5",="ln_pI6a_c",="ln_pI6d_h_i",="ln_pI6e",="ln_pI6f",="ln_pI6g",="ln_pIother"

="loss",="-0.05",="-1.58",="-0.55",="-0.18",="0.60",="0.48",="1.66***",="0.68",="1.53*",="3.30**",="-3.43*",="0.39"
="",="(-0.12)",="(-2.01)",="(-0.84)",="(-0.69)",="(1.35)",="(1.84)",="(3.69)",="(1.31)",="(2.32)",="(3.21)",="(-2.46)",="(1.50)"

="war",="-0.12",="-0.20",="0.29",="0.33***",="-0.28*",="0.16*",="-0.16",="-0.15",="0.25",="-1.14***",="1.25**",="0.04"
="",="(-0.96)",="(-0.84)",="(1.49)",="(4.28)",="(-2.12)",="(2.12)",="(-1.21)",="(-0.99)",="(0.99)",="(-3.75)",="(2.99)",="(0.56)"

="year",="-0.00",="0.00",="0.00",="0.01**",="0.00",="-0.00",="-0.01*",="-0.00",="-0.06***",="-0.05***",="-0.02",="-0.00"
="",="(-0.45)",="(0.47)",="(0.26)",="(3.33)",="(0.30)",="(-1.98)",="(-2.32)",="(-0.73)",="(-9.30)",="(-5.74)",="(-1.40)",="(-0.90)"



="loss_nm",="-0.34",="-1.96*",="-0.52",="-0.10",="0.78",="0.48",="1.69***",="0.81",="1.28",="4.02***",="-3.85**",="0.53*"
="",="(-0.80)",="(-2.55)",="(-0.80)",="(-0.37)",="(1.77)",="(1.86)",="(3.78)",="(1.57)",="(1.83)",="(4.12)",="(-2.80)",="(2.07)"

="war",="-0.08",="-0.09",="0.31",="0.33***",="-0.32*",="0.14",="-0.23",="-0.19",="0.22",="-1.36***",="1.44**",="0.01"
="",="(-0.64)",="(-0.37)",="(1.51)",="(4.05)",="(-2.39)",="(1.80)",="(-1.65)",="(-1.22)",="(0.79)",="(-4.50)",="(3.34)",="(0.14)"

="year",="-0.00",="0.00",="0.00",="0.01**",="0.00",="-0.00",="-0.01",="-0.00",="-0.06***",="-0.05***",="-0.02*",="-0.00"
="",="(-0.19)",="(0.32)",="(0.08)",="(3.47)",="(0.46)",="(-1.83)",="(-1.81)",="(-0.66)",="(-9.22)",="(-6.49)",="(-2.06)",="(-0.96)"



="ln(loss)",="0.03",="-0.18",="-0.03",="-0.09",="0.14",="0.10",="0.28*",="0.02",="0.38**",="0.33",="-0.39",="0.01"
="",="(0.34)",="(-0.98)",="(-0.19)",="(-1.48)",="(1.40)",="(1.62)",="(2.64)",="(0.18)",="(2.76)",="(1.31)",="(-1.20)",="(0.21)"

="war",="-0.14",="-0.25",="0.25",="0.36***",="-0.29*",="0.16*",="-0.14",="-0.10",="0.21",="-1.00**",="1.14*",="0.07"
="",="(-1.09)",="(-1.04)",="(1.28)",="(4.58)",="(-2.17)",="(2.07)",="(-0.99)",="(-0.65)",="(0.84)",="(-3.01)",="(2.56)",="(0.89)"

="year",="-0.00",="-0.00",="-0.00",="0.01***",="0.00",="-0.00",="-0.00",="0.00",="-0.06***",="-0.04***",="-0.03*",="-0.00"
="",="(-0.78)",="(-0.46)",="(-0.24)",="(4.12)",="(0.65)",="(-1.69)",="(-1.21)",="(0.06)",="(-10.40)",="(-4.51)",="(-2.65)",="(-0.00)"



="ln(loss_nm)",="-0.03",="-0.18",="-0.07",="-0.04",="0.12",="0.10*",="0.28**",="0.03",="0.27*",="0.39",="-0.47",="0.04"
="",="(-0.35)",="(-1.19)",="(-0.60)",="(-0.80)",="(1.37)",="(2.09)",="(3.23)",="(0.29)",="(2.20)",="(1.88)",="(-1.73)",="(0.71)"

="war",="-0.11",="-0.22",="0.29",="0.34***",="-0.30*",="0.14",="-0.19",="-0.11",="0.23",="-1.09**",="1.25**",="0.06"
="",="(-0.83)",="(-0.90)",="(1.42)",="(4.26)",="(-2.19)",="(1.82)",="(-1.34)",="(-0.69)",="(0.90)",="(-3.28)",="(2.80)",="(0.68)"

="year",="-0.00",="-0.00",="-0.00",="0.01***",="0.00",="-0.00",="-0.00",="0.00",="-0.06***",="-0.04***",="-0.03**",="-0.00"
="",="(-0.49)",="(-0.52)",="(-0.11)",="(3.83)",="(0.87)",="(-1.81)",="(-1.20)",="(0.04)",="(-10.01)",="(-4.92)",="(-2.78)",="(-0.19)"

