
="",="ln_pI0a",="ln_pI0b",="ln_pI1",="ln_pI2",="ln_pI4",="ln_pI5",="ln_pI6a_c",="ln_pI6d_h_i",="ln_pI6e",="ln_pI6f",="ln_pI6g",="ln_pIother"

="loss",="0.16",="-0.90",="0.90",="-0.11",="0.35",="0.46*",="1.16**",="0.22",="2.56**",="0.23",="0.46",="0.09"
="",="(0.53)",="(-1.15)",="(1.64)",="(-0.30)",="(0.99)",="(2.30)",="(3.42)",="(0.44)",="(3.67)",="(0.29)",="(0.58)",="(0.30)"

="year",="0.00",="0.02",="0.02*",="-0.00",="0.00",="-0.01***",="-0.02**",="0.01",="-0.04***",="-0.07***",="0.03*",="-0.01"
="",="(0.70)",="(1.32)",="(2.72)",="(-0.70)",="(0.37)",="(-3.85)",="(-3.54)",="(0.88)",="(-3.85)",="(-5.25)",="(2.45)",="(-1.77)"



="loss_nm",="-0.00",="-1.47",="1.24*",="0.24",="0.46",="0.44",="1.30***",="0.47",="2.26**",="0.47",="0.41",="0.30"
="",="(-0.01)",="(-1.82)",="(2.22)",="(0.61)",="(1.21)",="(2.01)",="(3.75)",="(0.91)",="(2.98)",="(0.56)",="(0.48)",="(1.01)"

="year",="0.00",="0.01",="0.03**",="-0.00",="0.00",="-0.01**",="-0.01*",="0.01",="-0.03*",="-0.07***",="0.03*",="-0.01"
="",="(0.57)",="(0.79)",="(3.23)",="(-0.39)",="(0.65)",="(-3.15)",="(-2.59)",="(1.11)",="(-2.75)",="(-4.81)",="(2.40)",="(-1.37)"



="ln(loss)",="0.04",="-0.16",="0.10",="-0.04",="0.07",="0.08*",="0.22**",="0.00",="0.56***",="-0.02",="0.03",="0.00"
="",="(0.63)",="(-1.06)",="(0.93)",="(-0.50)",="(1.07)",="(2.12)",="(3.23)",="(0.05)",="(3.97)",="(-0.13)",="(0.16)",="(0.06)"

="year",="0.00",="0.02",="0.02*",="-0.00",="0.00",="-0.01***",="-0.02***",="0.01",="-0.05***",="-0.07***",="0.03*",="-0.01"
="",="(0.65)",="(1.47)",="(2.44)",="(-0.68)",="(0.25)",="(-4.12)",="(-3.93)",="(0.82)",="(-4.49)",="(-5.36)",="(2.38)",="(-1.83)"



="ln(loss_nm)",="-0.00",="-0.13",="0.11",="-0.01",="0.05",="0.08*",="0.21**",="0.02",="0.44**",="-0.04",="0.05",="0.01"
="",="(-0.04)",="(-0.93)",="(1.09)",="(-0.11)",="(0.81)",="(2.13)",="(3.60)",="(0.28)",="(3.27)",="(-0.25)",="(0.36)",="(0.23)"

="year",="0.00",="0.02",="0.02*",="-0.00",="0.00",="-0.01**",="-0.02**",="0.01",="-0.04**",="-0.07***",="0.03*",="-0.01"
="",="(0.58)",="(1.17)",="(2.64)",="(-0.66)",="(0.43)",="(-3.42)",="(-2.99)",="(0.87)",="(-3.39)",="(-5.21)",="(2.38)",="(-1.69)"

