
="",="ln_pEAmiens",="ln_pEBayonne",="ln_pEBordeaux",="ln_pEBourgogne",="ln_pECaen",="ln_pEChâlons",="ln_pELyon",="ln_pEMarseille",="ln_pENantes",="ln_pERennes",="ln_pESaint_Quentin"

="loss",="1.27",="0.34",="-0.43",="-1.34**",="-0.06",="-0.04",="1.72**",="-0.30",="-1.29*",="0.32",="8.56**"
="",="(2.21)",="(1.14)",="(-1.76)",="(-3.33)",="(-0.04)",="(-0.08)",="(4.38)",="(-1.49)",="(-2.41)",="(0.65)",="(4.08)"

="war",="0.08",="0.61***",="-0.21*",="0.04",="-1.06",="0.02",="0.33*",="-0.22**",="-0.31",="0.07",="0.76"
="",="(0.46)",="(5.86)",="(-2.47)",="(0.27)",="(-2.00)",="(0.13)",="(2.44)",="(-3.33)",="(-1.90)",="(0.44)",="(1.14)"

="year",="-0.01",="-0.01**",="0.02***",="0.05***",="0.04",="-0.02*",="-0.02**",="-0.01*",="0.01",="-0.02*",="-0.15***"
="",="(-1.71)",="(-3.21)",="(5.56)",="(7.79)",="(1.69)",="(-2.86)",="(-3.81)",="(-2.11)",="(1.62)",="(-2.58)",="(-4.90)"



="loss_nm",="1.44",="0.54",="-0.49",="-1.44*",="-0.51",="-0.09",="2.02**",="-0.43",="-1.69**",="0.41",="9.32**"
="",="(2.14)",="(1.56)",="(-1.71)",="(-2.83)",="(-0.27)",="(-0.14)",="(4.31)",="(-1.89)",="(-2.87)",="(0.71)",="(3.48)"

="war",="-0.03",="0.55***",="-0.18",="0.14",="-1.01",="0.03",="0.18",="-0.18*",="-0.18",="0.04",="0.08"
="",="(-0.13)",="(4.77)",="(-1.92)",="(0.92)",="(-1.80)",="(0.17)",="(1.19)",="(-2.54)",="(-0.99)",="(0.22)",="(0.10)"

="year",="-0.01",="-0.01**",="0.02***",="0.04***",="0.04",="-0.02*",="-0.02**",="-0.01*",="0.01",="-0.02*",="-0.12**"
="",="(-1.28)",="(-3.48)",="(5.77)",="(6.94)",="(1.85)",="(-3.08)",="(-3.12)",="(-2.63)",="(1.48)",="(-2.69)",="(-3.86)"



="ln(loss)",="0.16",="0.05",="-0.07",="-0.19*",="0.06",="0.05",="0.19*",="-0.01",="-0.08",="-0.01",="1.08*"
="",="(1.72)",="(1.08)",="(-1.93)",="(-3.15)",="(0.23)",="(0.55)",="(2.52)",="(-0.35)",="(-0.92)",="(-0.11)",="(2.86)"

="war",="0.09",="0.62***",="-0.20*",="0.05",="-1.08",="-0.00",="0.35",="-0.26***",="-0.47*",="0.14",="0.77"
="",="(0.44)",="(6.06)",="(-2.42)",="(0.34)",="(-2.02)",="(-0.00)",="(1.94)",="(-3.77)",="(-2.73)",="(0.88)",="(0.95)"

="year",="-0.01",="-0.01**",="0.02***",="0.05***",="0.04",="-0.03*",="-0.02*",="-0.01*",="0.01",="-0.02*",="-0.15**"
="",="(-1.56)",="(-3.14)",="(5.68)",="(7.51)",="(1.50)",="(-3.07)",="(-2.60)",="(-2.63)",="(0.60)",="(-2.08)",="(-3.95)"



="ln(loss_nm)",="0.16*",="0.02",="-0.06",="-0.18**",="0.03",="-0.00",="0.20**",="-0.03",="-0.09",="0.04",="1.06**"
="",="(2.39)",="(0.50)",="(-1.78)",="(-4.11)",="(0.17)",="(-0.02)",="(3.90)",="(-1.05)",="(-1.06)",="(0.51)",="(4.21)"

="war",="0.00",="0.65***",="-0.20*",="0.13",="-1.09",="0.02",="0.24",="-0.23**",="-0.44*",="0.09",="0.25"
="",="(0.00)",="(6.17)",="(-2.42)",="(1.08)",="(-1.98)",="(0.12)",="(1.57)",="(-3.41)",="(-2.42)",="(0.54)",="(0.35)"

="year",="-0.01",="-0.01**",="0.02***",="0.04***",="0.04",="-0.02*",="-0.02*",="-0.01**",="0.01",="-0.02*",="-0.12**"
="",="(-1.27)",="(-3.01)",="(5.83)",="(8.49)",="(1.78)",="(-3.12)",="(-2.80)",="(-2.90)",="(0.61)",="(-2.61)",="(-4.23)"

