
="",="ln_pIAmiens",="ln_pIBayonne",="ln_pIBordeaux",="ln_pIBourgogne",="ln_pICaen",="ln_pICharleville",="ln_pIChâlons",="ln_pIFlandre",="ln_pILaRochelle",="ln_pILangres",="ln_pILyon",="ln_pIMarseille",="ln_pIMontpellier",="ln_pINantes",="ln_pINarbonne",="ln_pIRennes",="ln_pIRouen",="ln_pISaint_Quentin"

="loss",="4.67***",="1.91***",="-1.32*",="0.90",="6.85***",="-0.00",="6.41**",="-1.19",="-0.88",="0.87",="-2.14",="0.73**",="-1.37",="-2.40***",="-0.42",="1.81*",="-0.00",="5.25**"
="",="(4.61)",="(4.04)",="(-2.62)",="(1.45)",="(4.45)",="(-0.00)",="(4.29)",="(-1.59)",="(-1.79)",="(1.11)",="(-1.62)",="(3.31)",="(-1.48)",="(-4.38)",="(-0.55)",="(2.59)",="(-0.00)",="(3.79)"

="war",="0.20",="0.20",="-0.05",="0.77***",="0.11",="0.33",="0.92",="0.49",="0.03",="0.59*",="1.67**",="-0.15*",="0.33",="-0.43**",="0.05",="-0.13",="-0.22",="1.09*"
="",="(0.61)",="(1.20)",="(-0.28)",="(5.94)",="(0.23)",="(2.11)",="(1.92)",="(2.05)",="(0.19)",="(2.38)",="(3.96)",="(-2.04)",="(1.11)",="(-2.80)",="(0.19)",="(-0.54)",="(-1.82)",="(2.46)"

="year",="-0.06**",="-0.05***",="0.03***",="0.03*",="-0.09**",="-0.01",="-0.10***",="0.05**",="-0.02**",="0.04**",="-0.01",="-0.01*",="0.06**",="0.02*",="0.03*",="0.01",="0.00",="-0.12***"
="",="(-4.38)",="(-6.95)",="(4.35)",="(2.97)",="(-3.81)",="(-0.84)",="(-4.81)",="(4.13)",="(-2.79)",="(3.90)",="(-0.54)",="(-2.36)",="(4.53)",="(2.66)",="(2.62)",="(1.09)",="(0.26)",="(-6.14)"



="loss_nm",="5.13**",="2.30***",="-1.83**",="1.39*",="7.69**",="0.20",="7.19**",="-0.92",="-1.08",="0.89",="-1.59",="0.85**",="-1.94",="-2.80***",="-0.11",="1.94*",="-0.04",="6.02**"
="",="(3.90)",="(4.19)",="(-3.28)",="(2.50)",="(4.00)",="(0.36)",="(3.89)",="(-0.99)",="(-1.89)",="(0.97)",="(-0.96)",="(3.30)",="(-1.91)",="(-4.80)",="(-0.12)",="(2.33)",="(-0.08)",="(3.65)"

="war",="-0.18",="0.04",="0.11",="0.66***",="-0.48",="0.30",="0.38",="0.54",="0.11",="0.53",="1.75**",="-0.20*",="0.50",="-0.25",="0.04",="-0.23",="-0.22",="0.63"
="",="(-0.45)",="(0.21)",="(0.57)",="(5.67)",="(-0.84)",="(1.79)",="(0.69)",="(1.93)",="(0.57)",="(1.93)",="(3.53)",="(-2.42)",="(1.63)",="(-1.48)",="(0.13)",="(-0.81)",="(-1.68)",="(1.28)"

="year",="-0.05**",="-0.05***",="0.03***",="0.03**",="-0.06*",="-0.01",="-0.08**",="0.04**",="-0.02**",="0.05**",="-0.02",="-0.01",="0.06***",="0.01*",="0.03*",="0.02",="0.00",="-0.11***"
="",="(-3.19)",="(-6.73)",="(4.65)",="(4.51)",="(-2.82)",="(-0.98)",="(-3.87)",="(3.70)",="(-3.51)",="(4.41)",="(-1.01)",="(-1.81)",="(4.83)",="(2.06)",="(2.56)",="(1.87)",="(0.30)",="(-5.54)"



="ln(loss)",="0.59*",="0.28***",="-0.11",="0.02",="0.78*",="-0.01",="0.76*",="-0.22",="-0.05",="0.11",="-0.45*",="0.10*",="-0.05",="-0.23*",="-0.06",="0.17",="-0.01",="0.59*"
="",="(3.16)",="(3.73)",="(-1.34)",="(0.18)",="(2.55)",="(-0.18)",="(2.65)",="(-2.16)",="(-0.70)",="(0.95)",="(-2.64)",="(2.64)",="(-0.32)",="(-2.32)",="(-0.54)",="(1.54)",="(-0.20)",="(2.27)"

="war",="0.20",="0.28",="-0.16",="0.76***",="0.12",="0.34",="0.95",="0.52*",="-0.07",="0.59*",="1.76***",="-0.13",="0.27",="-0.58**",="0.05",="0.02",="-0.22",="1.13"
="",="(0.49)",="(1.70)",="(-0.87)",="(5.27)",="(0.18)",="(2.14)",="(1.53)",="(2.36)",="(-0.39)",="(2.33)",="(4.78)",="(-1.68)",="(0.82)",="(-3.22)",="(0.21)",="(0.07)",="(-1.79)",="(2.00)"

="year",="-0.07**",="-0.06***",="0.03**",="0.04**",="-0.08*",="-0.01",="-0.11**",="0.05***",="-0.02**",="0.04**",="-0.00",="-0.01",="0.06**",="0.01",="0.03*",="0.02",="0.00",="-0.12**"
="",="(-3.47)",="(-6.68)",="(3.41)",="(3.85)",="(-2.66)",="(-0.72)",="(-3.57)",="(4.66)",="(-3.09)",="(3.62)",="(-0.03)",="(-1.94)",="(3.57)",="(1.38)",="(2.55)",="(1.21)",="(0.35)",="(-4.57)"



="ln(loss_nm)",="0.56**",="0.31***",="-0.10",="0.08",="0.74**",="-0.02",="0.77**",="-0.18",="-0.05",="0.08",="-0.31",="0.09*",="-0.14",="-0.25*",="-0.05",="0.17",="-0.03",="0.62**"
="",="(4.30)",="(5.28)",="(-1.35)",="(0.94)",="(3.26)",="(-0.35)",="(3.96)",="(-2.03)",="(-0.72)",="(0.79)",="(-1.98)",="(2.66)",="(-1.18)",="(-2.49)",="(-0.50)",="(1.72)",="(-0.51)",="(3.42)"

="war",="-0.06",="0.18",="-0.16",="0.73***",="-0.21",="0.35",="0.56",="0.59*",="-0.06",="0.57",="1.84**",="-0.13",="0.38",="-0.52*",="0.07",="-0.02",="-0.21",="0.81"
="",="(-0.18)",="(1.20)",="(-0.84)",="(5.21)",="(-0.34)",="(2.14)",="(1.06)",="(2.49)",="(-0.36)",="(2.11)",="(4.35)",="(-1.73)",="(1.18)",="(-2.75)",="(0.26)",="(-0.08)",="(-1.65)",="(1.63)"

="year",="-0.05**",="-0.05***",="0.03**",="0.04**",="-0.06*",="-0.01",="-0.08**",="0.04**",="-0.03***",="0.05**",="-0.02",="-0.00",="0.06**",="0.01",="0.03*",="0.02",="0.00",="-0.10***"
="",="(-3.26)",="(-7.88)",="(3.51)",="(4.00)",="(-2.34)",="(-0.86)",="(-3.77)",="(4.32)",="(-3.70)",="(4.45)",="(-1.05)",="(-1.41)",="(4.29)",="(1.27)",="(2.67)",="(1.79)",="(0.37)",="(-5.22)"

