
="",="(1)",="(2)",="(3)"
="",="SITC#each_war no breaks",="SITC#each_war 1795 break",="each_war no breaks"

="(sum) value",="",="",=""
="Allemagne # European foodstuff and beverage",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="Allemagne # Other",="7.723",="7.639",="16.17**"
="",="(1.42)",="(1.40)",="(2.58)"

="Allemagne # Plantation foodstuff",="8.880",="-14.45*",="18.65"
="",="(1.66)",="(-2.26)",="(1.55)"

="Allemagne # Raw mat fuel oils",="5.054",="4.661",="25.84***"
="",="(0.78)",="(0.72)",="(3.76)"

="Allemagne # Textile manuf",="7.048",="6.972",="18.66***"
="",="(1.56)",="(1.54)",="(3.54)"

="Allemagne # Various manuf",="3.094",="3.092",="27.48***"
="",="(0.70)",="(0.70)",="(4.58)"

="Angleterre # European foodstuff and beverage",="29.51***",="29.38***",="37.78**"
="",="(4.88)",="(4.83)",="(2.90)"

="Angleterre # Other",="36.85***",="36.64***",="53.63***"
="",="(4.27)",="(4.23)",="(3.75)"

="Angleterre # Plantation foodstuff",="39.38***",="16.64",="57.97***"
="",="(4.90)",="(1.90)",="(3.36)"

="Angleterre # Raw mat fuel oils",="33.13***",="32.61***",="62.27***"
="",="(3.80)",="(3.72)",="(4.29)"

="Angleterre # Textile manuf",="35.68***",="35.47***",="55.63***"
="",="(4.43)",="(4.37)",="(3.87)"

="Angleterre # Various manuf",="31.90***",="31.76***",="64.56***"
="",="(4.52)",="(4.48)",="(4.47)"

="Espagne # European foodstuff and beverage",="16.51**",="16.51**",="4.750"
="",="(3.16)",="(3.13)",="(0.79)"

="Espagne # Other",="24.09***",="24.00***",="21.14*"
="",="(3.39)",="(3.36)",="(2.45)"

="Espagne # Plantation foodstuff",="27.43***",="4.851",="26.10"
="",="(3.90)",="(0.61)",="(1.94)"

="Espagne # Raw mat fuel oils",="19.78*",="19.38*",="28.66**"
="",="(2.52)",="(2.46)",="(3.19)"

="Espagne # Textile manuf",="23.90***",="23.83***",="23.66**"
="",="(3.44)",="(3.41)",="(2.97)"

="Espagne # Various manuf",="18.80**",="18.80**",="31.22***"
="",="(3.13)",="(3.11)",="(3.78)"

="Flandre et autres états de l'Empereur # European foodstuff and beverage",="37.76***",="39.96***",="41.26***"
="",="(5.73)",="(5.97)",="(3.92)"

="Flandre et autres états de l'Empereur # Other",="44.42***",="46.52***",="56.50***"
="",="(5.14)",="(5.31)",="(4.62)"

="Flandre et autres états de l'Empereur # Plantation foodstuff",="50.19***",="29.82***",="63.78***"
="",="(6.19)",="(3.37)",="(3.98)"

