
="",="(1)"
="",="SITC#each_war no breaks"

="(sum) value",=""
="Blockade # ally",="0"
="",="(.)"

="Blockade # foe",="-422.0***"
="",="(-5.45)"

="Blockade # neutral",="-447.2***"
="",="(-3.75)"

="Mercantilist_War # ally",="-143.6*"
="",="(-2.48)"

="Mercantilist_War # foe",="-65.08"
="",="(-1.11)"

="Mercantilist_War # neutral",="-157.0**"
="",="(-2.70)"

="Blockade # ally # year",="-0.00408"
="",="(-0.11)"

="Blockade # foe # year",="0.229***"
="",="(6.27)"

="Blockade # neutral # year",="0.243***"
="",="(3.89)"

="Mercantilist_War # ally # year",="0.0751***"
="",="(3.31)"

="Mercantilist_War # foe # year",="0.0304"
="",="(1.30)"

="Mercantilist_War # neutral # year",="0.0827***"
="",="(3.61)"

="Allemagne # European foodstuff and beverage",="0"
="",="(.)"

="Allemagne # Other",="72.65***"
="",="(7.26)"

="Allemagne # Plantation foodstuff",="21.00"
="",="(0.63)"

="Allemagne # Raw mat fuel oils",="78.20**"
="",="(2.94)"

="Allemagne # Textile manuf",="50.03***"
="",="(5.54)"

="Allemagne # Various manuf",="107.0***"
="",="(7.54)"

="Angleterre # European foodstuff and beverage",="10.88"
="",="(0.57)"

="Angleterre # Other",="17.14"
="",="(0.66)"

="Angleterre # Plantation foodstuff",="107.3***"
="",="(5.38)"

="Angleterre # Raw mat fuel oils",="11.12"
="",="(0.31)"

="Angleterre # Textile manuf",="46.18"
="",="(1.61)"

="Angleterre # Various manuf",="62.16*"
="",="(2.35)"

="Espagne # European foodstuff and beverage",="16.43"
="",="(1.83)"

="Espagne # Other",="81.81***"
="",="(10.03)"

="Espagne # Plantation foodstuff",="151.9***"
="",="(10.16)"

="Espagne # Raw mat fuel oils",="42.29***"
="",="(4.33)"

="Espagne # Textile manuf",="84.20***"
="",="(10.12)"

="Espagne # Various manuf",="84.30***"
="",="(11.24)"

="Flandre et autres états de l'Empereur # European foodstuff and beverage",="139.8***"
="",="(5.15)"

="Flandre et autres états de l'Empereur # Other",="95.76***"
="",="(6.37)"

="Flandre et autres états de l'Empereur # Plantation foodstuff",="134.3***"
="",="(6.56)"

="Flandre et autres états de l'Empereur # Raw mat fuel oils",="116.0***"
="",="(5.57)"

="Flandre et autres états de l'Empereur # Textile manuf",="96.62***"
="",="(6.94)"

="Flandre et autres états de l'Empereur # Various manuf",="116.4***"
="",="(6.09)"

="Hollande # European foodstuff and beverage",="83.00***"
="",="(5.54)"

="Hollande # Other",="93.43***"
="",="(5.92)"

="Hollande # Plantation foodstuff",="174.7***"
="",="(7.79)"

="Hollande # Raw mat fuel oils",="81.81***"
="",="(5.32)"

="Hollande # Textile manuf",="77.08***"
="",="(5.43)"

="Hollande # Various manuf",="90.93***"
="",="(6.23)"

="Italie # European foodstuff and beverage",="34.86**"
="",="(2.75)"

="Italie # Other",="62.90***"
="",="(5.23)"

="Italie # Plantation foodstuff",="196.4***"
="",="(5.90)"

="Italie # Raw mat fuel oils",="77.77**"
="",="(2.70)"

="Italie # Textile manuf",="71.32***"
="",="(5.48)"

="Italie # Various manuf",="61.72***"
="",="(4.72)"

="Levant et Barbarie # European foodstuff and beverage",="71.03***"
="",="(4.95)"

="Levant et Barbarie # Other",="44.86**"
="",="(2.89)"

="Levant et Barbarie # Plantation foodstuff",="167.2***"
="",="(8.90)"

="Levant et Barbarie # Raw mat fuel oils",="126.0***"
="",="(7.75)"

="Levant et Barbarie # Textile manuf",="146.1***"
="",="(9.81)"

