
="",="(1)",="(2)",="(3)"
="",="SITC#each_war no breaks",="SITC#each_war 1795 break",="each_war no breaks"

="(sum) value",="",="",=""
="Allemagne # European foodstuff and beverage",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="Allemagne # Other",="17.69**",="17.88**",="4.249"
="",="(3.16)",="(3.21)",="(0.80)"

="Allemagne # Plantation foodstuff",="-2.316",="-33.49**",="-22.41"
="",="(-0.34)",="(-3.15)",="(-0.83)"

="Allemagne # Raw mat fuel oils",="0.255",="0.799",="-1.204"
="",="(0.06)",="(0.21)",="(-0.29)"

="Allemagne # Textile manuf",="22.46***",="22.55***",="15.34**"
="",="(3.88)",="(3.95)",="(2.73)"

="Allemagne # Various manuf",="3.459",="5.363",="0.582"
="",="(0.97)",="(1.50)",="(0.13)"

="Angleterre # European foodstuff and beverage",="43.80***",="46.49***",="82.33***"
="",="(7.74)",="(8.07)",="(7.03)"

="Angleterre # Other",="59.67***",="62.54***",="85.60***"
="",="(7.21)",="(7.50)",="(6.73)"

="Angleterre # Plantation foodstuff",="41.14***",="14.34",="60.92*"
="",="(4.77)",="(1.17)",="(2.03)"

="Angleterre # Raw mat fuel oils",="42.72***",="45.95***",="79.81***"
="",="(6.22)",="(6.68)",="(6.29)"

="Angleterre # Textile manuf",="64.99***",="67.75***",="95.91***"
="",="(7.16)",="(7.45)",="(7.01)"

="Angleterre # Various manuf",="46.19***",="50.76***",="82.28***"
="",="(6.91)",="(7.39)",="(6.24)"

="Espagne # European foodstuff and beverage",="68.76***",="70.01***",="87.45***"
="",="(11.06)",="(11.35)",="(12.36)"

="Espagne # Other",="83.83***",="85.25***",="89.21***"
="",="(9.59)",="(9.81)",="(9.75)"

="Espagne # Plantation foodstuff",="67.32***",="41.78**",="68.03*"
="",="(6.39)",="(2.96)",="(2.43)"

="Espagne # Raw mat fuel oils",="69.57***",="71.36***",="86.40***"
="",="(8.72)",="(8.94)",="(10.18)"

="Espagne # Textile manuf",="88.64***",="89.98***",="99.93***"
="",="(9.77)",="(10.03)",="(10.11)"

="Espagne # Various manuf",="71.67***",="74.78***",="87.45***"
="",="(9.86)",="(10.24)",="(10.38)"

="Flandre et autres états de l'Empereur # European foodstuff and beverage",="49.65***",="49.75***",="92.32***"
="",="(7.12)",="(7.08)",="(9.43)"

="Flandre et autres états de l'Empereur # Other",="67.24***",="67.53***",="96.69***"
="",="(7.70)",="(7.71)",="(8.58)"

="Flandre et autres états de l'Empereur # Plantation foodstuff",="47.05***",="20.44",="74.05*"
="",="(4.86)",="(1.60)",="(2.55)"

