
="",="(1)"
="",="SITC#each_war no breaks"

="(sum) value",=""
="Mercantilist_War # ally",="0"
="",="(.)"

="Mercantilist_War # foe",="-1.342"
="",="(-0.08)"

="Mercantilist_War # neutral",="-39.43***"
="",="(-3.70)"

="aR&N War # ally",="65.80"
="",="(0.82)"

="aR&N War # foe",="96.53"
="",="(0.83)"

="aR&N War # neutral",="111.9"
="",="(0.94)"

="Mercantilist_War # ally # year",="0.0907**"
="",="(2.74)"

="Mercantilist_War # foe # year",="0.0909**"
="",="(2.68)"

="Mercantilist_War # neutral # year",="0.113***"
="",="(3.41)"

="aR&N War # ally # year",="0.0542"
="",="(0.99)"

="aR&N War # foe # year",="0.0371"
="",="(0.51)"

="aR&N War # neutral # year",="0.0286"
="",="(0.39)"

="Allemagne # European foodstuff and beverage",="0"
="",="(.)"

="Allemagne # Other",="35.83"
="",="(1.57)"

="Allemagne # Plantation foodstuff",="-35.91"
="",="(-1.07)"

="Allemagne # Raw mat fuel oils",="-86.73**"
="",="(-2.61)"

="Allemagne # Textile manuf",="-19.06"
="",="(-0.75)"

="Allemagne # Various manuf",="1.458"
="",="(0.06)"

="Angleterre # European foodstuff and beverage",="175.9***"
="",="(5.77)"

="Angleterre # Other",="128.7***"
="",="(3.56)"

="Angleterre # Plantation foodstuff",="-644.7*"
="",="(-2.50)"

="Angleterre # Raw mat fuel oils",="-28.74"
="",="(-0.55)"

="Angleterre # Textile manuf",="136.2***"
="",="(4.12)"

="Angleterre # Various manuf",="51.30"
="",="(1.41)"

="Espagne # European foodstuff and beverage",="78.36***"
="",="(3.33)"

="Espagne # Other",="35.75"
="",="(1.51)"

="Espagne # Plantation foodstuff",="-16.11"
="",="(-0.53)"

="Espagne # Raw mat fuel oils",="65.87**"
="",="(2.86)"

="Espagne # Textile manuf",="156.2***"
="",="(6.56)"

="Espagne # Various manuf",="55.96*"
="",="(2.44)"

="Flandre et autres états de l'Empereur # European foodstuff and beverage",="119.0***"
="",="(4.45)"

="Flandre et autres états de l'Empereur # Other",="159.4***"
="",="(5.37)"

="Flandre et autres états de l'Empereur # Plantation foodstuff",="127.0***"
="",="(4.46)"

="Flandre et autres états de l'Empereur # Raw mat fuel oils",="110.2***"
="",="(4.12)"

="Flandre et autres états de l'Empereur # Textile manuf",="165.4***"
="",="(5.96)"

="Flandre et autres états de l'Empereur # Various manuf",="130.9***"
="",="(4.46)"

="Hollande # European foodstuff and beverage",="71.14**"
="",="(2.90)"

="Hollande # Other",="48.94"
="",="(1.87)"

="Hollande # Plantation foodstuff",="36.29"
="",="(1.38)"

="Hollande # Raw mat fuel oils",="57.72*"
="",="(2.31)"

="Hollande # Textile manuf",="22.85"
="",="(0.75)"

="Hollande # Various manuf",="68.07**"
="",="(2.74)"

="Italie # European foodstuff and beverage",="24.79"
="",="(0.97)"

="Italie # Other",="42.17"
="",="(1.70)"

="Italie # Plantation foodstuff",="20.56"
="",="(0.72)"

="Italie # Raw mat fuel oils",="51.36*"
="",="(2.11)"

="Italie # Textile manuf",="105.2***"
="",="(3.97)"

="Italie # Various manuf",="45.90"
="",="(1.90)"

="Levant et Barbarie # European foodstuff and beverage",="141.9***"
="",="(5.51)"

="Levant et Barbarie # Other",="93.94***"
="",="(3.45)"

="Levant et Barbarie # Plantation foodstuff",="169.9***"
="",="(6.01)"

="Levant et Barbarie # Raw mat fuel oils",="97.29***"
="",="(3.76)"

="Levant et Barbarie # Textile manuf",="192.6***"
="",="(7.17)"

="Levant et Barbarie # Various manuf",="120.2***"
