
="",="(1)",="(2)",="(3)"
="",="No breaks",="Break coffee",="Break coffee & sugar"

="Value",="",="",=""
="Afrique Coffee",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="Afrique Eau de vie",="4.535",="68.01***",="67.83***"
="",="(0.38)",="(7.11)",="(7.10)"

="Afrique Sugar",="17.53",="81.41***",="45.17***"
="",="(1.56)",="(9.32)",="(4.86)"

="Afrique Wine",="-12.59",="50.93***",="50.73***"
="",="(-1.16)",="(6.25)",="(6.23)"

="Afrique Other",="8.113",="71.31***",="71.11***"
="",="(0.76)",="(9.17)",="(9.15)"

="Allemagne et Pologne (par terre) Coffee",="99.14**",="-152.2",="-142.8"
="",="(3.16)",="(-0.85)",="(-0.78)"

="Allemagne et Pologne (par terre) Eau de vie",="98.09**",="-89.32",="-80.08"
="",="(2.85)",="(-0.50)",="(-0.44)"

="Allemagne et Pologne (par terre) Sugar",="114.6**",="-72.41",="-99.33"
="",="(3.27)",="(-0.40)",="(-0.54)"

="Allemagne et Pologne (par terre) Wine",="83.68*",="-103.7",="-94.47"
="",="(2.52)",="(-0.58)",="(-0.52)"

="Allemagne et Pologne (par terre) Other",="104.7**",="-83.02",="-73.81"
="",="(3.17)",="(-0.46)",="(-0.40)"

="Angleterre Coffee",="105.0***",="-149.2",="-142.5"
="",="(3.34)",="(-0.83)",="(-0.78)"

="Angleterre Eau de vie",="106.9**",="-84.03",="-77.55"
="",="(3.13)",="(-0.47)",="(-0.42)"

="Angleterre Sugar",="122.2***",="-68.37",="-97.78"
="",="(3.49)",="(-0.38)",="(-0.53)"

="Angleterre Wine",="91.29**",="-99.63",="-93.17"
="",="(2.74)",="(-0.56)",="(-0.51)"

="Angleterre Other",="111.0***",="-80.19",="-73.73"
="",="(3.36)",="(-0.45)",="(-0.40)"

="Colonies françaises Coffee",="135.7***",="136.4***",="147.7**"
="",="(4.33)",="(4.35)",="(2.91)"

="Colonies françaises Eau de vie",="138.6***",="202.0***",="213.1***"
="",="(4.03)",="(6.01)",="(4.09)"

="Colonies françaises Sugar",="153.0***",="216.9***",="191.9***"
="",="(4.38)",="(6.35)",="(3.70)"

="Colonies françaises Wine",="125.2***",="188.7***",="199.8***"
="",="(3.79)",="(5.86)",="(3.89)"

="Colonies françaises Other",="145.3***",="208.5***",="219.6***"
="",="(4.41)",="(6.50)",="(4.28)"

="Espagne Coffee",="127.9***",="-125.5",="-117.6"
="",="(4.10)",="(-0.70)",="(-0.64)"

="Espagne Eau de vie",="129.0***",="-61.18",="-53.48"
="",="(3.76)",="(-0.34)",="(-0.29)"

="Espagne Sugar",="147.6***",="-42.09",="-70.27"
="",="(4.25)",="(-0.24)",="(-0.38)"

="Espagne Wine",="113.0***",="-77.12",="-69.44"
="",="(3.42)",="(-0.43)",="(-0.38)"

="Espagne Other",="135.8***",="-54.65",="-46.97"
="",="(4.14)",="(-0.31)",="(-0.26)"

="Flandre et autres états de l'Emp Coffee",="155.0***",="-99.75",="-92.87"
="",="(4.82)",="(-0.56)",="(-0.51)"

="Flandre et autres états de l'Emp Eau de vie",="151.3***",="-40.10",="-33.39"
="",="(4.30)",="(-0.22)",="(-0.18)"

="Flandre et autres états de l'Emp Sugar",="171.0***",="-19.99",="-49.24"
="",="(4.79)",="(-0.11)",="(-0.27)"

="Flandre et autres états de l'Emp Wine",="137.1***",="-54.28",="-47.59"
="",="(4.03)",="(-0.30)",="(-0.26)"

