
="",="(1)",="(2)",="(3)"
="",="Value",="Value",="Value"

="Value",="",="",=""
="Afrique Other",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="Allemagne et Pologne (par terre) Coffee",="266.5**",="145.0",="153.6"
="",="(2.77)",="(1.49)",="(1.57)"

="Allemagne et Pologne (par terre) Eau de vie",="247.5*",="249.0*",="247.0*"
="",="(2.55)",="(2.57)",="(2.55)"

="Allemagne et Pologne (par terre) Sugar",="254.0**",="260.2**",="166.7"
="",="(2.64)",="(2.70)",="(1.70)"

="Allemagne et Pologne (par terre) Wine",="244.3*",="245.9*",="244.1*"
="",="(2.55)",="(2.56)",="(2.55)"

="Allemagne et Pologne (par terre) Other",="267.7**",="269.4**",="268.7**"
="",="(2.79)",="(2.81)",="(2.80)"

="Angleterre Coffee",="263.8**",="142.9",="153.7"
="",="(2.76)",="(1.47)",="(1.58)"

="Angleterre Eau de vie",="244.6*",="244.7*",="244.9*"
="",="(2.54)",="(2.54)",="(2.54)"

="Angleterre Sugar",="252.8**",="257.5**",="166.3"
="",="(2.65)",="(2.70)",="(1.71)"

="Angleterre Wine",="240.4*",="240.6*",="241.0*"
="",="(2.52)",="(2.52)",="(2.52)"

="Angleterre Other",="264.9**",="265.2**",="266.7**"
="",="(2.78)",="(2.78)",="(2.80)"

="Colonies françaises Coffee",="300.9**",="173.1",="168.9"
="",="(3.15)",="(1.79)",="(1.75)"

="Colonies françaises Eau de vie",="280.7**",="270.7**",="255.6**"
="",="(2.92)",="(2.81)",="(2.66)"

="Colonies françaises Sugar",="289.8**",="284.4**",="180.9"
="",="(3.04)",="(2.98)",="(1.87)"

="Colonies françaises Wine",="273.3**",="263.3**",="248.5**"
="",="(2.86)",="(2.76)",="(2.60)"

="Colonies françaises Other",="298.4**",="288.7**",="275.2**"
="",="(3.14)",="(3.03)",="(2.89)"

="Espagne Coffee",="318.5***",="197.5*",="208.4*"
="",="(3.33)",="(2.04)",="(2.15)"

="Espagne Eau de vie",="304.6**",="302.5**",="302.9**"
="",="(3.17)",="(3.15)",="(3.15)"

="Espagne Sugar",="308.5**",="310.9**",="220.0*"
="",="(3.23)",="(3.26)",="(2.27)"

="Espagne Wine",="298.8**",="296.7**",="297.4**"
="",="(3.13)",="(3.11)",="(3.12)"

="Espagne Other",="320.1***",="318.2***",="319.9***"
="",="(3.36)",="(3.34)",="(3.36)"

="Flandre et autres états de l'Emp Coffee",="312.9**",="189.1",="196.7*"
="",="(3.27)",="(1.95)",="(2.03)"

="Flandre et autres états de l'Emp Eau de vie",="300.1**",="295.7**",="292.7**"
="",="(3.12)",="(3.07)",="(3.04)"

="Flandre et autres états de l'Emp Sugar",="303.3**",="303.4**",="209.4*"
="",="(3.18)",="(3.18)",="(2.16)"

="Flandre et autres états de l'Emp Wine",="294.4**",="290.0**",="287.2**"
="",="(3.09)",="(3.04)",="(3.01)"

="Flandre et autres états de l'Emp Other",="317.7***",="313.4***",="311.8**"
="",="(3.34)",="(3.29)",="(3.27)"

="Hollande Coffee",="294.8**",="177.6",="195.8*"
="",="(3.08)",="(1.83)",="(2.01)"

="Hollande Eau de vie",="276.4**",="282.8**",="290.5**"
="",="(2.87)",="(2.93)",="(3.01)"

="Hollande Sugar",="282.7**",="293.5**",="208.1*"
="",="(2.96)",="(3.07)",="(2.14)"

="Hollande Wine",="270.4**",="276.8**",="284.7**"
="",="(2.83)",="(2.89)",="(2.97)"

="Hollande Other",="294.3**",="300.8**",="309.8**"
="",="(3.09)",="(3.16)",="(3.25)"

="Italie Coffee",="303.4**",="183.2",="196.3*"
="",="(3.16)",="(1.88)",="(2.01)"

="Italie Eau de vie",="288.5**",="289.6**",="292.1**"
="",="(2.99)",="(3.00)",="(3.02)"

="Italie Sugar",="293.1**",="298.7**",="207.9*"
="",="(3.06)",="(3.11)",="(2.13)"

="Italie Wine",="283.3**",="284.4**",="287.2**"
="",="(2.95)",="(2.96)",="(2.99)"

="Italie Other",="307.4**",="308.7**",="312.5**"
="",="(3.22)",="(3.23)",="(3.27)"

="Levant et Barbarie Coffee",="301.7**",="177.5",="183.9"
="",="(3.16)",="(1.83)",="(1.90)"

="Levant et Barbarie Eau de vie",="279.0**",="272.6**",="268.4**"
="",="(2.90)",="(2.83)",="(2.79)"

="Levant et Barbarie Sugar",="287.4**",="285.6**",="193.1*"
="",="(3.01)",="(2.99)",="(1.99)"

="Levant et Barbarie Wine",="277.8**",="271.4**",="267.5**"
="",="(2.91)",="(2.84)",="(2.80)"

="Levant et Barbarie Other",="302.6**",="296.5**",="293.6**"
="",="(3.18)",="(3.11)",="(3.08)"

="Nord Coffee",="280.0**",="157.8",="169.2"
="",="(2.93)",="(1.63)",="(1.75)"

="Nord Eau de vie",="263.0**",="264.8**",="265.8**"
="",="(2.73)",="(2.75)",="(2.76)"

="Nord Sugar",="268.5**",="274.9**",="182.6"
="",="(2.81)",="(2.88)",="(1.88)"

="Nord Wine",="255.9**",="257.8**",="259.0**"
="",="(2.68)",="(2.70)",="(2.71)"

="Nord Other",="281.1**",="283.1**",="285.4**"
="",="(2.95)",="(2.98)",="(3.00)"

="Portugal Coffee",="276.4**",="155.5",="171.6"
="",="(2.89)",="(1.60)",="(1.77)"

="Portugal Eau de vie",="260.7**",="260.3**",="265.8**"
