
="",="(1)",="(2)"
="",="SITC#all_war no breaks",="SITC#all_war 1795 break"

="(sum) value",="",=""
="Allemagne # European foodstuff and beverage",="0",="0"
="",="(.)",="(.)"

="Allemagne # Other",="14.60**",="14.45**"
="",="(3.26)",="(3.22)"

="Allemagne # Plantation foodstuff",="28.22***",="-6.720"
="",="(5.49)",="(-1.07)"

="Allemagne # Raw mat fuel oils",="14.49*",="13.98*"
="",="(2.51)",="(2.42)"

="Allemagne # Textile manuf",="13.65***",="13.53***"
="",="(3.52)",="(3.45)"

="Allemagne # Various manuf",="15.36***",="15.30***"
="",="(3.72)",="(3.70)"

="Angleterre # European foodstuff and beverage",="33.37***",="33.47***"
="",="(5.45)",="(5.42)"

="Angleterre # Other",="47.56***",="47.50***"
="",="(5.99)",="(5.95)"

="Angleterre # Plantation foodstuff",="62.48***",="28.39**"
="",="(7.85)",="(3.24)"

="Angleterre # Raw mat fuel oils",="46.34***",="45.93***"
="",="(5.55)",="(5.47)"

="Angleterre # Textile manuf",="46.17***",="46.13***"
="",="(6.01)",="(5.96)"

="Angleterre # Various manuf",="47.99***",="48.02***"
="",="(6.63)",="(6.59)"

="Espagne # European foodstuff and beverage",="17.92**",="17.69**"
="",="(3.25)",="(3.15)"

="Espagne # Other",="32.34***",="31.96***"
="",="(4.79)",="(4.69)"

="Espagne # Plantation foodstuff",="48.11***",="13.73"
="",="(6.69)",="(1.68)"

="Espagne # Raw mat fuel oils",="30.63***",="29.89***"
="",="(4.01)",="(3.87)"

="Espagne # Textile manuf",="31.84***",="31.49***"
="",="(4.73)",="(4.62)"

="Espagne # Various manuf",="32.44***",="32.16***"
="",="(5.22)",="(5.10)"

="Flandre et autres états de l'Empereur # European foodstuff and beverage",="39.97***",="43.35***"
="",="(6.17)",="(6.48)"

="Flandre et autres états de l'Empereur # Other",="53.49***",="56.70***"
="",="(6.74)",="(6.96)"

="Flandre et autres états de l'Empereur # Plantation foodstuff",="71.64***",="40.88***"
="",="(9.21)",="(4.66)"

="Flandre et autres états de l'Empereur # Raw mat fuel oils",="53.95***",="56.82***"
="",="(6.69)",="(6.88)"

="Flandre et autres états de l'Empereur # Textile manuf",="52.76***",="56.00***"
="",="(6.86)",="(7.07)"

="Flandre et autres états de l'Empereur # Various manuf",="54.19***",="57.50***"
="",="(7.47)",="(7.67)"

="Hollande # European foodstuff and beverage",="26.64***",="27.50***"
="",="(5.27)",="(5.29)"

="Hollande # Other",="40.28***",="40.98***"
="",="(5.95)",="(5.94)"

="Hollande # Plantation foodstuff",="57.80***",="24.56***"
="",="(8.97)",="(3.38)"

="Hollande # Raw mat fuel oils",="39.79***",="40.14***"
="",="(5.54)",="(5.49)"

="Hollande # Textile manuf",="39.05***",="39.77***"
="",="(5.86)",="(5.82)"

="Hollande # Various manuf",="40.36***",="41.15***"
="",="(6.64)",="(6.59)"

="Italie # European foodstuff and beverage",="6.662",="4.381"
="",="(1.37)",="(0.87)"

="Italie # Other",="21.31**",="18.87**"
="",="(3.21)",="(2.78)"

="Italie # Plantation foodstuff",="38.52***",="2.269"
="",="(5.55)",="(0.27)"

="Italie # Raw mat fuel oils",="20.44**",="17.65*"
="",="(2.79)",="(2.36)"

="Italie # Textile manuf",="20.38**",="17.97**"
="",="(3.19)",="(2.74)"

="Italie # Various manuf",="21.93***",="19.59**"
="",="(3.71)",="(3.22)"

="Levant et Barbarie # European foodstuff and beverage",="18.89***",="19.18***"
="",="(4.16)",="(4.18)"

="Levant et Barbarie # Other",="34.74***",="34.87***"
="",="(5.48)",="(5.47)"

="Levant et Barbarie # Plantation foodstuff",="52.44***",="18.57*"
="",="(8.32)",="(2.55)"

="Levant et Barbarie # Raw mat fuel oils",="33.57***",="33.36***"
="",="(4.83)",="(4.76)"

="Levant et Barbarie # Textile manuf",="35.12***",="35.27***"
="",="(6.26)",="(6.27)"

="Levant et Barbarie # Various manuf",="35.89***",="36.11***"
="",="(6.64)",="(6.63)"

="Nord # European foodstuff and beverage",="10.78",="7.901"
="",="(1.74)",="(1.20)"

="Nord # Other",="23.86**",="20.83*"
="",="(3.03)",="(2.54)"

="Nord # Plantation foodstuff",="42.65***",="5.772"
="",="(5.78)",="(0.72)"

="Nord # Raw mat fuel oils",="23.13**",="19.75*"
="",="(2.80)",="(2.30)"

="Nord # Textile manuf",="22.77**",="19.76*"
="",="(2.85)",="(2.35)"

="Nord # Various manuf",="24.70***",="21.77**"
="",="(3.47)",="(2.92)"

="Outre-mers # European foodstuff and beverage",="13.01**",="12.73**"
="",="(2.79)",="(2.72)"

="Outre-mers # Other",="27.36***",="26.92***"
="",="(4.10)",="(4.03)"

="Outre-mers # Plantation foodstuff",="39.80***",="5.298"
="",="(5.59)",="(0.66)"

="Outre-mers # Raw mat fuel oils",="25.54***",="24.76***"
="",="(3.47)",="(3.35)"

="Outre-mers # Textile manuf",="25.78***",="25.37***"
="",="(3.92)",="(3.84)"

="Outre-mers # Various manuf",="27.20***",="26.86***"
="",="(4.52)",="(4.45)"

="Portugal # European foodstuff and beverage",="29.73***",="29.46***"
="",="(4.95)",="(4.90)"

="Portugal # Other",="45.03***",="44.60***"
