
="",="(1)",="(2)"
="",="SITC#all_war no breaks",="SITC#all_war 1795 break"

="(sum) value",="",=""
="Allemagne # European foodstuff and beverage",="0",="0"
="",="(.)",="(.)"

="Allemagne # Other",="15.17***",="15.46***"
="",="(3.46)",="(3.57)"

="Allemagne # Plantation foodstuff",="-11.23",="-32.44**"
="",="(-1.80)",="(-3.13)"

="Allemagne # Raw mat fuel oils",="-2.054",="-1.354"
="",="(-0.63)",="(-0.43)"

="Allemagne # Textile manuf",="16.86***",="16.87***"
="",="(3.40)",="(3.47)"

="Allemagne # Various manuf",="2.924",="5.376"
="",="(0.90)",="(1.66)"

="Angleterre # European foodstuff and beverage",="45.21***",="48.19***"
="",="(7.90)",="(8.36)"

="Angleterre # Other",="58.56***",="61.82***"
="",="(7.62)",="(8.03)"

="Angleterre # Plantation foodstuff",="33.49***",="17.10"
="",="(3.98)",="(1.43)"

="Angleterre # Raw mat fuel oils",="41.73***",="45.41***"
="",="(6.25)",="(6.82)"

="Angleterre # Textile manuf",="60.80***",="63.78***"
="",="(7.11)",="(7.48)"

="Angleterre # Various manuf",="47.03***",="52.44***"
="",="(6.94)",="(7.63)"

="Espagne # European foodstuff and beverage",="68.94***",="69.92***"
="",="(10.92)",="(11.28)"

="Espagne # Other",="81.53***",="82.79***"
="",="(9.97)",="(10.28)"

="Espagne # Plantation foodstuff",="58.74***",="42.77**"
="",="(5.77)",="(3.08)"

="Espagne # Raw mat fuel oils",="67.49***",="69.16***"
="",="(9.08)",="(9.35)"

="Espagne # Textile manuf",="83.26***",="84.25***"
="",="(9.58)",="(9.88)"

="Espagne # Various manuf",="71.33***",="74.72***"
="",="(9.88)",="(10.38)"

="Flandre et autres états de l'Empereur # European foodstuff and beverage",="51.91***",="52.14***"
="",="(7.71)",="(7.68)"

="Flandre et autres états de l'Empereur # Other",="66.99***",="67.51***"
="",="(8.48)",="(8.53)"

="Flandre et autres états de l'Empereur # Plantation foodstuff",="40.27***",="23.87"
="",="(4.39)",="(1.94)"

="Flandre et autres états de l'Empereur # Raw mat fuel oils",="49.10***",="50.03***"
="",="(6.56)",="(6.69)"

="Flandre et autres états de l'Empereur # Textile manuf",="69.83***",="70.08***"
="",="(8.41)",="(8.43)"

="Flandre et autres états de l'Empereur # Various manuf",="53.73***",="56.39***"
="",="(7.09)",="(7.40)"

="Hollande # European foodstuff and beverage",="33.54***",="37.24***"
="",="(7.22)",="(8.48)"

="Hollande # Other",="46.87***",="50.84***"
="",="(6.96)",="(7.80)"

="Hollande # Plantation foodstuff",="23.60**",="10.10"
="",="(3.20)",="(0.91)"

="Hollande # Raw mat fuel oils",="30.42***",="34.81***"
="",="(5.24)",="(6.44)"

="Hollande # Textile manuf",="49.12***",="52.81***"
="",="(6.71)",="(7.45)"

="Hollande # Various manuf",="35.47***",="41.60***"
="",="(6.11)",="(7.49)"

="Italie # European foodstuff and beverage",="35.85***",="36.31***"
="",="(8.25)",="(8.30)"

="Italie # Other",="49.61***",="50.35***"
="",="(7.67)",="(7.82)"

="Italie # Plantation foodstuff",="22.80**",="5.922"
="",="(2.92)",="(0.52)"

="Italie # Raw mat fuel oils",="34.12***",="35.27***"
="",="(6.63)",="(6.87)"

="Italie # Textile manuf",="51.08***",="51.54***"
="",="(7.30)",="(7.44)"

="Italie # Various manuf",="37.12***",="40.02***"
="",="(6.56)",="(7.02)"

="Levant et Barbarie # European foodstuff and beverage",="66.29***",="66.24***"
="",="(14.15)",="(14.05)"

="Levant et Barbarie # Other",="78.73***",="78.96***"
="",="(11.64)",="(11.71)"

="Levant et Barbarie # Plantation foodstuff",="54.19***",="37.74**"
="",="(6.81)",="(3.28)"

="Levant et Barbarie # Raw mat fuel oils",="65.03***",="65.66***"
="",="(11.90)",="(12.01)"

="Levant et Barbarie # Textile manuf",="83.13***",="83.09***"
="",="(12.21)",="(12.30)"

="Levant et Barbarie # Various manuf",="67.89***",="70.25***"
="",="(11.53)",="(11.84)"

="Nord # European foodstuff and beverage",="41.60***",="43.79***"
="",="(7.95)",="(8.22)"

="Nord # Other",="55.41***",="57.88***"
="",="(7.77)",="(8.07)"

="Nord # Plantation foodstuff",="30.73***",="14.47"
="",="(3.92)",="(1.24)"

="Nord # Raw mat fuel oils",="39.16***",="42.05***"
="",="(6.27)",="(6.73)"

="Nord # Textile manuf",="57.97***",="60.16***"
="",="(7.16)",="(7.42)"

="Nord # Various manuf",="44.34***",="48.97***"
="",="(7.34)",="(7.98)"

="Outre-mers # European foodstuff and beverage",="69.85***",="55.95***"
="",="(11.52)",="(8.54)"

="Outre-mers # Other",="83.48***",="69.91***"
="",="(10.87)",="(8.69)"

="Outre-mers # Plantation foodstuff",="63.47***",="33.09***"
="",="(10.14)",="(3.91)"

="Outre-mers # Raw mat fuel oils",="67.63***",="54.40***"
="",="(9.51)",="(7.32)"

="Outre-mers # Textile manuf",="85.53***",="71.72***"
="",="(10.48)",="(8.54)"

="Outre-mers # Various manuf",="73.58***",="62.09***"
="",="(11.34)",="(8.78)"

="Portugal # European foodstuff and beverage",="23.33**",="16.80*"
="",="(3.09)",="(2.30)"

