
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="SITC#group#war no breaks",="SITC#group#war 1795 break",="group#war no breaks",="group#war 1795 breaks",="SITC#war no breaks",="SITC#war 1795 breaks"

="(sum) value",="",="",="",="",="",=""
="Angleterre # European foodstuff and beverage",="0",="0",="0",="0",="30.80***",="30.96***"
="",="(.)",="(.)",="(.)",="(.)",="(5.25)",="(5.25)"

="Angleterre # Other",="5.797",="5.558",="5.593",="5.333",="42.49***",="42.44***"
="",="(1.04)",="(1.00)",="(0.98)",="(0.93)",="(5.56)",="(5.53)"

="Angleterre # Plantation foodstuff",="25.28***",="-10.01",="27.29***",="-10.08",="57.98***",="23.18**"
="",="(4.76)",="(-1.59)",="(5.46)",="(-1.57)",="(7.50)",="(2.76)"

="Angleterre # Raw mat fuel oils",="-2.315",="-3.098",="-2.886",="-3.685",="42.12***",="41.71***"
="",="(-0.45)",="(-0.60)",="(-0.59)",="(-0.74)",="(5.38)",="(5.30)"

="Angleterre # Textile manuf",="14.05**",="13.91**",="13.44**",="13.26**",="42.43***",="42.41***"
="",="(3.08)",="(3.01)",="(2.95)",="(2.86)",="(5.73)",="(5.68)"

="Angleterre # Various manuf",="1.206",="1.122",="1.025",="0.907",="41.60***",="41.65***"
="",="(0.28)",="(0.25)",="(0.24)",="(0.21)",="(6.10)",="(6.06)"

="Espagne # European foodstuff and beverage",="-17.49**",="-17.76**",="-17.02**",="-17.26**",="16.66**",="16.63**"
="",="(-2.88)",="(-2.88)",="(-2.83)",="(-2.82)",="(3.14)",="(3.09)"

="Espagne # Other",="-11.45",="-11.95",="-11.11",="-11.61",="28.70***",="28.46***"
="",="(-1.54)",="(-1.59)",="(-1.49)",="(-1.54)",="(4.39)",="(4.32)"

="Espagne # Plantation foodstuff",="8.750",="-26.84**",="11.18",="-26.42**",="44.76***",="9.779"
="",="(1.14)",="(-3.14)",="(1.52)",="(-3.08)",="(6.38)",="(1.24)"

="Espagne # Raw mat fuel oils",="-19.83**",="-20.88**",="-20.23**",="-21.27**",="27.73***",="27.14***"
="",="(-2.59)",="(-2.69)",="(-2.69)",="(-2.79)",="(3.88)",="(3.76)"

="Espagne # Textile manuf",="-2.087",="-2.494",="-2.339",="-2.758",="29.51***",="29.31***"
="",="(-0.30)",="(-0.35)",="(-0.33)",="(-0.39)",="(4.53)",="(4.46)"

="Espagne # Various manuf",="-16.09*",="-16.44*",="-16.01*",="-16.37*",="27.49***",="27.36***"
="",="(-2.33)",="(-2.35)",="(-2.33)",="(-2.34)",="(4.65)",="(4.57)"

="Flandre et autres états de l'Empereur # European foodstuff and beverage",="5.864",="10.51",="6.041",="10.65",="36.67***",="41.32***"
="",="(0.85)",="(1.49)",="(0.88)",="(1.51)",="(5.83)",="(6.41)"

