
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="SITC#group#war no breaks",="SITC#group#war 1795 break",="group#war no breaks",="group#war 1795 breaks",="SITC#war no breaks",="SITC#war 1795 breaks"

="(sum) value",="",="",="",="",="",=""
="Angleterre # European foodstuff and beverage",="0",="0",="0",="0",="43.84***",="46.68***"
="",="(.)",="(.)",="(.)",="(.)",="(7.74)",="(8.18)"

="Angleterre # Other",="2.769",="2.750",="1.772",="1.728",="54.80***",="57.86***"
="",="(0.57)",="(0.57)",="(0.36)",="(0.36)",="(7.51)",="(7.89)"

="Angleterre # Plantation foodstuff",="-7.977",="47.48**",="-8.925",="46.19*",="36.14***",="15.21"
="",="(-0.86)",="(2.71)",="(-0.98)",="(2.54)",="(4.48)",="(1.32)"

="Angleterre # Raw mat fuel oils",="0.490",="1.173",="0.0135",="0.660",="41.44***",="44.74***"
="",="(0.16)",="(0.38)",="(0.00)",="(0.21)",="(6.34)",="(6.84)"

="Angleterre # Textile manuf",="18.28***",="18.22***",="17.92***",="17.75***",="59.14***",="61.92***"
="",="(3.79)",="(3.85)",="(3.68)",="(3.75)",="(7.32)",="(7.67)"

="Angleterre # Various manuf",="-2.939",="-2.995",="-3.537",="-3.579",="45.89***",="50.67***"
="",="(-0.94)",="(-0.96)",="(-1.11)",="(-1.14)",="(7.01)",="(7.63)"

="Espagne # European foodstuff and beverage",="20.65***",="17.21**",="20.73***",="17.26**",="65.91***",="67.22***"
="",="(3.31)",="(2.99)",="(3.31)",="(3.02)",="(11.00)",="(11.42)"

="Espagne # Other",="22.92**",="19.47**",="21.88**",="18.37*",="76.18***",="77.72***"
="",="(2.90)",="(2.63)",="(2.76)",="(2.49)",="(10.01)",="(10.35)"

="Espagne # Plantation foodstuff",="14.34",="68.42***",="12.91",="66.92***",="59.29***",="39.19**"
="",="(1.10)",="(3.47)",="(1.02)",="(3.31)",="(6.22)",="(2.96)"

="Espagne # Raw mat fuel oils",="23.10**",="20.34**",="22.57**",="19.75**",="65.33***",="67.10***"
="",="(3.21)",="(2.94)",="(3.12)",="(2.84)",="(9.20)",="(9.51)"

="Espagne # Textile manuf",="37.92***",="34.45***",="37.52***",="33.91***",="80.05***",="81.32***"
="",="(5.00)",="(4.88)",="(4.92)",="(4.82)",="(9.99)",="(10.35)"

="Espagne # Various manuf",="18.27**",="14.76*",="17.72**",="14.20*",="68.44***",="71.69***"
="",="(2.74)",="(2.38)",="(2.64)",="(2.28)",="(10.11)",="(10.62)"

="Flandre et autres états de l'Empereur # European foodstuff and beverage",="5.288",="1.398",="5.315",="1.240",="50.24***",="50.27***"
="",="(0.71)",="(0.19)",="(0.71)",="(0.17)",="(7.55)",="(7.50)"

="Flandre et autres états de l'Empereur # Other",="9.785",="5.880",="8.857",="4.743",="62.94***",="63.20***"
