
="",="(1)",="(2)",="(3)"
="",="No breaks",="Break coffee",="Break coffee & sugar"

="Allemagne Coffee",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="Allemagne Eau de vie",="207.7***",="241.4***",="241.3***"
="",="(702.65)",="(827.80)",="(795.55)"

="Allemagne Sugar",="49.09***",="59.13***",="81.89***"
="",="(173.28)",="(208.37)",="(281.14)"

="Allemagne Wine",="171.0***",="206.1***",="204.9***"
="",="(568.21)",="(694.82)",="(664.26)"

="Allemagne Other",="179.3***",="210.7***",="212.3***"
="",="(638.80)",="(757.91)",="(734.51)"

="Angleterre Coffee",="42.58***",="16.30***",="39.54***"
="",="(160.68)",="(56.76)",="(142.55)"

="Angleterre Eau de vie",="254.2***",="261.3***",="284.5***"
="",="(636.49)",="(641.33)",="(695.19)"

="Angleterre Sugar",="99.31***",="83.63***",="128.8***"
="",="(248.90)",="(201.53)",="(314.67)"

="Angleterre Wine",="215.4***",="223.8***",="246.0***"
="",="(539.16)",="(549.85)",="(601.15)"

="Angleterre Other",="222.2***",="226.9***",="251.9***"
="",="(563.02)",="(561.32)",="(621.87)"

="Espagne Coffee",="62.96***",="8.248***",="48.26***"
="",="(236.67)",="(27.78)",="(172.09)"

="Espagne Eau de vie",="269.9***",="248.0***",="288.1***"
="",="(673.29)",="(593.48)",="(694.63)"

="Espagne Sugar",="118.7***",="74.67***",="136.1***"
="",="(299.52)",="(177.35)",="(331.51)"

="Espagne Wine",="231.3***",="210.8***",="249.9***"
="",="(574.07)",="(502.61)",="(599.62)"

="Espagne Other",="241.1***",="216.9***",="258.8***"
="",="(612.14)",="(525.32)",="(633.43)"

="Flandre et autres états de l'Emp Coffee",="71.95***",="35.74***",="62.52***"
="",="(126.20)",="(58.20)",="(105.22)"

="Flandre et autres états de l'Emp Eau de vie",="274.7***",="271.7***",="298.5***"
="",="(425.69)",="(397.67)",="(445.10)"

="Flandre et autres états de l'Emp Sugar",="124.3***",="98.72***",="147.3***"
="",="(193.59)",="(144.46)",="(220.60)"

="Flandre et autres états de l'Emp Wine",="237.0***",="235.4***",="261.1***"
="",="(366.48)",="(343.90)",="(388.59)"

="Flandre et autres états de l'Emp Other",="245.5***",="240.1***",="268.7***"
="",="(381.99)",="(352.20)",="(402.01)"

="Hollande Coffee",="117.3***",="65.59***",="109.5***"
="",="(370.06)",="(190.20)",="(331.65)"

="Hollande Eau de vie",="323.7***",="304.9***",="349.0***"
="",="(738.99)",="(670.25)",="(772.73)"

="Hollande Sugar",="173.8***",="133.5***",="198.3***"
="",="(402.38)",="(292.97)",="(444.80)"

="Hollande Wine",="287.2***",="269.8***",="312.9***"
="",="(654.57)",="(592.68)",="(691.71)"

="Hollande Other",="293.6***",="272.4***",="318.3***"
="",="(681.55)",="(606.51)",="(715.42)"

="Italie Coffee",="73.51***",="9.222***",="55.69***"
="",="(206.86)",="(23.02)",="(147.28)"

="Italie Eau de vie",="277.5***",="245.5***",="292.2***"
="",="(593.88)",="(492.16)",="(598.80)"

="Italie Sugar",="129.3***",="75.99***",="143.2***"
="",="(280.04)",="(152.04)",="(296.65)"

="Italie Wine",="241.5***",="210.9***",="256.5***"
="",="(516.10)",="(422.67)",="(525.20)"

="Italie Other",="249.8***",="215.4***",="263.9***"
="",="(542.08)",="(436.01)",="(547.34)"

="Levant et Barbarie Coffee",="49.16***",="-6.163***",="30.08***"
="",="(63.27)",="(-7.22)",="(36.87)"

