
="",="(1)",="(2)",="(3)"
="",="No breaks",="Break coffee",="Break coffee & sugar"

="year",="0.0851***",="",=""
="",="(19.85)",="",=""

="Allemagne Coffee",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="Allemagne Eau de vie",="40.96***",="33.61**",="34.77**"
="",="(4.19)",="(2.93)",="(2.95)"

="Allemagne Sugar",="19.10",="74.86***",="13.99"
="",="(1.83)",="(5.24)",="(1.13)"

="Allemagne Wine",="140.3***",="133.4***",="134.9***"
="",="(15.71)",="(12.36)",="(12.14)"

="Allemagne Other",="152.5***",="146.4***",="147.3***"
="",="(17.21)",="(13.62)",="(13.32)"

="Angleterre Coffee",="-88.05***",="-88.19***",="-85.35***"
="",="(-10.27)",="(-8.49)",="(-9.09)"

="Angleterre Eau de vie",="-52.66***",="-59.58***",="-55.55***"
="",="(-4.00)",="(-3.88)",="(-3.71)"

="Angleterre Sugar",="-68.71***",="-12.36",="-70.52***"
="",="(-5.16)",="(-0.71)",="(-4.68)"

="Angleterre Wine",="46.66***",="40.18**",="44.52**"
="",="(3.63)",="(2.65)",="(3.02)"

="Angleterre Other",="62.01***",="56.29***",="60.12***"
="",="(4.88)",="(3.74)",="(4.12)"

="Espagne Coffee",="-41.16***",="-32.55***",="-43.82***"
="",="(-5.75)",="(-3.78)",="(-5.61)"

="Espagne Eau de vie",="2.532",="3.767",="-6.442"
="",="(0.21)",="(0.27)",="(-0.46)"

="Espagne Sugar",="-24.03",="39.74*",="-31.92*"
="",="(-1.93)",="(2.42)",="(-2.23)"

="Espagne Wine",="97.13***",="98.82***",="88.90***"
="",="(8.30)",="(7.11)",="(6.50)"

="Espagne Other",="108.5***",="110.9***",="100.5***"
="",="(9.35)",="(8.02)",="(7.39)"

="Flandre et autres états de l'Emp Coffee",="5.372",="-15.95",="4.539"
="",="(0.21)",="(-0.58)",="(0.17)"

="Flandre et autres états de l'Emp Eau de vie",="45.83",="17.51",="39.22"
="",="(1.68)",="(0.58)",="(1.34)"

="Flandre et autres états de l'Emp Sugar",="32.20",="67.52*",="26.66"
="",="(1.17)",="(2.19)",="(0.90)"

="Flandre et autres états de l'Emp Wine",="147.7***",="119.8***",="141.8***"
="",="(5.43)",="(4.00)",="(4.84)"

="Flandre et autres états de l'Emp Other",="158.0***",="130.7***",="152.3***"
="",="(5.80)",="(4.36)",="(5.20)"

="Hollande Coffee",="-2.294",="12.21",="33.24***"
="",="(-0.27)",="(1.20)",="(3.57)"

="Hollande Eau de vie",="40.32**",="49.89**",="72.28***"
="",="(3.11)",="(3.28)",="(4.85)"

="Hollande Sugar",="21.47",="95.16***",="54.52***"
="",="(1.61)",="(5.55)",="(3.59)"

="Hollande Wine",="135.6***",="145.6***",="168.3***"
="",="(10.80)",="(9.74)",="(11.55)"

="Hollande Other",="149.7***",="160.5***",="182.7***"
="",="(11.99)",="(10.77)",="(12.58)"

="Italie Coffee",="-24.82**",="-28.40*",="-31.85**"
="",="(-2.70)",="(-2.54)",="(-3.19)"

="Italie Eau de vie",="13.88",="2.933",="0.640"
="",="(1.03)",="(0.18)",="(0.04)"

="Italie Sugar",="-7.890",="44.10*",="-20.04"
="",="(-0.57)",="(2.43)",="(-1.27)"

="Italie Wine",="112.4***",="101.9***",="99.92***"
="",="(8.60)",="(6.46)",="(6.60)"

="Italie Other",="126.5***",="116.8***",="114.3***"
="",="(9.75)",="(7.44)",="(7.59)"

