
="",="(1)",="(2)",="(3)"
="",="SITC#each_war no breaks",="SITC#each_war 1795 break",="each_war no breaks"

="Allemagne # European foodstuff and beverage",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="Allemagne # Other",="19.29*",="19.16*",="12.54"
="",="(2.33)",="(2.32)",="(1.41)"

="Allemagne # Plantation foodstuff",="15.49",="-85.53***",="-56.14*"
="",="(1.31)",="(-6.33)",="(-2.19)"

="Allemagne # Raw mat fuel oils",="-8.887",="-8.885",="12.44"
="",="(-1.07)",="(-1.07)",="(1.36)"

="Allemagne # Textile manuf",="15.75",="15.63",="23.74**"
="",="(1.73)",="(1.72)",="(2.71)"

="Allemagne # Various manuf",="1.041",="0.966",="14.65"
="",="(0.12)",="(0.11)",="(1.59)"

="Angleterre # European foodstuff and beverage",="30.67*",="13.62",="20.29"
="",="(2.46)",="(1.09)",="(0.95)"

="Angleterre # Other",="46.91**",="29.73",="31.03"
="",="(3.04)",="(1.93)",="(1.33)"

="Angleterre # Plantation foodstuff",="49.29**",="-67.45***",="-30.69"
="",="(2.87)",="(-3.70)",="(-0.94)"

="Angleterre # Raw mat fuel oils",="20.79",="3.744",="31.04"
="",="(1.42)",="(0.26)",="(1.37)"

="Angleterre # Textile manuf",="43.67**",="26.50",="42.14"
="",="(2.77)",="(1.68)",="(1.82)"

="Angleterre # Various manuf",="31.60*",="14.48",="33.71"
="",="(2.25)",="(1.04)",="(1.48)"

="Espagne # European foodstuff and beverage",="36.66***",="23.92*",="-13.70"
="",="(3.46)",="(2.34)",="(-1.17)"

="Espagne # Other",="56.07***",="43.20***",="-1.240"
="",="(4.28)",="(3.39)",="(-0.08)"

="Espagne # Plantation foodstuff",="55.98***",="-56.77***",="-65.85*"
="",="(3.50)",="(-3.37)",="(-2.34)"

="Espagne # Raw mat fuel oils",="27.54*",="14.79",="-2.138"
="",="(2.08)",="(1.14)",="(-0.15)"

="Espagne # Textile manuf",="53.61***",="40.75**",="10.84"
="",="(3.99)",="(3.13)",="(0.76)"

="Espagne # Various manuf",="38.48**",="25.67*",="0.191"
="",="(3.06)",="(2.12)",="(0.01)"

="Flandre et autres états de l'Empereur # European foodstuff and beverage",="85.20***",="71.68***",="62.22***"
="",="(7.25)",="(6.05)",="(3.93)"

="Flandre et autres états de l'Empereur # Other",="104.8***",="91.15***",="75.42***"
="",="(7.91)",="(6.90)",="(4.38)"

="Flandre et autres états de l'Empereur # Plantation foodstuff",="106.8***",="-6.650",="12.31"
="",="(6.70)",="(-0.39)",="(0.41)"

