
="",="(1)",="(2)",="(3)"
="",="SITC#each_war no breaks",="SITC#each_war 1795 break",="each_war no breaks"

="Allemagne # European foodstuff and beverage",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="Allemagne # Other",="-5.615",="-5.663",="-12.63"
="",="(-0.68)",="(-0.70)",="(-1.56)"

="Allemagne # Plantation foodstuff",="-29.31**",="-61.09***",="-83.76***"
="",="(-3.14)",="(-4.97)",="(-3.86)"

="Allemagne # Raw mat fuel oils",="-11.12",="-11.06",="-16.96*"
="",="(-1.50)",="(-1.51)",="(-2.29)"

="Allemagne # Textile manuf",="26.82**",="26.76**",="25.30**"
="",="(3.01)",="(3.04)",="(2.73)"

="Allemagne # Various manuf",="-8.938",="-8.887",="-1.763"
="",="(-1.12)",="(-1.11)",="(-0.23)"

="Angleterre # European foodstuff and beverage",="3.428",="6.945",="99.69***"
="",="(0.43)",="(0.90)",="(6.19)"

="Angleterre # Other",="-6.562",="-3.095",="83.34***"
="",="(-0.58)",="(-0.28)",="(4.61)"

="Angleterre # Plantation foodstuff",="-26.42*",="-54.86***",="15.65"
="",="(-2.08)",="(-3.71)",="(0.59)"

="Angleterre # Raw mat fuel oils",="-8.325",="-4.758",="81.77***"
="",="(-0.77)",="(-0.45)",="(4.72)"

="Angleterre # Textile manuf",="26.58*",="30.03*",="121.3***"
="",="(2.19)",="(2.52)",="(6.34)"

="Angleterre # Various manuf",="-8.423",="-4.857",="94.99***"
="",="(-0.72)",="(-0.41)",="(5.08)"

="Espagne # European foodstuff and beverage",="-20.08*",="-32.66**",="24.05*"
="",="(-2.08)",="(-3.25)",="(2.02)"

="Espagne # Other",="-30.22*",="-42.85**",="7.180"
="",="(-2.25)",="(-3.11)",="(0.45)"

="Espagne # Plantation foodstuff",="-45.77***",="-89.17***",="-56.01*"
="",="(-3.33)",="(-5.58)",="(-2.29)"

="Espagne # Raw mat fuel oils",="-29.11*",="-41.64***",="8.809"
="",="(-2.37)",="(-3.31)",="(0.63)"

="Espagne # Textile manuf",="3.770",="-8.870",="46.01**"
="",="(0.27)",="(-0.63)",="(2.78)"

="Espagne # Various manuf",="-29.55*",="-42.09**",="21.99"
="",="(-2.29)",="(-3.16)",="(1.57)"

="Flandre et autres états de l'Empereur # European foodstuff and beverage",="27.49**",="11.99",="104.8***"
="",="(2.96)",="(1.33)",="(6.67)"

="Flandre et autres états de l'Empereur # Other",="20.58",="5.021",="91.43***"
="",="(1.66)",="(0.41)",="(5.12)"

="Flandre et autres états de l'Empereur # Plantation foodstuff",="2.688",="-43.47**",="27.35"
="",="(0.20)",="(-2.89)",="(1.04)"

