
="",="(1)",="(2)",="(3)",="(4)"
="",="SITC#group#war no breaks",="SITC#group#war 1795 break",="group#war no breaks",="group#war 1795 breaks"

="Afrique # European foodstuff and beverage",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="Afrique # Other",="20.50",="23.89",="5.330",="8.787"
="",="(0.91)",="(1.06)",="(0.23)",="(0.39)"

="Afrique # Plantation foodstuff",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="Afrique # Raw mat; fuel; oils",="50.33*",="53.73*",="35.12",="38.65"
="",="(2.28)",="(2.43)",="(1.56)",="(1.79)"

="Afrique # Textile manuf",="60.18**",="63.57**",="59.18*",="62.41**"
="",="(2.59)",="(2.74)",="(2.53)",="(2.77)"

="Afrique # Various manuf",="41.50*",="44.93*",="33.59",="37.08"
="",="(1.99)",="(2.15)",="(1.53)",="(1.76)"

="Allemagne et Pologne (par terre) # European foodstuff and beverage",="15.47",="27.87",="12.85",="27.11"
="",="(0.68)",="(1.23)",="(0.55)",="(1.20)"

="Allemagne et Pologne (par terre) # Other",="-8.033",="4.359",="-17.04",="-2.844"
="",="(-0.35)",="(0.19)",="(-0.72)",="(-0.13)"

="Allemagne et Pologne (par terre) # Plantation foodstuff",="10.58",="-17.46",="-14.88",="-27.00"
="",="(0.45)",="(-0.71)",="(-0.63)",="(-1.11)"

="Allemagne et Pologne (par terre) # Raw mat; fuel; oils",="16.99",="29.38",="7.915",="22.18"
="",="(0.77)",="(1.32)",="(0.35)",="(1.01)"

="Allemagne et Pologne (par terre) # Textile manuf",="33.39",="45.78*",="38.65",="52.62*"
="",="(1.44)",="(1.97)",="(1.64)",="(2.32)"

="Allemagne et Pologne (par terre) # Various manuf",="16.61",="29.02",="14.75",="28.97"
="",="(0.76)",="(1.33)",="(0.64)",="(1.31)"

="Angleterre # European foodstuff and beverage",="44.69*",="56.44*",="39.33",="49.08*"
="",="(2.02)",="(2.55)",="(1.71)",="(2.22)"

="Angleterre # Other",="17.33",="29.09",="5.497",="15.20"
="",="(0.78)",="(1.31)",="(0.24)",="(0.68)"

="Angleterre # Plantation foodstuff",="40.25",="11.91",="11.74",="-4.022"
="",="(1.75)",="(0.50)",="(0.50)",="(-0.17)"

="Angleterre # Raw mat; fuel; oils",="44.81*",="56.54**",="32.90",="42.66*"
="",="(2.07)",="(2.61)",="(1.47)",="(1.98)"

="Angleterre # Textile manuf",="57.84*",="69.58**",="60.19**",="69.65**"
="",="(2.54)",="(3.07)",="(2.58)",="(3.11)"

="Angleterre # Various manuf",="43.31*",="55.07**",="38.67",="48.37*"
="",="(2.04)",="(2.60)",="(1.72)",="(2.25)"

="Colonies françaises # European foodstuff and beverage",="64.00**",="59.79**",="60.51*",="54.47*"
="",="(2.82)",="(2.65)",="(2.57)",="(2.42)"

="Colonies françaises # Other",="36.45",="32.19",="26.54",="20.37"
="",="(1.59)",="(1.41)",="(1.12)",="(0.90)"

="Colonies françaises # Plantation foodstuff",="67.36**",="24.39",="40.93",="10.46"
="",="(2.86)",="(1.02)",="(1.70)",="(0.44)"

="Colonies françaises # Raw mat; fuel; oils",="66.61**",="62.39**",="56.66*",="50.62*"
="",="(2.99)",="(2.82)",="(2.47)",="(2.31)"

="Colonies françaises # Textile manuf",="76.49**",="72.25**",="80.73***",="74.38**"
="",="(3.24)",="(3.09)",="(3.37)",="(3.24)"

="Colonies françaises # Various manuf",="66.17**",="61.98**",="63.46**",="57.38**"
="",="(3.03)",="(2.85)",="(2.76)",="(2.62)"

="Espagne # European foodstuff and beverage",="38.57",="47.56*",="34.09",="42.65"
="",="(1.73)",="(2.14)",="(1.48)",="(1.93)"

="Espagne # Other",="12.56",="21.55",="1.668",="10.18"
="",="(0.56)",="(0.97)",="(0.07)",="(0.46)"

="Espagne # Plantation foodstuff",="35.97",="5.327",="8.566",="-8.182"
="",="(1.55)",="(0.22)",="(0.36)",="(-0.34)"

="Espagne # Raw mat; fuel; oils",="41.93",="50.91*",="31.07",="39.64"
="",="(1.92)",="(2.34)",="(1.38)",="(1.84)"

="Espagne # Textile manuf",="53.69*",="62.67**",="57.03*",="65.32**"
="",="(2.32)",="(2.71)",="(2.44)",="(2.90)"

="Espagne # Various manuf",="39.36",="48.36*",="35.70",="44.23*"
="",="(1.84)",="(2.27)",="(1.59)",="(2.06)"

="Flandre et autres états de l'Empereur # European foodstuff and beverage",="141.3***",="138.9***",="136.8***",="134.5***"
="",="(5.76)",="(5.69)",="(5.37)",="(5.47)"

="Flandre et autres états de l'Empereur # Other",="117.0***",="114.5***",="106.1***",="103.7***"
="",="(4.80)",="(4.72)",="(4.18)",="(4.23)"

="Flandre et autres états de l'Empereur # Plantation foodstuff",="139.5***",="98.11***",="111.9***",="84.99**"
="",="(5.52)",="(3.77)",="(4.33)",="(3.24)"

="Flandre et autres états de l'Empereur # Raw mat; fuel; oils",="143.5***",="141.0***",="132.5***",="130.2***"
="",="(5.94)",="(5.87)",="(5.31)",="(5.41)"

="Flandre et autres états de l'Empereur # Textile manuf",="159.6***",="157.1***",="162.8***",="160.2***"
="",="(6.35)",="(6.28)",="(6.33)",="(6.44)"

="Flandre et autres états de l'Empereur # Various manuf",="141.3***",="138.9***",="137.6***",="135.2***"
="",="(5.86)",="(5.79)",="(5.45)",="(5.55)"

="Hollande # European foodstuff and beverage",="56.21*",="55.27*",="51.15*",="49.86*"
="",="(2.56)",="(2.53)",="(2.23)",="(2.28)"

="Hollande # Other",="30.74",="29.80",="19.30",="17.94"
="",="(1.39)",="(1.36)",="(0.84)",="(0.82)"

="Hollande # Plantation foodstuff",="55.75*",="15.89",="27.63",="1.779"
="",="(2.44)",="(0.67)",="(1.18)",="(0.08)"

="Hollande # Raw mat; fuel; oils",="57.74**",="56.80**",="46.21*",="44.92*"
="",="(2.67)",="(2.64)",="(2.06)",="(2.11)"

="Hollande # Textile manuf",="72.59**",="71.64**",="75.12**",="73.54***"
="",="(3.20)",="(3.18)",="(3.24)",="(3.31)"

="Hollande # Various manuf",="56.34**",="55.43**",="52.05*",="50.71*"
="",="(2.67)",="(2.64)",="(2.33)",="(2.38)"

="Italie # European foodstuff and beverage",="29.49",="33.39",="22.55",="26.19"
="",="(1.32)",="(1.51)",="(0.97)",="(1.18)"

="Italie # Other",="3.557",="7.447",="-9.679",="-6.109"
="",="(0.16)",="(0.33)",="(-0.41)",="(-0.27)"

="Italie # Plantation foodstuff",="25.18",="-10.31",="-4.884",="-26.25"
="",="(1.06)",="(-0.42)",="(-0.20)",="(-1.07)"

="Italie # Raw mat; fuel; oils",="32.40",="36.29",="19.09",="22.73"
="",="(1.47)",="(1.67)",="(0.84)",="(1.05)"

="Italie # Textile manuf",="46.41*",="50.30*",="46.98*",="50.33*"
="",="(2.01)",="(2.20)",="(2.00)",="(2.24)"

="Italie # Various manuf",="28.88",="32.80",="22.80",="26.40"
="",="(1.34)",="(1.54)",="(1.00)",="(1.22)"

="Levant et Barbarie # European foodstuff and beverage",="106.2***",="100.9***",="101.7***",="96.60***"
="",="(4.74)",="(4.48)",="(4.39)",="(4.31)"

="Levant et Barbarie # Other",="80.18***",="74.86***",="69.16**",="63.99**"
