
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="SITC#group#war no breaks",="SITC#group#war 1795 break",="group#war no breaks",="group#war 1795 breaks",="SITC#war no breaks",="SITC#war 1795 breaks"

="(sum) value",="",="",="",="",="",=""
="Allemagne et Pologne (par terre) # European foodstuff and beverage",="0",="0",="0",="0",="-24.15",="-0.521"
="",="(.)",="(.)",="(.)",="(.)",="(-1.46)",="(-0.03)"

="Allemagne et Pologne (par terre) # Other",="-10.04**",="-10.40**",="-10.59**",="-10.96**",="-34.78*",="-11.77"
="",="(-2.61)",="(-2.73)",="(-2.75)",="(-2.88)",="(-2.11)",="(-0.72)"

="Allemagne et Pologne (par terre) # Plantation foodstuff",="-16.00**",="-54.88***",="-16.33**",="-54.56***",="-39.36*",="-53.27**"
="",="(-2.62)",="(-5.03)",="(-2.73)",="(-4.80)",="(-2.27)",="(-2.74)"

="Allemagne et Pologne (par terre) # Raw mat fuel oils",="-5.848*",="-5.319",="-6.363*",="-5.887*",="-31.31",="-7.325"
="",="(-2.10)",="(-1.96)",="(-2.26)",="(-2.15)",="(-1.92)",="(-0.45)"

="Allemagne et Pologne (par terre) # Textile manuf",="1.120",="0.971",="0.368",="0.125",="-23.42",="-0.254"
="",="(0.29)",="(0.25)",="(0.09)",="(0.03)",="(-1.42)",="(-0.02)"

="Allemagne et Pologne (par terre) # Various manuf",="-1.206",="0.0689",="-1.367",="0.109",="-25.66",="-0.868"
="",="(-0.42)",="(0.02)",="(-0.47)",="(0.04)",="(-1.59)",="(-0.05)"

="Angleterre # European foodstuff and beverage",="21.11***",="22.89***",="20.66***",="22.50***",="-3.697",="21.65"
="",="(3.43)",="(3.66)",="(3.36)",="(3.59)",="(-0.23)",="(1.36)"

="Angleterre # Other",="9.287",="10.72",="8.130",="9.613",="-16.17",="8.564"
="",="(1.26)",="(1.44)",="(1.10)",="(1.28)",="(-1.00)",="(0.54)"

="Angleterre # Plantation foodstuff",="5.418",="-29.16*",="4.413",="-29.39*",="-18.80",="-28.31"
="",="(0.63)",="(-2.28)",="(0.53)",="(-2.26)",="(-1.11)",="(-1.48)"

="Angleterre # Raw mat fuel oils",="13.74*",="16.05*",="12.80",="15.12*",="-12.31",="13.39"
="",="(2.07)",="(2.40)",="(1.93)",="(2.25)",="(-0.78)",="(0.85)"

="Angleterre # Textile manuf",="19.75**",="21.38**",="18.57*",="20.16**",="-5.357",="19.53"
="",="(2.68)",="(2.86)",="(2.52)",="(2.69)",="(-0.33)",="(1.22)"

="Angleterre # Various manuf",="18.65**",="21.69**",="17.91**",="21.21**",="-6.555",="19.94"
="",="(2.80)",="(3.19)",="(2.67)",="(3.10)",="(-0.42)",="(1.29)"

="Colonies françaises # European foodstuff and beverage",="48.18***",="38.47***",="48.67***",="38.46***",="20.68",="33.72*"
