
="",="(1)",="(2)",="(3)",="(4)"
="",="war # status",="war #goods",="choc_diff_goods",="choc_diff_goods_no_wart"

="(sum) value",="",="",="",=""
="0",="0",="0",="",=""
="",="(.)",="(.)",="",=""

="ally",="0.0627",="0.0262",="",=""
="",="(0.95)",="(0.57)",="",=""

="foe",="-0.752***",="-0.286**",="",=""
="",="(-4.63)",="(-3.02)",="",=""

="neutral",="-0.241*",="-0.273***",="",=""
="",="(-2.49)",="(-4.02)",="",=""

="0 # year_of_war",="0",="",="",=""
="",="(.)",="",="",=""

="ally # year_of_war",="-0.00970",="",="",=""
="",="(-0.66)",="",="",=""

="foe # year_of_war",="0.0984***",="",="",=""
="",="(3.53)",="",="",=""

="neutral # year_of_war",="-0.0104",="",="",=""
="",="(-0.41)",="",="",=""

="Allemagne # Coffee",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="Allemagne # Eau de vie",="-13.62",="-13.68",="32.71",="33.79"
="",="(-0.51)",="(-0.51)",="(1.40)",="(1.46)"

="Allemagne # Other",="15.01",="15.05",="95.77***",="93.15***"
="",="(0.60)",="(0.59)",="(3.31)",="(3.29)"

="Allemagne # Sugar",="16.61",="16.68",="-83.23",="-94.40"
="",="(0.44)",="(0.44)",="(-1.15)",="(-1.19)"

="Allemagne # Wine",="-57.08*",="-57.25*",="-30.44",="-30.77"
="",="(-2.20)",="(-2.20)",="(-1.52)",="(-1.53)"

="Angleterre # Coffee",="99.21***",="98.51***",="202.2***",="199.4***"
="",="(3.48)",="(3.46)",="(3.38)",="(3.48)"

="Angleterre # Eau de vie",="0.909",="-0.0410",="48.71*",="49.96*"
="",="(0.03)",="(-0.00)",="(1.99)",="(2.04)"

="Angleterre # Other",="-25.42",="-26.76",="51.90",="49.68"
="",="(-0.95)",="(-0.99)",="(1.71)",="(1.66)"

="Angleterre # Sugar",="104.7**",="104.0**",="72.89",="62.46"
="",="(3.27)",="(3.21)",="(1.36)",="(1.03)"

="Angleterre # Wine",="21.97",="21.18",="51.75*",="50.82*"
="",="(0.76)",="(0.72)",="(2.06)",="(2.02)"

="Espagne # Coffee",="93.81***",="95.42***",="197.5***",="194.8***"
="",="(3.56)",="(3.61)",="(3.40)",="(3.51)"

="Espagne # Eau de vie",="-31.54",="-30.61",="15.07",="15.89"
="",="(-1.19)",="(-1.15)",="(0.68)",="(0.72)"

="Espagne # Other",="40.83",="42.43",="125.9***",="123.1***"
="",="(1.61)",="(1.67)",="(4.36)",="(4.36)"

="Espagne # Sugar",="115.1***",="116.7***",="91.76",="80.97"
="",="(4.02)",="(4.07)",="(1.82)",="(1.40)"

="Espagne # Wine",="-8.243",="-6.973",="24.89",="24.07"
="",="(-0.31)",="(-0.26)",="(1.17)",="(1.14)"

="Flandre et autres états de l'Empereur # Coffee",="63.99*",="64.07*",="140.9*",="138.9*"
="",="(2.29)",="(2.29)",="(2.35)",="(2.43)"

="Flandre et autres états de l'Empereur # Eau de vie",="61.87*",="61.95*",="126.6***",="128.3***"
="",="(2.33)",="(2.33)",="(5.28)",="(5.38)"

="Flandre et autres états de l'Empereur # Other",="86.58***",="86.65***",="172.3***",="169.4***"
="",="(3.34)",="(3.33)",="(5.81)",="(5.84)"

="Flandre et autres états de l'Empereur # Sugar",="66.27*",="66.35*",="11.82",="2.464"
="",="(2.39)",="(2.39)",="(0.25)",="(0.04)"

="Flandre et autres états de l'Empereur # Wine",="87.24**",="87.31**",="124.3***",="123.2***"
="",="(3.18)",="(3.18)",="(5.44)",="(5.43)"

="Hollande # Coffee",="93.33***",="93.56***",="179.3**",="176.9**"
="",="(3.35)",="(3.35)",="(3.06)",="(3.17)"

