
="",="(1)",="(2)",="(3)",="(4)"
="",="war # status",="war #goods",="choc_diff_goods",="choc_diff_goods_no_wart"

="(sum) value",="",="",="",=""
="0",="0",="0",="",=""
="",="(.)",="(.)",="",=""

="ally",="-0.405**",="-0.465***",="",=""
="",="(-2.94)",="(-4.68)",="",=""

="foe",="-0.567*",="-0.631***",="",=""
="",="(-1.97)",="(-5.40)",="",=""

="neutral",="0.0816",="-0.0411",="",=""
="",="(0.67)",="(-0.50)",="",=""

="0 # year_of_war",="0",="",="",=""
="",="(.)",="",="",=""

="ally # year_of_war",="-0.0205",="",="",=""
="",="(-0.66)",="",="",=""

="foe # year_of_war",="-0.0148",="",="",=""
="",="(-0.28)",="",="",=""

="neutral # year_of_war",="-0.0404",="",="",=""
="",="(-1.09)",="",="",=""

="Allemagne # Coffee",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="Allemagne # Eau de vie",="-13.41",="-13.44",="-27.58",="-27.41"
="",="(-0.46)",="(-0.47)",="(-0.32)",="(-0.30)"

="Allemagne # Other",="17.99",="18.02",="12.39",="13.24"
="",="(0.95)",="(0.95)",="(0.66)",="(0.70)"

="Allemagne # Sugar",="0.316",="0.318",="-24.59",="-23.39"
="",="(0.01)",="(0.01)",="(-0.66)",="(-0.63)"

="Allemagne # Wine",="65.51**",="65.65**",="126.0**",="137.5**"
="",="(3.17)",="(3.18)",="(2.81)",="(2.99)"

="Angleterre # Coffee",="-51.35",="-51.06",="-118.5",="-115.7"
="",="(-1.24)",="(-1.24)",="(-1.31)",="(-1.34)"

="Angleterre # Eau de vie",="48.61",="48.62",="133.6",="140.8"
="",="(1.65)",="(1.65)",="(1.75)",="(1.83)"

="Angleterre # Other",="41.60*",="41.62*",="40.29*",="41.46*"
="",="(2.40)",="(2.41)",="(2.24)",="(2.26)"

="Angleterre # Sugar",="-89.51**",="-88.99**",="-163.2**",="-170.4**"
="",="(-2.73)",="(-2.74)",="(-2.92)",="(-3.13)"

="Angleterre # Wine",="32.64",="32.67",="85.08",="95.57"
="",="(1.21)",="(1.21)",="(1.67)",="(1.80)"

="Espagne # Coffee",="1.694",="1.584",="5.657",="5.533"
="",="(0.08)",="(0.07)",="(0.12)",="(0.12)"

="Espagne # Eau de vie",="81.87***",="81.92***",="192.0***",="199.6***"
="",="(3.65)",="(3.66)",="(3.50)",="(3.64)"

="Espagne # Other",="65.73***",="65.74***",="69.01***",="70.35***"
="",="(3.95)",="(3.95)",="(4.30)",="(4.30)"

="Espagne # Sugar",="-8.899",="-9.037",="-38.51",="-38.05"
="",="(-0.41)",="(-0.41)",="(-1.02)",="(-1.02)"

="Espagne # Wine",="74.50***",="74.54***",="137.8**",="149.5**"
="",="(4.15)",="(4.15)",="(2.98)",="(3.15)"

="Flandre et autres états de l'Empereur # Coffee",="66.27***",="66.02***",="145.7***",="143.5***"
="",="(3.35)",="(3.34)",="(3.58)",="(3.68)"

="Flandre et autres états de l'Empereur # Eau de vie",="83.37***",="83.05***",="194.2***",="201.8***"
="",="(4.07)",="(4.06)",="(3.30)",="(3.45)"

="Flandre et autres états de l'Empereur # Other",="108.2***",="107.8***",="113.6***",="115.0***"
="",="(5.89)",="(5.87)",="(6.37)",="(6.35)"

="Flandre et autres états de l'Empereur # Sugar",="125.0***",="124.6***",="152.5**",="156.8**"
="",="(4.79)",="(4.79)",="(2.99)",="(3.11)"

="Flandre et autres états de l'Empereur # Wine",="96.68***",="96.31***",="162.7***",="174.8***"
="",="(4.63)",="(4.61)",="(3.57)",="(3.74)"

="Hollande # Coffee",="5.538",="5.670",="16.53",="16.21"
="",="(0.26)",="(0.27)",="(0.49)",="(0.48)"

