
="",="(1)",="(2)",="(3)",="(4)"
="",="war # status",="war #goods",="choc_diff_goods",="choc_diff_goods_no_wart"

="(sum) value",="",="",="",=""
="0",="0",="0",="",=""
="",="(.)",="(.)",="",=""

="ally",="-0.0123",="-0.0269",="",=""
="",="(-0.09)",="(-0.27)",="",=""

="foe",="0.217",="-0.230*",="",=""
="",="(1.81)",="(-2.49)",="",=""

="neutral",="0.114",="0.104",="",=""
="",="(0.72)",="(1.26)",="",=""

="0 # year_of_war",="0",="",="",=""
="",="(.)",="",="",=""

="ally # year_of_war",="-0.00698",="",="",=""
="",="(-0.31)",="",="",=""

="foe # year_of_war",="-0.0990***",="",="",=""
="",="(-3.89)",="",="",=""

="neutral # year_of_war",="-0.00353",="",="",=""
="",="(-0.08)",="",="",=""

="Allemagne # Coffee",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="Allemagne # Eau de vie",="-175.0**",="-171.2*",="-197.7",="-109.2"
="",="(-2.58)",="(-2.57)",="(.)",="(.)"

="Allemagne # Other",="-124.0*",="-119.1*",="-35.48",="-37.07"
="",="(-2.25)",="(-2.17)",="(-1.82)",="(-1.85)"

="Allemagne # Sugar",="11.68",="15.47",="110.2",="31.83"
="",="(0.21)",="(0.27)",="(0.38)",="(0.15)"

="Allemagne # Wine",="-70.22",="-65.62",="-113.4",="-99.22"
="",="(-1.28)",="(-1.21)",="(-1.24)",="(-1.06)"

="Angleterre # Coffee",="-96.76",="-89.86",="321.3",="256.9"
="",="(-1.73)",="(-1.64)",="(1.11)",="(0.76)"

="Angleterre # Eau de vie",="-45.44",="-35.01",="-2.528",="75.49"
="",="(-0.78)",="(-0.61)",="(.)",="(.)"

="Angleterre # Other",="-73.32",="-68.05",="23.72",="22.60"
="",="(-1.36)",="(-1.28)",="(1.69)",="(1.58)"

="Angleterre # Sugar",="-85.04",="-78.50",="110.0",="103.3"
="",="(-1.38)",="(-1.29)",="(1.55)",="(1.66)"

="Angleterre # Wine",="-69.40",="-62.03",="-102.3",="-89.28"
="",="(-1.26)",="(-1.16)",="(-1.16)",="(-1.00)"

="Espagne # Coffee",="-84.96",="-80.15",="208.0",="191.1"
="",="(-1.53)",="(-1.48)",="(0.72)",="(0.56)"

="Espagne # Eau de vie",="-27.48",="-22.65",="71.27",="148.1"
="",="(-0.43)",="(-0.36)",="(.)",="(.)"

="Espagne # Other",="-59.40",="-57.11",="42.35**",="41.39**"
="",="(-1.10)",="(-1.08)",="(2.97)",="(2.85)"

="Espagne # Sugar",="-92.87",="-88.53",="2.896",="-23.54"
="",="(-1.56)",="(-1.51)",="(0.04)",="(-0.32)"

="Espagne # Wine",="-62.96",="-58.53",="-104.7",="-93.75"
="",="(-1.14)",="(-1.10)",="(-1.17)",="(-1.03)"

="Flandre et autres états de l'Empereur # Coffee",="-116.3",="-110.2",="546.4",="498.0"
="",="(-1.68)",="(-1.63)",="(1.84)",="(1.43)"

="Flandre et autres états de l'Empereur # Eau de vie",="-80.77",="-77.46",="-45.56",="85.60"
="",="(-1.22)",="(-1.19)",="(.)",="(0.75)"

="Flandre et autres états de l'Empereur # Other",="-92.60",="-87.99",="14.86",="13.49"
="",="(-1.70)",="(-1.63)",="(0.91)",="(0.82)"

="Flandre et autres états de l'Empereur # Sugar",="-85.27",="-81.97",="261.9*",="244.4**"
="",="(-1.35)",="(-1.32)",="(2.55)",="(2.78)"

="Flandre et autres états de l'Empereur # Wine",="-170.1**",="-166.1**",="-192.9*",="-179.7"
="",="(-2.85)",="(-2.82)",="(-2.06)",="(-1.88)"

="Hollande # Coffee",="-10.22",="-8.589",="349.6",="402.2"
="",="(-0.15)",="(-0.12)",="(1.17)",="(1.16)"

