
="",="(1)",="(2)",="(3)",="(4)"
="",="war # status",="war #goods",="choc_diff_goods",="choc_diff_goods_no_wart"

="(sum) value",="",="",="",=""
="0",="0",="0",="",=""
="",="(.)",="(.)",="",=""

="ally",="-0.109",="0.0262",="",=""
="",="(-1.51)",="(0.57)",="",=""

="foe",="-2.204***",="-0.286**",="",=""
="",="(-7.76)",="(-3.02)",="",=""

="neutral",="-0.333***",="-0.273***",="",=""
="",="(-4.02)",="(-4.02)",="",=""

="0 # year_of_war",="0.00296",="",="",=""
="",="(0.24)",="",="",=""

="ally # year_of_war",="0.0175*",="",="",=""
="",="(2.54)",="",="",=""

="foe # year_of_war",="0.109***",="",="",=""
="",="(7.23)",="",="",=""

="neutral # year_of_war",="0.00914",="",="",=""
="",="(1.02)",="",="",=""

="Allemagne # Coffee",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="Allemagne # Eau de vie",="-13.63",="-13.68",="12.95",="12.79"
="",="(-0.52)",="(-0.51)",="(0.60)",="(0.58)"

="Allemagne # Other",="14.98",="15.05",="96.29**",="95.22***"
="",="(0.60)",="(0.59)",="(3.23)",="(3.38)"

="Allemagne # Sugar",="16.55",="16.68",="-93.02*",="-122.7**"
="",="(0.44)",="(0.44)",="(-2.18)",="(-2.77)"

="Allemagne # Wine",="-57.67*",="-57.25*",="-35.01",="-33.68"
="",="(-2.27)",="(-2.20)",="(-1.74)",="(-1.68)"

="Angleterre # Coffee",="98.47***",="98.51***",="91.32**",="93.44**"
="",="(3.42)",="(3.46)",="(3.15)",="(3.26)"

="Angleterre # Eau de vie",="6.659",="-0.0410",="26.77",="26.60"
="",="(0.26)",="(-0.00)",="(1.19)",="(1.16)"

="Angleterre # Other",="-17.17",="-26.76",="52.68",="51.61"
="",="(-0.67)",="(-0.99)",="(1.69)",="(1.74)"

="Angleterre # Sugar",="103.6***",="104.0**",="-10.45",="-37.20"
="",="(3.38)",="(3.21)",="(-0.27)",="(-0.93)"

="Angleterre # Wine",="26.07",="21.18",="43.63",="44.95"
="",="(0.95)",="(0.72)",="(1.79)",="(1.85)"

="Espagne # Coffee",="92.72***",="95.42***",="88.54***",="90.72***"
="",="(3.56)",="(3.61)",="(3.32)",="(3.45)"

="Espagne # Eau de vie",="-31.77",="-30.61",="-2.103",="-2.265"
="",="(-1.22)",="(-1.15)",="(-0.10)",="(-0.11)"

="Espagne # Other",="40.56",="42.43",="126.0***",="125.2***"
="",="(1.62)",="(1.67)",="(4.22)",="(4.44)"

="Espagne # Sugar",="113.7***",="116.7***",="3.319",="-23.93"
="",="(4.03)",="(4.07)",="(0.09)",="(-0.63)"

="Espagne # Wine",="-8.329",="-6.973",="17.85",="19.10"
="",="(-0.32)",="(-0.26)",="(0.85)",="(0.92)"

="Flandre et autres états de l'Empereur # Coffee",="59.38*",="64.07*",="59.17*",="61.51*"
="",="(2.15)",="(2.29)",="(2.07)",="(2.19)"

="Flandre et autres états de l'Empereur # Eau de vie",="57.29*",="61.95*",="93.88***",="93.67***"
="",="(2.19)",="(2.33)",="(4.32)",="(4.26)"

="Flandre et autres états de l'Empereur # Other",="81.23**",="86.65***",="171.4***",="171.2***"
="",="(3.17)",="(3.33)",="(5.61)",="(5.94)"

="Flandre et autres états de l'Empereur # Sugar",="61.55*",="66.35*",="-45.85",="-72.42"
="",="(2.25)",="(2.39)",="(-1.28)",="(-1.95)"

="Flandre et autres états de l'Empereur # Wine",="81.81**",="87.31**",="113.2***",="114.9***"
="",="(3.02)",="(3.18)",="(5.04)",="(5.15)"

="Hollande # Coffee",="91.37***",="93.56***",="79.78**",="82.15**"
="",="(3.32)",="(3.35)",="(2.86)",="(3.01)"

