
="",="(1)",="(2)"
="",="war # status",="war #goods"

="(sum) value",="",=""
="ally # War",="-0.637**",=""
="",="(-3.11)",=""

="foe # War",="-2.020***",=""
="",="(-5.16)",=""

="neutral # War",="0",=""
="",="(.)",=""

="ally # War # year_of_war",="0.0220**",=""
="",="(2.82)",=""

="foe # War # year_of_war",="0.0609**",=""
="",="(3.27)",=""

="neutral # War # year_of_war",="-0.00305",=""
="",="(-0.21)",=""

="Allemagne # Coffee",="0",="0"
="",="(.)",="(.)"

="Allemagne # Eau de vie",="18.54",="-75.54"
="",="(0.82)",="(-1.72)"

="Allemagne # Other",="46.63**",="71.26"
="",="(3.01)",="(1.51)"

="Allemagne # Sugar",="87.60***",="-72.07"
="",="(3.86)",="(.)"

="Allemagne # Wine",="-38.56",="-105.8*"
="",="(-1.08)",="(-2.49)"

="Angleterre # Coffee",="201.8",="101.6"
="",="(1.05)",="(0.53)"

="Angleterre # Eau de vie",="68.10*",="-74.36"
="",="(1.98)",="(-1.65)"

="Angleterre # Other",="-9.509",="-55.91"
="",="(-0.19)",="(-0.63)"

="Angleterre # Sugar",="165.6***",="311.8"
="",="(10.29)",="(.)"

="Angleterre # Wine",="13.40",="-117.7"
="",="(0.38)",="(-1.91)"

="Espagne # Coffee",="64.79***",="92.50*"
="",="(3.60)",="(2.43)"

="Espagne # Eau de vie",="-53.55",="-101.9*"
="",="(-1.52)",="(-2.33)"

="Espagne # Other",="66.40***",="102.3*"
="",="(4.11)",="(2.17)"

="Espagne # Sugar",="83.02***",="170.4"
="",="(3.43)",="(.)"

="Espagne # Wine",="50.50**",="14.37"
="",="(2.73)",="(0.33)"

="Flandre et autres états de l'Empereur # Coffee",="25.84",="41.96"
="",="(0.57)",="(0.88)"

="Flandre et autres états de l'Empereur # Eau de vie",="56.26*",="-2.941"
="",="(2.51)",="(-0.06)"

="Flandre et autres états de l'Empereur # Other",="91.68***",="106.4*"
="",="(4.75)",="(2.19)"

="Flandre et autres états de l'Empereur # Sugar",="-22.00",="-99.48"
="",="(-0.39)",="(.)"

="Flandre et autres états de l'Empereur # Wine",="78.74***",="21.73"
="",="(3.51)",="(0.47)"

="Hollande # Coffee",="32.16",="73.42"
="",="(0.89)",="(1.77)"

="Hollande # Eau de vie",="32.57",="-15.15"
="",="(1.64)",="(-0.34)"

="Hollande # Other",="16.10",="59.99"
="",="(0.96)",="(1.28)"

="Hollande # Sugar",="27.73",="57.54"
="",="(0.75)",="(.)"

="Hollande # Wine",="32.05",="1.063"
="",="(1.84)",="(0.02)"

="Italie # Coffee",="46.31*",="92.44*"
="",="(2.36)",="(2.50)"

="Italie # Eau de vie",="-25.41",="-84.23*"
="",="(-1.05)",="(-1.98)"

="Italie # Other",="18.39",="65.24"
="",="(1.02)",="(1.38)"

="Italie # Sugar",="130.3***",="258.9"
="",="(4.41)",="(.)"

="Italie # Wine",="11.24",="-44.50"
="",="(0.53)",="(-1.11)"

="Levant et Barbarie # Coffee",="18.06",="48.63"
="",="(0.76)",="(1.24)"

="Levant et Barbarie # Eau de vie",="-1.684",="-81.94"
