
="",="(1)",="(2)",="(3)",="(4)"
="",="war # status",="war # status no wart",="war # goods",="war # goods no wart"

="(sum) value",="",="",="",=""
="0 # 0",="0",="0",="",=""
="",="(.)",="(.)",="",=""

="0 # Blockade",="0",="0",="",=""
="",="(.)",="(.)",="",=""

="0 # Mercantilist_War",="0",="0",="",=""
="",="(.)",="(.)",="",=""

="ally # 0",="0",="0",="",=""
="",="(.)",="(.)",="",=""

="ally # Blockade",="0.0761",="0.0227",="",=""
="",="(0.40)",="(0.16)",="",=""

="ally # Mercantilist_War",="0.164",="0.187**",="",=""
="",="(1.82)",="(2.92)",="",=""

="foe # 0",="0",="0",="",=""
="",="(.)",="(.)",="",=""

="foe # Blockade",="-0.310",="-0.307**",="",=""
="",="(-0.83)",="(-2.62)",="",=""

="foe # Mercantilist_War",="-0.786*",="-1.062***",="",=""
="",="(-1.99)",="(-3.63)",="",=""

="neutral # 0",="0",="0",="",=""
="",="(.)",="(.)",="",=""

="neutral # Blockade",="-0.804*",="-0.781***",="",=""
="",="(-2.41)",="(-4.44)",="",=""

="neutral # Mercantilist_War",="0.251*",="0.205*",="",=""
="",="(2.02)",="(2.36)",="",=""

="0 # 0 # year_of_war",="0",="",="",=""
="",="(.)",="",="",=""

="0 # Blockade # year_of_war",="0",="",="",=""
="",="(.)",="",="",=""

="0 # Mercantilist_War # year_of_war",="0",="",="",=""
="",="(.)",="",="",=""

="ally # 0 # year_of_war",="0",="",="",=""
="",="(.)",="",="",=""

="ally # Blockade # year_of_war",="-0.0227",="",="",=""
="",="(-0.29)",="",="",=""

="ally # Mercantilist_War # year_of_war",="0.00622",="",="",=""
="",="(0.29)",="",="",=""

="foe # 0 # year_of_war",="0",="",="",=""
="",="(.)",="",="",=""

="foe # Blockade # year_of_war",="0.000364",="",="",=""
="",="(0.01)",="",="",=""

="foe # Mercantilist_War # year_of_war",="-0.0823",="",="",=""
="",="(-0.98)",="",="",=""

="neutral # 0 # year_of_war",="0",="",="",=""
="",="(.)",="",="",=""

="neutral # Blockade # year_of_war",="0.00453",="",="",=""
="",="(0.06)",="",="",=""

="neutral # Mercantilist_War # year_of_war",="-0.0164",="",="",=""
="",="(-0.42)",="",="",=""

="Allemagne # Coffee",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="Allemagne # Eau de vie",="-15.35",="-15.32",="-56.91",="-56.32"
="",="(-0.47)",="(-0.47)",="(-1.48)",="(-1.46)"

="Allemagne # Other",="20.12",="20.08",="2.866",="2.473"
="",="(1.12)",="(1.12)",="(0.15)",="(0.13)"

="Allemagne # Sugar",="0.433",="0.431",="18.50",="12.15"
="",="(0.02)",="(0.02)",="(0.47)",="(0.33)"

="Allemagne # Wine",="72.39***",="72.24***",="76.74*",="76.44*"
="",="(3.54)",="(3.53)",="(2.12)",="(2.14)"

="Angleterre # Coffee",="-38.24",="-38.14",="-162.0",="-156.5"
="",="(-0.96)",="(-0.96)",="(-1.40)",="(-1.34)"

="Angleterre # Eau de vie",="58.10*",="58.78*",="6.852",="7.031"
="",="(2.00)",="(2.02)",="(0.16)",="(0.17)"

="Angleterre # Other",="51.61**",="52.23**",="28.08",="27.73"
="",="(3.06)",="(3.11)",="(1.59)",="(1.58)"

="Angleterre # Sugar",="-76.20*",="-76.38*",="-250.5**",="-243.5**"
="",="(-2.43)",="(-2.43)",="(-3.08)",="(-3.13)"

="Angleterre # Wine",="42.72",="43.32",="43.36",="43.14"
="",="(1.60)",="(1.62)",="(1.08)",="(1.09)"

="Espagne # Coffee",="0.430",="0.306",="6.790",="6.199"
="",="(0.02)",="(0.01)",="(0.14)",="(0.14)"

="Espagne # Eau de vie",="87.71***",="87.52***",="42.38",="42.45"
="",="(3.89)",="(3.90)",="(1.30)",="(1.31)"

="Espagne # Other",="70.63***",="70.45***",="54.21***",="53.89***"
="",="(4.34)",="(4.34)",="(3.36)",="(3.34)"

="Espagne # Sugar",="-12.24",="-12.35",="-10.10",="-12.58"
="",="(-0.57)",="(-0.57)",="(-0.24)",="(-0.33)"

="Espagne # Wine",="80.08***",="79.89***",="87.00*",="86.69*"
="",="(4.37)",="(4.38)",="(2.53)",="(2.56)"

="Flandre et autres états de l'Empereur # Coffee",="65.86***",="66.04***",="127.4***",="120.0***"
="",="(3.38)",="(3.40)",="(3.64)",="(3.69)"

="Flandre et autres états de l'Empereur # Eau de vie",="82.22***",="82.41***",="41.92",="41.96"
="",="(4.14)",="(4.15)",="(1.16)",="(1.17)"

="Flandre et autres états de l'Empereur # Other",="106.1***",="106.3***",="94.58***",="94.29***"
="",="(5.90)",="(5.92)",="(5.23)",="(5.22)"

="Flandre et autres états de l'Empereur # Sugar",="122.0***",="122.2***",="202.0***",="187.1***"
="",="(5.04)",="(5.05)",="(4.18)",="(4.21)"

="Flandre et autres états de l'Empereur # Wine",="94.86***",="95.04***",="107.2**",="106.9**"
="",="(4.66)",="(4.67)",="(2.95)",="(2.98)"

="Hollande # Coffee",="9.193",="9.284",="19.10",="17.60"
="",="(0.44)",="(0.45)",="(0.65)",="(0.62)"

="Hollande # Eau de vie",="46.01*",="46.08*",="-1.378",="-1.140"
="",="(2.22)",="(2.22)",="(-0.04)",="(-0.03)"

="Hollande # Other",="55.84***",="55.91***",="37.47*",="37.14*"
="",="(3.39)",="(3.39)",="(2.31)",="(2.29)"

="Hollande # Sugar",="12.23",="12.32",="41.43",="32.82"
="",="(0.60)",="(0.60)",="(1.08)",="(0.93)"

="Hollande # Wine",="29.47",="29.55",="36.52",="36.33"
="",="(1.50)",="(1.51)",="(1.02)",="(1.03)"

="Italie # Coffee",="16.11",="16.39",="39.22",="35.73"
="",="(0.77)",="(0.78)",="(1.19)",="(1.13)"

="Italie # Eau de vie",="-40.54",="-40.15",="-76.02*",="-75.27"
="",="(-1.15)",="(-1.14)",="(-1.96)",="(-1.95)"

="Italie # Other",="60.48***",="60.69***",="42.20**",="41.87**"
="",="(3.75)",="(3.77)",="(2.62)",="(2.61)"

="Italie # Sugar",="1.466",="1.774",="22.17",="15.38"
="",="(0.07)",="(0.08)",="(0.54)",="(0.40)"

="Italie # Wine",="25.63",="25.89",="33.29",="33.11"
="",="(1.12)",="(1.14)",="(0.88)",="(0.88)"

="Levant et Barbarie # Coffee",="132.8***",="133.2***",="201.7***",="193.9***"
="",="(6.76)",="(6.78)",="(5.48)",="(5.68)"

="Levant et Barbarie # Eau de vie",="11.43",="11.58",="-27.51",="-27.14"
="",="(0.15)",="(0.15)",="(-0.36)",="(-0.36)"

="Levant et Barbarie # Other",="86.57***",="86.96***",="74.20***",="73.90***"
="",="(4.99)",="(5.00)",="(4.35)",="(4.33)"

="Levant et Barbarie # Sugar",="-42.84",="-43.12",="-74.58",="-70.27"
="",="(-1.45)",="(-1.45)",="(-1.15)",="(-1.22)"

="Levant et Barbarie # Wine",="63.08**",="63.43**",="74.96*",="74.65*"
="",="(3.01)",="(3.02)",="(2.11)",="(2.13)"

="Nord # Coffee",="11.85",="11.77",="35.01",="32.06"
="",="(0.57)",="(0.57)",="(1.15)",="(1.09)"

="Nord # Eau de vie",="17.15",="17.10",="-25.02",="-24.65"
="",="(0.84)",="(0.84)",="(-0.72)",="(-0.71)"

="Nord # Other",="58.24***",="58.31***",="43.02**",="42.69**"
="",="(3.46)",="(3.47)",="(2.61)",="(2.59)"

="Nord # Sugar",="15.52",="15.45",="56.17",="46.08"
="",="(0.75)",="(0.75)",="(1.35)",="(1.22)"

="Nord # Wine",="39.81",="39.84",="49.19",="48.95"
="",="(1.89)",="(1.90)",="(1.35)",="(1.36)"

="Portugal # Coffee",="-12.68",="-12.64",="-57.28",="-52.91"
="",="(-0.56)",="(-0.56)",="(-1.09)",="(-1.09)"

="Portugal # Eau de vie",="73.88***",="74.50***",="26.64",="26.74"
="",="(3.70)",="(3.74)",="(0.75)",="(0.76)"

="Portugal # Other",="26.63",="26.91",="6.221",="5.837"
="",="(1.55)",="(1.57)",="(0.37)",="(0.35)"

="Portugal # Sugar",="4.670",="4.818",="11.75",="6.362"
="",="(0.20)",="(0.20)",="(0.25)",="(0.15)"

="Portugal # Wine",="69.11***",="69.69***",="74.35*",="74.05*"
="",="(3.41)",="(3.44)",="(2.09)",="(2.11)"

="Suisse # Coffee",="-8.085",="-7.800",="-11.19",="-10.40"
="",="(-0.37)",="(-0.35)",="(-0.34)",="(-0.32)"

="Suisse # Eau de vie",="-29.66",="-29.36",="-67.22",="-66.58"
="",="(-1.08)",="(-1.07)",="(-1.87)",="(-1.85)"

="Suisse # Other",="58.81***",="59.02***",="41.66*",="41.33*"
="",="(3.52)",="(3.53)",="(2.49)",="(2.47)"

="Suisse # Sugar",="6.224",="6.488",="37.91",="29.16"
="",="(0.27)",="(0.28)",="(0.87)",="(0.73)"

="Suisse # Wine",="14.15",="14.40",="24.20",="24.05"
="",="(0.72)",="(0.73)",="(0.67)",="(0.67)"

="États-Unis d'Amérique # Coffee",="39.81",="38.92",="-1.968",="0.610"
="",="(1.31)",="(1.28)",="(-0.05)",="(0.02)"

="États-Unis d'Amérique # Eau de vie",="32.05",="31.16",="0",="0"
="",="(1.02)",="(0.99)",="(.)",="(.)"

="États-Unis d'Amérique # Other",="2.176",="1.087",="0",="0"
="",="(0.10)",="(0.05)",="(.)",="(.)"

="États-Unis d'Amérique # Sugar",="31.13",="30.19",="0",="0"
="",="(1.04)",="(1.01)",="(.)",="(.)"

="États-Unis d'Amérique # Wine",="-37.50",="-38.72",="0",="0"
="",="(-0.98)",="(-1.01)",="(.)",="(.)"

="Allemagne # Coffee # year",="0.0427***",="0.0426***",="0.0748***",="0.0746***"
="",="(4.90)",="(4.90)",="(4.38)",="(4.73)"

="Allemagne # Eau de vie # year",="0.0495**",="0.0495**",="0.0531***",="0.0533***"
="",="(3.07)",="(3.08)",="(3.71)",="(3.73)"

="Allemagne # Other # year",="0.0339***",="0.0339***",="0.0338***",="0.0334***"
="",="(7.01)",="(7.05)",="(6.37)",="(6.32)"

="Allemagne # Sugar # year",="0.0422***",="0.0422***",="0.0694***",="0.0673***"
="",="(4.86)",="(4.87)",="(4.40)",="(4.50)"

="Allemagne # Wine # year",="0.00122",="0.00127",="0.00615",="0.00653"
="",="(0.16)",="(0.17)",="(0.78)",="(0.83)"

="Angleterre # Coffee # year",="0.0643**",="0.0642**",="0.165*",="0.162*"
="",="(3.19)",="(3.16)",="(2.43)",="(2.38)"

="Angleterre # Eau de vie # year",="0.00845",="0.00805",="0.0172",="0.0176"
="",="(0.62)",="(0.59)",="(1.19)",="(1.23)"

="Angleterre # Other # year",="0.0164***",="0.0160***",="0.0196***",="0.0192***"
="",="(4.71)",="(4.74)",="(4.13)",="(4.12)"

="Angleterre # Sugar # year",="0.0856***",="0.0857***",="0.219***",="0.209***"
="",="(5.68)",="(5.66)",="(4.16)",="(4.27)"

="Angleterre # Wine # year",="0.0172",="0.0169",="0.0240*",="0.0244*"
="",="(1.43)",="(1.40)",="(1.96)",="(1.99)"

="Espagne # Coffee # year",="0.0426***",="0.0426***",="0.0712**",="0.0713**"
="",="(4.72)",="(4.74)",="(2.90)",="(3.24)"

="Espagne # Eau de vie # year",="-0.00510",="-0.00502",="0.000532",="0.00101"
="",="(-0.56)",="(-0.55)",="(0.06)",="(0.11)"

="Espagne # Other # year",="0.00588*",="0.00595*",="0.00533*",="0.00488*"
="",="(2.27)",="(2.34)",="(2.22)",="(2.00)"

="Espagne # Sugar # year",="0.0505***",="0.0505***",="0.0865***",="0.0822***"
="",="(6.10)",="(6.11)",="(4.05)",="(4.95)"

="Espagne # Wine # year",="-0.00157",="-0.00149",="0.00190",="0.00229"
="",="(-0.29)",="(-0.28)",="(0.40)",="(0.48)"

="Flandre et autres états de l'Empereur # Coffee # year",="0.00309",="0.00296",="0.000913",="0.00485"
="",="(0.47)",="(0.45)",="(0.09)",="(0.51)"

="Flandre et autres états de l'Empereur # Eau de vie # year",="-0.00459",="-0.00472",="-0.00182",="-0.00133"
="",="(-0.66)",="(-0.68)",="(-0.23)",="(-0.17)"

="Flandre et autres états de l'Empereur # Other # year",="-0.0147**",="-0.0149**",="-0.0181***",="-0.0186***"
="",="(-2.88)",="(-2.91)",="(-3.53)",="(-3.62)"

="Flandre et autres états de l'Empereur # Sugar # year",="-0.0267*",="-0.0269*",="-0.0341**",="-0.0315**"
="",="(-2.54)",="(-2.56)",="(-3.09)",="(-2.79)"

="Flandre et autres états de l'Empereur # Wine # year",="-0.0119",="-0.0120",="-0.0115",="-0.0111"
="",="(-1.58)",="(-1.60)",="(-1.46)",="(-1.41)"

="Hollande # Coffee # year",="0.0388***",="0.0388***",="0.0655***",="0.0662***"
="",="(5.05)",="(5.05)",="(5.64)",="(6.15)"

="Hollande # Eau de vie # year",="0.0168*",="0.0167*",="0.0236**",="0.0240**"
="",="(2.19)",="(2.19)",="(2.70)",="(2.72)"

="Hollande # Other # year",="0.0142***",="0.0141***",="0.0148***",="0.0143***"
="",="(4.85)",="(4.78)",="(5.92)",="(5.74)"

="Hollande # Sugar # year",="0.0372***",="0.0372***",="0.0583***",="0.0574***"
="",="(4.95)",="(4.95)",="(5.60)",="(5.58)"

