
="",="(1)",="(2)",="(3)",="(4)"
="",="war # status",="war # status no wart",="war # goods",="war # goods no wart"

="0 # 0",="0",="0",="",=""
="",="(.)",="(.)",="",=""

="0 # Blockade",="0",="0",="",=""
="",="(.)",="(.)",="",=""

="0 # Mercantilist_War",="0",="0",="",=""
="",="(.)",="(.)",="",=""

="ally # 0",="0",="0",="",=""
="",="(.)",="(.)",="",=""

="ally # Blockade",="5.666***",="-0.422",="",=""
="",="(3.33)",="(-0.40)",="",=""

="ally # Mercantilist_War",="3.800***",="4.861***",="",=""
="",="(3.56)",="(6.73)",="",=""

="foe # 0",="0",="0",="",=""
="",="(.)",="(.)",="",=""

="foe # Blockade",="-11.48***",="-2.023",="",=""
="",="(-6.08)",="(-1.92)",="",=""

="foe # Mercantilist_War",="2.934",="-1.008",="",=""
="",="(1.87)",="(-1.02)",="",=""

="neutral # 0",="0",="0",="",=""
="",="(.)",="(.)",="",=""

="neutral # Blockade",="-0.848",="0.350",="",=""
="",="(-0.39)",="(0.27)",="",=""

="neutral # Mercantilist_War",="2.420*",="3.784***",="",=""
="",="(2.49)",="(5.48)",="",=""

="0 # 0 # year_of_war",="0",="",="",=""
="",="(.)",="",="",=""

="0 # Blockade # year_of_war",="0",="",="",=""
="",="(.)",="",="",=""

="0 # Mercantilist_War # year_of_war",="0",="",="",=""
="",="(.)",="",="",=""

="ally # 0 # year_of_war",="0",="",="",=""
="",="(.)",="",="",=""

="ally # Blockade # year_of_war",="-2.363***",="",="",=""
="",="(-4.24)",="",="",=""

="ally # Mercantilist_War # year_of_war",="0.347",="",="",=""
="",="(1.46)",="",="",=""

="foe # 0 # year_of_war",="0",="",="",=""
="",="(.)",="",="",=""

="foe # Blockade # year_of_war",="2.160***",="",="",=""
="",="(5.87)",="",="",=""

="foe # Mercantilist_War # year_of_war",="-1.158***",="",="",=""
="",="(-3.47)",="",="",=""

="neutral # 0 # year_of_war",="0",="",="",=""
="",="(.)",="",="",=""

="neutral # Blockade # year_of_war",="0.378",="",="",=""
="",="(0.85)",="",="",=""

="neutral # Mercantilist_War # year_of_war",="0.501*",="",="",=""
="",="(1.97)",="",="",=""

="Allemagne # Coffee",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="Allemagne # Eau de vie",="93.77",="93.77",="276.4",="287.2"
="",="(0.53)",="(0.52)",="(0.89)",="(0.92)"

="Allemagne # Other",="335.4",="335.4",="-3.022",="-5.246"
="",="(1.89)",="(1.87)",="(-0.01)",="(-0.02)"

="Allemagne # Sugar",="225.1",="225.1",="1598.9***",="1614.6***"
="",="(1.27)",="(1.25)",="(5.14)",="(5.17)"

="Allemagne # Wine",="499.5**",="499.5**",="1553.9***",="1547.6***"
="",="(2.81)",="(2.78)",="(4.99)",="(4.96)"

="Angleterre # Coffee",="67.73",="132.6",="112.5",="112.5"
="",="(0.38)",="(0.74)",="(0.64)",="(0.63)"

="Angleterre # Eau de vie",="202.9",="267.8",="430.3",="441.1"
="",="(1.14)",="(1.49)",="(1.38)",="(1.41)"

="Angleterre # Other",="681.9***",="746.8***",="388.2",="386.0"
="",="(3.82)",="(4.14)",="(1.25)",="(1.24)"

="Angleterre # Sugar",="204.3",="269.2",="1622.8***",="1638.5***"
="",="(1.14)",="(1.49)",="(5.22)",="(5.25)"

="Angleterre # Wine",="422.8*",="487.7**",="1522.0***",="1515.7***"
="",="(2.37)",="(2.70)",="(4.89)",="(4.85)"

="Espagne # Coffee",="-113.6",="-78.76",="-63.49",="-63.49"
="",="(-0.64)",="(-0.44)",="(-0.36)",="(-0.36)"

="Espagne # Eau de vie",="699.3***",="734.1***",="932.1**",="942.9**"
="",="(3.93)",="(4.07)",="(3.00)",="(3.02)"

="Espagne # Other",="330.9",="365.8*",="42.58",="40.36"
="",="(1.86)",="(2.03)",="(0.14)",="(0.13)"

="Espagne # Sugar",="-385.2*",="-350.4",="1038.7***",="1054.4***"
="",="(-2.16)",="(-1.94)",="(3.34)",="(3.38)"

="Espagne # Wine",="437.1*",="471.9**",="1541.6***",="1535.3***"
="",="(2.45)",="(2.62)",="(4.95)",="(4.92)"

="Flandre et autres états de l'Empereur # Coffee",="341.2",="369.7*",="405.1*",="405.1*"
="",="(1.92)",="(2.05)",="(2.30)",="(2.29)"

="Flandre et autres états de l'Empereur # Eau de vie",="440.5*",="468.9**",="687.0*",="697.8*"
="",="(2.48)",="(2.61)",="(2.21)",="(2.23)"

="Flandre et autres états de l'Empereur # Other",="449.1*",="477.5**",="174.5",="172.3"
="",="(2.52)",="(2.65)",="(0.56)",="(0.55)"

="Flandre et autres états de l'Empereur # Sugar",="1228.7***",="1257.1***",="2666.3***",="2682.0***"
="",="(6.91)",="(6.99)",="(8.57)",="(8.59)"

="Flandre et autres états de l'Empereur # Wine",="1169.5***",="1197.9***",="2287.8***",="2281.5***"
="",="(6.58)",="(6.66)",="(7.35)",="(7.31)"

="Hollande # Coffee",="-347.5",="-346.7",="-360.1*",="-360.1*"
="",="(-1.95)",="(-1.93)",="(-2.04)",="(-2.03)"

="Hollande # Eau de vie",="525.8**",="526.7**",="696.0*",="706.8*"
="",="(2.96)",="(2.92)",="(2.24)",="(2.26)"

="Hollande # Other",="503.9**",="504.7**",="152.9",="150.7"
="",="(2.83)",="(2.80)",="(0.49)",="(0.48)"

="Hollande # Sugar",="498.8**",="499.6**",="1860.0***",="1875.7***"
="",="(2.80)",="(2.77)",="(5.98)",="(6.01)"

="Hollande # Wine",="414.6*",="415.5*",="1456.5***",="1450.2***"
="",="(2.33)",="(2.31)",="(4.68)",="(4.64)"

="Italie # Coffee",="162.3",="162.9",="147.1",="147.1"
="",="(0.91)",="(0.90)",="(0.83)",="(0.83)"

="Italie # Eau de vie",="301.2",="301.9",="468.7",="479.6"
="",="(1.69)",="(1.67)",="(1.51)",="(1.54)"

="Italie # Other",="384.0*",="384.7*",="30.39",="28.17"
="",="(2.16)",="(2.13)",="(0.10)",="(0.09)"

="Italie # Sugar",="-89.52",="-88.86",="1269.1***",="1284.8***"
="",="(-0.50)",="(-0.49)",="(4.08)",="(4.11)"

="Italie # Wine",="458.4*",="459.1*",="1497.7***",="1491.4***"
="",="(2.57)",="(2.55)",="(4.81)",="(4.78)"

="Levant et Barbarie # Coffee",="627.7***",="639.1***",="616.4***",="616.4***"
="",="(3.51)",="(3.54)",="(3.49)",="(3.48)"

="Levant et Barbarie # Eau de vie",="309.7",="321.1",="481.0",="491.8"
="",="(1.73)",="(1.78)",="(1.55)",="(1.57)"

="Levant et Barbarie # Other",="325.2",="336.6",="-24.59",="-26.82"
="",="(1.82)",="(1.86)",="(-0.08)",="(-0.09)"

="Levant et Barbarie # Sugar",="-169.9",="-158.4",="1192.6***",="1208.3***"
="",="(-0.95)",="(-0.88)",="(3.83)",="(3.87)"

="Levant et Barbarie # Wine",="419.5*",="430.9*",="1462.6***",="1456.3***"
="",="(2.35)",="(2.38)",="(4.70)",="(4.66)"

="Nord # Coffee",="-563.5**",="-569.9**",="-589.4***",="-589.4***"
="",="(-3.16)",="(-3.16)",="(-3.34)",="(-3.33)"

="Nord # Eau de vie",="178.8",="172.3",="335.5",="346.3"
="",="(1.00)",="(0.96)",="(1.08)",="(1.11)"

="Nord # Other",="402.6*",="396.2*",="38.22",="36.00"
="",="(2.26)",="(2.20)",="(0.12)",="(0.12)"

="Nord # Sugar",="163.4",="156.9",="1511.2***",="1526.9***"
="",="(0.92)",="(0.87)",="(4.86)",="(4.89)"

="Nord # Wine",="340.7",="334.3",="1369.2***",="1362.9***"
="",="(1.91)",="(1.86)",="(4.40)",="(4.36)"

="Portugal # Coffee",="-193.3",="-134.9",="-144.1",="-144.1"
="",="(-1.08)",="(-0.75)",="(-0.82)",="(-0.81)"

="Portugal # Eau de vie",="303.7",="362.1*",="535.5",="546.3"
="",="(1.70)",="(2.01)",="(1.72)",="(1.75)"

="Portugal # Other",="517.9**",="576.3**",="228.6",="226.4"
="",="(2.90)",="(3.20)",="(0.73)",="(0.72)"

="Portugal # Sugar",="-105.7",="-47.31",="1317.3***",="1333.0***"
="",="(-0.59)",="(-0.26)",="(4.23)",="(4.27)"

="Portugal # Wine",="613.1***",="671.5***",="1716.7***",="1710.4***"
="",="(3.44)",="(3.72)",="(5.52)",="(5.48)"

="Suisse # Coffee",="-40.90",="-27.95",="-51.95",="-51.95"
="",="(-0.23)",="(-0.16)",="(-0.29)",="(-0.29)"

="Suisse # Eau de vie",="-93.69",="-80.73",="77.90",="88.72"
="",="(-0.53)",="(-0.45)",="(0.25)",="(0.28)"

="Suisse # Other",="379.1*",="392.1*",="29.64",="27.42"
="",="(2.13)",="(2.18)",="(0.10)",="(0.09)"

="Suisse # Sugar",="274.1",="287.1",="1636.8***",="1652.5***"
="",="(1.54)",="(1.59)",="(5.26)",="(5.29)"

="Suisse # Wine",="171.3",="184.3",="1214.7***",="1208.4***"
="",="(0.96)",="(1.02)",="(3.90)",="(3.87)"

="États-Unis d'Amérique # Coffee",="-1209.6***",="-1201.8***",="-1193.9***",="-1208.7***"
="",="(-3.86)",="(-3.79)",="(-3.84)",="(-3.87)"

="États-Unis d'Amérique # Eau de vie",="-178.3",="-170.6",="0",="0"
="",="(-0.57)",="(-0.54)",="(.)",="(.)"

="États-Unis d'Amérique # Other",="168.8",="176.6",="0",="0"
="",="(0.54)",="(0.56)",="(.)",="(.)"

="États-Unis d'Amérique # Sugar",="-1257.3***",="-1249.6***",="0",="0"
="",="(-4.01)",="(-3.94)",="(.)",="(.)"

="États-Unis d'Amérique # Wine",="-1165.1***",="-1157.3***",="0",="0"
="",="(-3.72)",="(-3.65)",="(.)",="(.)"

="Allemagne # Coffee # year",="0.214**",="0.226**",="0.188**",="0.201**"
="",="(3.02)",="(3.17)",="(2.65)",="(2.83)"

="Allemagne # Eau de vie # year",="0.163*",="0.175*",="0.221**",="0.219**"
="",="(2.30)",="(2.46)",="(3.12)",="(3.09)"

="Allemagne # Other # year",="0.0373",="0.0499",="0.0518",="0.0464"
="",="(0.53)",="(0.70)",="(0.73)",="(0.65)"

="Allemagne # Sugar # year",="0.0878",="0.100",="0.0542",="0.0643"
="",="(1.24)",="(1.41)",="(0.77)",="(0.91)"

="Allemagne # Wine # year",="-0.0597",="-0.0471",="-0.0434",="-0.0537"
="",="(-0.85)",="(-0.66)",="(-0.61)",="(-0.76)"

="Angleterre # Coffee # year",="0.176*",="0.152*",="0.123",="0.136"
="",="(2.48)",="(2.12)",="(1.74)",="(1.92)"

="Angleterre # Eau de vie # year",="0.0965",="0.0726",="0.128",="0.126"
="",="(1.36)",="(1.02)",="(1.81)",="(1.78)"

="Angleterre # Other # year",="-0.159*",="-0.183*",="-0.171*",="-0.176*"
="",="(-2.25)",="(-2.56)",="(-2.42)",="(-2.49)"

="Angleterre # Sugar # year",="0.100",="0.0766",="0.0403",="0.0504"
="",="(1.42)",="(1.07)",="(0.57)",="(0.71)"

="Angleterre # Wine # year",="-0.0229",="-0.0468",="-0.0331",="-0.0435"
="",="(-0.32)",="(-0.65)",="(-0.47)",="(-0.61)"

="Espagne # Coffee # year",="0.281***",="0.274***",="0.226**",="0.240***"
="",="(3.97)",="(3.83)",="(3.20)",="(3.38)"

="Espagne # Eau de vie # year",="-0.171*",="-0.178*",="-0.141*",="-0.143*"
="",="(-2.41)",="(-2.48)",="(-1.99)",="(-2.01)"

="Espagne # Other # year",="0.0405",="0.0334",="0.0266",="0.0213"
="",="(0.57)",="(0.47)",="(0.38)",="(0.30)"

="Espagne # Sugar # year",="0.433***",="0.425***",="0.371***",="0.381***"
="",="(6.12)",="(5.95)",="(5.23)",="(5.37)"

="Espagne # Wine # year",="-0.0216",="-0.0287",="-0.0337",="-0.0440"
="",="(-0.31)",="(-0.40)",="(-0.48)",="(-0.62)"

="Flandre et autres états de l'Empereur # Coffee # year",="0.0176",="0.0140",="-0.0449",="-0.0315"
="",="(0.25)",="(0.20)",="(-0.63)",="(-0.44)"

="Flandre et autres états de l'Empereur # Eau de vie # year",="-0.0369",="-0.0405",="-0.0155",="-0.0171"
="",="(-0.52)",="(-0.57)",="(-0.22)",="(-0.24)"

="Flandre et autres états de l'Empereur # Other # year",="-0.0270",="-0.0306",="-0.0490",="-0.0544"
="",="(-0.38)",="(-0.43)",="(-0.69)",="(-0.77)"

="Flandre et autres états de l'Empereur # Sugar # year",="-0.473***",="-0.477***",="-0.544***",="-0.534***"
="",="(-6.70)",="(-6.67)",="(-7.68)",="(-7.52)"

="Flandre et autres états de l'Empereur # Wine # year",="-0.439***",="-0.442***",="-0.459***",="-0.469***"
="",="(-6.20)",="(-6.19)",="(-6.48)",="(-6.61)"

="Hollande # Coffee # year",="0.409***",="0.421***",="0.390***",="0.403***"
="",="(5.78)",="(5.88)",="(5.51)",="(5.69)"

="Hollande # Eau de vie # year",="-0.0752",="-0.0630",="-0.0103",="-0.0119"
="",="(-1.06)",="(-0.88)",="(-0.15)",="(-0.17)"

="Hollande # Other # year",="-0.0573",="-0.0451",="-0.0358",="-0.0412"
="",="(-0.81)",="(-0.63)",="(-0.51)",="(-0.58)"

="Hollande # Sugar # year",="-0.0579",="-0.0457",="-0.0846",="-0.0745"
