
="",="(1)",="(2)",="(3)",="(4)"
="",="war # status",="war #goods",="choc_diff_goods",="choc_diff_goods_no_wart"

="0",="0",="0",="",=""
="",="(.)",="(.)",="",=""

="ally",="0.112***",="0.128***",="",=""
="",="(12.76)",="(18.99)",="",=""

="foe",="0.304***",="-0.131***",="",=""
="",="(16.44)",="(-12.35)",="",=""

="neutral",="0.0802***",="0.0336***",="",=""
="",="(7.87)",="(4.45)",="",=""

="0 # year_of_war",="0",="",="",=""
="",="(.)",="",="",=""

="ally # year_of_war",="0.00332",="",="",=""
="",="(1.82)",="",="",=""

="foe # year_of_war",="-0.102***",="",="",=""
="",="(-28.60)",="",="",=""

="neutral # year_of_war",="-0.0159***",="",="",=""
="",="(-6.58)",="",="",=""

="Allemagne # Coffee",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="Allemagne # Eau de vie",="-186.0***",="-190.4***",="-277.3",="-239.1"
="",="(-4.04)",="(-4.11)",="(-0.76)",="(-0.65)"

="Allemagne # Other",="-139.3***",="-143.8***",="-0.220",="0.191"
="",="(-4.66)",="(-4.78)",="(-0.10)",="(0.09)"

="Allemagne # Sugar",="39.62",="43.93",="-23.30",="-9.242"
="",="(0.92)",="(1.01)",="(-0.74)",="(-0.29)"

="Allemagne # Wine",="-84.35*",="-89.38**",="-148.6",="-134.4"
="",="(-2.51)",="(-2.64)",="(-0.77)",="(-0.70)"

="Angleterre # Coffee",="-121.3***",="-123.0***",="153.6***",="99.71**"
="",="(-3.98)",="(-4.01)",="(4.98)",="(3.27)"

="Angleterre # Eau de vie",="-62.07",="-62.17",="-130.7",="-94.93"
="",="(-1.19)",="(-1.19)",="(-0.36)",="(-0.26)"

="Angleterre # Other",="-100.9***",="-104.5***",="40.91***",="40.99***"
="",="(-3.38)",="(-3.48)",="(19.21)",="(19.21)"

="Angleterre # Sugar",="-192.6***",="-193.6***",="-166.0***",="-172.5***"
="",="(-6.21)",="(-6.20)",="(-13.02)",="(-13.51)"

="Angleterre # Wine",="-92.74*",="-94.59*",="-153.9",="-141.2"
="",="(-2.38)",="(-2.42)",="(-0.80)",="(-0.73)"

="Espagne # Coffee",="-115.3***",="-119.9***",="150.9***",="98.42**"
="",="(-3.79)",="(-3.91)",="(4.90)",="(3.23)"

="Espagne # Eau de vie",="-42.62",="-47.68",="-67.70",="-32.36"
="",="(-1.42)",="(-1.58)",="(-0.19)",="(-0.09)"

="Espagne # Other",="-75.21*",="-82.03**",="69.77***",="69.84***"
="",="(-2.52)",="(-2.73)",="(33.21)",="(33.15)"

="Espagne # Sugar",="-137.9***",="-146.2***",="-105.3***",="-113.4***"
="",="(-4.58)",="(-4.82)",="(-9.96)",="(-10.75)"

="Espagne # Wine",="-79.26**",="-84.10**",="-144.1",="-133.0"
="",="(-2.63)",="(-2.77)",="(-0.75)",="(-0.69)"

="Flandre et autres états de l'Empereur # Coffee",="-147.2",="-152.1",="153.8",="100.2"
="",="(-0.38)",="(-0.39)",="(0.41)",="(0.27)"

="Flandre et autres états de l'Empereur # Eau de vie",="-158.6*",="-163.6*",="-177.8",="-121.9"
="",="(-2.32)",="(-2.38)",="(-0.48)",="(-0.33)"

="Flandre et autres états de l'Empereur # Other",="-97.81**",="-102.7***",="57.41***",="57.39***"
="",="(-3.27)",="(-3.41)",="(21.14)",="(21.08)"

="Flandre et autres états de l'Empereur # Sugar",="-102.1*",="-107.2*",="-33.51",="-40.00"
="",="(-2.27)",="(-2.36)",="(-0.98)",="(-1.17)"

="Flandre et autres états de l'Empereur # Wine",="-216.0***",="-221.5***",="-253.1",="-239.6"
="",="(-3.57)",="(-3.64)",="(-1.27)",="(-1.20)"

