
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="war # status_noprod",="war # status",="war # status no wart",="war # goods_noprod",="war # goods",="war # goods no wart"

="0 # 0",="0",="0",="0",="",="",=""
="",="(.)",="(.)",="(.)",="",="",=""

="0 # Blockade",="0",="0",="0",="",="",=""
="",="(.)",="(.)",="(.)",="",="",=""

="0 # Mercantilist_War",="0",="0",="0",="",="",=""
="",="(.)",="(.)",="(.)",="",="",=""

="ally # 0",="0",="0",="0",="",="",=""
="",="(.)",="(.)",="(.)",="",="",=""

="ally # Blockade",="-0.117",="-0.999",="-1.887**",="",="",=""
="",="(-0.32)",="(-0.95)",="(-2.87)",="",="",=""

="ally # Mercantilist_War",="0.131",="1.376*",="1.902***",="",="",=""
="",="(0.64)",="(2.35)",="(4.90)",="",="",=""

="foe # 0",="0",="0",="0",="",="",=""
="",="(.)",="(.)",="(.)",="",="",=""

="foe # Blockade",="-1.257**",="-12.12***",="-3.892***",="",="",=""
="",="(-2.68)",="(-9.48)",="(-5.90)",="",="",=""

="foe # Mercantilist_War",="-0.791**",="-1.008",="-2.993***",="",="",=""
="",="(-3.06)",="(-1.34)",="(-6.12)",="",="",=""

="neutral # 0",="0",="0",="0",="",="",=""
="",="(.)",="(.)",="(.)",="",="",=""

="neutral # Blockade",="-1.135*",="-4.079**",="-1.875*",="",="",=""
="",="(-2.43)",="(-2.90)",="(-2.39)",="",="",=""

="neutral # Mercantilist_War",="0.382*",="0.793",="0.930**",="",="",=""
="",="(2.22)",="(1.61)",="(2.77)",="",="",=""

="0 # 0 # year_of_war",="0",="0",="",="",="",=""
="",="(.)",="(.)",="",="",="",=""

="0 # Blockade # year_of_war",="0",="0",="",="",="",=""
="",="(.)",="(.)",="",="",="",=""

="0 # Mercantilist_War # year_of_war",="0",="0",="",="",="",=""
="",="(.)",="(.)",="",="",="",=""

="ally # 0 # year_of_war",="0",="0",="",="",="",=""
="",="(.)",="(.)",="",="",="",=""

="ally # Blockade # year_of_war",="0.0353",="-0.269",="",="",="",=""
="",="(0.27)",="(-0.75)",="",="",="",=""

="ally # Mercantilist_War # year_of_war",="0.0266",="0.175",="",="",="",=""
="",="(0.58)",="(1.33)",="",="",="",=""

="foe # 0 # year_of_war",="0",="0",="",="",="",=""
="",="(.)",="(.)",="",="",="",=""

="foe # Blockade # year_of_war",="0.205*",="1.814***",="",="",="",=""
="",="(2.32)",="(7.43)",="",="",="",=""

="foe # Mercantilist_War # year_of_war",="-0.201***",="-0.664***",="",="",="",=""
="",="(-3.34)",="(-3.65)",="",="",="",=""

="neutral # 0 # year_of_war",="0",="0",="",="",="",=""
="",="(.)",="(.)",="",="",="",=""

="neutral # Blockade # year_of_war",="0.0871",="0.550",="",="",="",=""
="",="(0.91)",="(1.93)",="",="",="",=""

="neutral # Mercantilist_War # year_of_war",="-0.121**",="0.0532",="",="",="",=""
="",="(-2.73)",="(0.42)",="",="",="",=""

="Allemagne",="0",="",="",="",="",=""
="",="(.)",="",="",="",="",=""

="Angleterre",="29.78**",="",="",="",="",=""
="",="(3.03)",="",="",="",="",=""

="Espagne",="4.100",="",="",="",="",=""
="",="(0.42)",="",="",="",="",=""

="Flandre et autres états de l'Empereur",="49.93***",="",="",="",="",=""
="",="(5.21)",="",="",="",="",=""

="Hollande",="28.82**",="",="",="",="",=""
="",="(2.99)",="",="",="",="",=""

="Italie",="17.86",="",="",="",="",=""
="",="(1.89)",="",="",="",="",=""

="Levant et Barbarie",="34.61***",="",="",="",="",=""
="",="(3.53)",="",="",="",="",=""

="Nord",="-7.686",="",="",="",="",=""
="",="(-0.80)",="",="",="",="",=""

="Portugal",="-10.32",="",="",="",="",=""
="",="(-1.04)",="",="",="",="",=""

="Suisse",="12.45",="",="",="",="",=""
="",="(1.31)",="",="",="",="",=""

="États-Unis d'Amérique",="-83.46**",="",="",="",="",=""
="",="(-2.82)",="",="",="",="",=""

="Allemagne # year",="0.0171***",="",="",="",="",=""
="",="(4.39)",="",="",="",="",=""

="Angleterre # year",="0.000133",="",="",="",="",=""
="",="(0.03)",="",="",="",="",=""

="Espagne # year",="0.0149***",="",="",="",="",=""
="",="(3.78)",="",="",="",="",=""

="Flandre et autres états de l'Empereur # year",="-0.0121**",="",="",="",="",=""
="",="(-3.09)",="",="",="",="",=""

="Hollande # year",="0.00116",="",="",="",="",=""
="",="(0.29)",="",="",="",="",=""

="Italie # year",="0.00730",="",="",="",="",=""
="",="(1.86)",="",="",="",="",=""

="Levant et Barbarie # year",="-0.00267",="",="",="",="",=""
="",="(-0.67)",="",="",="",="",=""

