
="",="(1)",="(2)"
="",="war # status",="war #goods"

="(sum) value",="",=""
="ally # Blockade",="0",=""
="",="(.)",=""

="ally # Mercantilist_War",="140.8*",=""
="",="(2.40)",=""

="foe # Blockade",="394.6***",=""
="",="(5.31)",=""

="foe # Mercantilist_War",="140.7*",=""
="",="(2.40)",=""

="neutral # Blockade",="463.7***",=""
="",="(3.85)",=""

="neutral # Mercantilist_War",="140.6*",=""
="",="(2.40)",=""

="ally # Blockade # year_of_war",="-0.0790*",=""
="",="(-2.42)",=""

="ally # Mercantilist_War # year_of_war",="0.0611***",=""
="",="(5.28)",=""

="foe # Blockade # year_of_war",="0.142***",=""
="",="(5.44)",=""

="foe # Mercantilist_War # year_of_war",="-0.0107",=""
="",="(-0.16)",=""

="neutral # Blockade # year_of_war",="0.180**",=""
="",="(3.06)",=""

="neutral # Mercantilist_War # year_of_war",="0.0799**",=""
="",="(3.17)",=""

="Allemagne # European foodstuff and beverage",="0",="0"
="",="(.)",="(.)"

="Allemagne # Other",="68.08***",="62.33*"
="",="(6.79)",="(2.21)"

="Allemagne # Plantation foodstuff",="19.21",="-314.9***"
="",="(0.60)",="(-4.88)"

="Allemagne # Raw mat fuel oils",="73.41**",="33.59"
="",="(2.93)",="(0.95)"

="Allemagne # Textile manuf",="46.71***",="55.29"
="",="(5.02)",="(0.81)"

="Allemagne # Various manuf",="101.1***",="75.44*"
="",="(7.49)",="(2.40)"

="Angleterre # European foodstuff and beverage",="19.79",="22.71"
="",="(0.80)",="(0.71)"

="Angleterre # Other",="28.51",="23.77"
="",="(0.89)",="(0.49)"

="Angleterre # Plantation foodstuff",="136.6***",="-167.7**"
="",="(6.66)",="(-2.94)"

="Angleterre # Raw mat fuel oils",="20.44",="-11.22"
="",="(0.43)",="(-0.22)"

="Angleterre # Textile manuf",="64.10",="78.83"
="",="(1.76)",="(1.04)"

="Angleterre # Various manuf",="83.06*",="64.38"
="",="(2.53)",="(1.54)"

="Espagne # European foodstuff and beverage",="19.04*",="30.43***"
="",="(2.31)",="(3.43)"

="Espagne # Other",="79.11***",="80.47**"
="",="(9.82)",="(2.92)"

="Espagne # Plantation foodstuff",="145.6***",="-161.9**"
="",="(9.66)",="(-2.93)"

="Espagne # Raw mat fuel oils",="42.33***",="12.83"
="",="(4.40)",="(0.38)"

="Espagne # Textile manuf",="81.50***",="97.92"
="",="(9.73)",="(1.43)"

="Espagne # Various manuf",="81.51***",="63.12*"
="",="(10.66)",="(2.06)"

="Flandre et autres états de l'Empereur # European foodstuff and beverage",="157.3***",="167.5***"
="",="(4.83)",="(5.19)"

="Flandre et autres états de l'Empereur # Other",="107.6***",="106.5***"
="",="(7.95)",="(3.61)"

="Flandre et autres états de l'Empereur # Plantation foodstuff",="150.7***",="-159.7**"
="",="(6.66)",="(-2.79)"

="Flandre et autres états de l'Empereur # Raw mat fuel oils",="129.8***",="87.44*"
="",="(5.93)",="(2.37)"

="Flandre et autres états de l'Empereur # Textile manuf",="108.3***",="122.3"
="",="(8.61)",="(1.77)"

