
="",="(1)",="(2)"
="",="war # status",="war #goods"

="(sum) value",="",=""
="ally # Blockade",="0",=""
="",="(.)",=""

="ally # Mercantilist_War",="-143.6*",=""
="",="(-2.48)",=""

="foe # Blockade",="-422.0***",=""
="",="(-5.45)",=""

="foe # Mercantilist_War",="-65.08",=""
="",="(-1.11)",=""

="neutral # Blockade",="-447.2***",=""
="",="(-3.75)",=""

="neutral # Mercantilist_War",="-157.0**",=""
="",="(-2.70)",=""

="ally # Blockade # year",="-0.00408",=""
="",="(-0.11)",=""

="ally # Mercantilist_War # year",="0.0751***",=""
="",="(3.31)",=""

="foe # Blockade # year",="0.229***",=""
="",="(6.27)",=""

="foe # Mercantilist_War # year",="0.0304",=""
="",="(1.30)",=""

="neutral # Blockade # year",="0.243***",=""
="",="(3.89)",=""

="neutral # Mercantilist_War # year",="0.0827***",=""
="",="(3.61)",=""

="Allemagne # European foodstuff and beverage",="0",="0"
="",="(.)",="(.)"

="Allemagne # Other",="72.65***",="72.91**"
="",="(7.26)",="(2.65)"

="Allemagne # Plantation foodstuff",="21.00",="-295.4***"
="",="(0.63)",="(-4.74)"

="Allemagne # Raw mat fuel oils",="78.20**",="64.21"
="",="(2.94)",="(1.81)"

="Allemagne # Textile manuf",="50.03***",="61.06"
="",="(5.54)",="(0.93)"

="Allemagne # Various manuf",="107.0***",="96.97***"
="",="(7.54)",="(3.38)"

="Angleterre # European foodstuff and beverage",="10.88",="23.71"
="",="(0.57)",="(0.71)"

="Angleterre # Other",="17.14",="33.16"
="",="(0.66)",="(0.69)"

="Angleterre # Plantation foodstuff",="107.3***",="-141.1**"
="",="(5.38)",="(-2.96)"

="Angleterre # Raw mat fuel oils",="11.12",="16.98"
="",="(0.31)",="(0.31)"

="Angleterre # Textile manuf",="46.18",="85.11"
="",="(1.61)",="(1.14)"

="Angleterre # Various manuf",="62.16*",="85.52*"
="",="(2.35)",="(2.02)"

="Espagne # European foodstuff and beverage",="16.43",="31.73**"
="",="(1.83)",="(3.28)"

="Espagne # Other",="81.81***",="91.57***"
="",="(10.03)",="(3.42)"

="Espagne # Plantation foodstuff",="151.9***",="-135.2**"
="",="(10.16)",="(-2.98)"

="Espagne # Raw mat fuel oils",="42.29***",="42.45"
="",="(4.33)",="(1.36)"

="Espagne # Textile manuf",="84.20***",="104.5"
="",="(10.12)",="(1.60)"

="Espagne # Various manuf",="84.30***",="84.20**"
="",="(11.24)",="(3.06)"

="Flandre et autres états de l'Empereur # European foodstuff and beverage",="139.8***",="172.9***"
="",="(5.15)",="(5.36)"

="Flandre et autres états de l'Empereur # Other",="95.76***",="118.4***"
="",="(6.37)",="(4.10)"

="Flandre et autres états de l'Empereur # Plantation foodstuff",="134.3***",="-132.9**"
="",="(6.56)",="(-2.74)"

="Flandre et autres états de l'Empereur # Raw mat fuel oils",="116.0***",="120.4***"
="",="(5.57)",="(3.38)"

="Flandre et autres états de l'Empereur # Textile manuf",="96.62***",="129.4"
="",="(6.94)",="(1.95)"

="Flandre et autres états de l'Empereur # Various manuf",="116.4***",="128.5***"
