
="",="(1)",="(2)"
="",="war # status",="war #goods"

="(sum) value",="",=""
="ally # Blockade",="0",=""
="",="(.)",=""

="ally # Mercantilist_War",="-0.453**",=""
="",="(-3.10)",=""

="foe # Blockade",="-1.141***",=""
="",="(-6.90)",=""

="foe # Mercantilist_War",="-0.597",=""
="",="(-1.67)",=""

="neutral # Blockade",="-0.881*",=""
="",="(-1.97)",=""

="neutral # Mercantilist_War",="0.217",=""
="",="(1.12)",=""

="ally # Blockade # year_of_war",="-0.117***",=""
="",="(-4.04)",=""

="ally # Mercantilist_War # year_of_war",="0.0216",=""
="",="(1.96)",=""

="foe # Blockade # year_of_war",="0.104***",=""
="",="(4.18)",=""

="foe # Mercantilist_War # year_of_war",="-0.110*",=""
="",="(-2.28)",=""

="neutral # Blockade # year_of_war",="0.0919",=""
="",="(1.40)",=""

="neutral # Mercantilist_War # year_of_war",="0.0195",=""
="",="(0.97)",=""

="Allemagne # European foodstuff and beverage",="0",="0"
="",="(.)",="(.)"

="Allemagne # Other",="83.68***",="83.36**"
="",="(6.34)",="(2.95)"

="Allemagne # Plantation foodstuff",="20.12",="-279.1**"
="",="(0.41)",="(-2.77)"

="Allemagne # Raw mat fuel oils",="-50.18**",="0.838"
="",="(-2.63)",="(0.02)"

="Allemagne # Textile manuf",="64.40***",="78.68"
="",="(7.25)",="(1.12)"

="Allemagne # Various manuf",="34.54*",="62.86"
="",="(2.50)",="(1.61)"

="Angleterre # European foodstuff and beverage",="-62.98",="-166.7"
="",="(-1.87)",="(-1.86)"

="Angleterre # Other",="-1.107",="-15.69"
="",="(-0.02)",="(-0.21)"

="Angleterre # Plantation foodstuff",="152.4***",="-2.766"
="",="(7.34)",="(-0.04)"

="Angleterre # Raw mat fuel oils",="-230.4**",="-410.3**"
="",="(-2.63)",="(-2.94)"

="Angleterre # Textile manuf",="-61.49",="-112.4"
="",="(-1.47)",="(-1.00)"

="Angleterre # Various manuf",="-192.9",="-337.7*"
="",="(-1.91)",="(-2.37)"

="Espagne # European foodstuff and beverage",="10.72",="24.60*"
="",="(1.00)",="(2.02)"

="Espagne # Other",="84.79***",="92.66***"
="",="(9.26)",="(3.40)"

="Espagne # Plantation foodstuff",="119.3***",="-72.97"
="",="(7.60)",="(-1.22)"

="Espagne # Raw mat fuel oils",="43.27***",="105.6**"
="",="(3.72)",="(2.77)"

="Espagne # Textile manuf",="88.48***",="110.2"
="",="(8.69)",="(1.57)"

="Espagne # Various manuf",="87.76***",="122.5**"
="",="(9.49)",="(3.22)"

="Flandre et autres états de l'Empereur # European foodstuff and beverage",="153.5***",="161.5***"
="",="(9.76)",="(9.56)"

="Flandre et autres états de l'Empereur # Other",="148.6***",="149.3***"
="",="(8.88)",="(4.98)"

="Flandre et autres états de l'Empereur # Plantation foodstuff",="141.7***",="-38.07"
="",="(7.54)",="(-0.63)"

="Flandre et autres états de l'Empereur # Raw mat fuel oils",="157.0***",="211.7***"
="",="(9.93)",="(5.38)"

="Flandre et autres états de l'Empereur # Textile manuf",="149.8***",="164.9*"
="",="(11.45)",="(2.32)"

