
="",="(1)",="(2)"
="",="war # status",="war #goods"

="(sum) value",="",=""
="ally # Blockade",="0",=""
="",="(.)",=""

="ally # Mercantilist_War",="105.7*",=""
="",="(2.48)",=""

="foe # Blockade",="215.6***",=""
="",="(3.97)",=""

="foe # Mercantilist_War",="105.0*",=""
="",="(2.46)",=""

="neutral # Blockade",="257.3",=""
="",="(1.66)",=""

="neutral # Mercantilist_War",="106.2*",=""
="",="(2.49)",=""

="ally # Blockade # year_of_war",="-0.0592*",=""
="",="(-2.49)",=""

="ally # Mercantilist_War # year_of_war",="0.0232*",=""
="",="(2.17)",=""

="foe # Blockade # year_of_war",="0.0615**",=""
="",="(3.04)",=""

="foe # Mercantilist_War # year_of_war",="0.0159",=""
="",="(0.25)",=""

="neutral # Blockade # year_of_war",="0.0848",=""
="",="(1.00)",=""

="neutral # Mercantilist_War # year_of_war",="0.0442",=""
="",="(1.85)",=""

="Allemagne # European foodstuff and beverage",="0",="0"
="",="(.)",="(.)"

="Allemagne # Other",="84.58***",="57.00"
="",="(5.20)",="(1.85)"

="Allemagne # Plantation foodstuff",="17.26",="-225.9**"
="",="(0.91)",="(-3.17)"

="Allemagne # Raw mat fuel oils",="-40.79",="-84.74*"
="",="(-1.60)",="(-2.14)"

="Allemagne # Textile manuf",="55.34***",="106.7"
="",="(5.15)",="(1.23)"

="Allemagne # Various manuf",="29.99",="70.86*"
="",="(1.89)",="(2.54)"

="Angleterre # European foodstuff and beverage",="4.487",="-91.16"
="",="(0.08)",="(-1.61)"

="Angleterre # Other",="16.45",="-36.91"
="",="(0.43)",="(-1.03)"

="Angleterre # Plantation foodstuff",="34.81",="-3.023"
="",="(1.77)",="(-0.04)"

="Angleterre # Raw mat fuel oils",="-1.675",="-205.3*"
="",="(-0.02)",="(-2.29)"

="Angleterre # Textile manuf",="-42.33",="-65.16"
="",="(-0.59)",="(-0.51)"

="Angleterre # Various manuf",="-190.7",="-287.9"
="",="(-0.82)",="(-1.11)"

="Espagne # European foodstuff and beverage",="-9.618",="20.43"
="",="(-0.65)",="(0.82)"

="Espagne # Other",="71.28***",="51.58"
="",="(6.55)",="(1.74)"

="Espagne # Plantation foodstuff",="92.07***",="19.41"
="",="(5.30)",="(0.28)"

="Espagne # Raw mat fuel oils",="48.24***",="3.321"
="",="(3.46)",="(0.09)"

="Espagne # Textile manuf",="76.65***",="135.8"
="",="(6.29)",="(1.57)"

="Espagne # Various manuf",="75.53***",="118.9***"
="",="(6.84)",="(4.57)"

="Flandre et autres états de l'Empereur # European foodstuff and beverage",="60.47***",="82.59**"
="",="(3.31)",="(3.29)"

="Flandre et autres états de l'Empereur # Other",="94.45***",="48.88"
="",="(3.78)",="(1.41)"

="Flandre et autres états de l'Empereur # Plantation foodstuff",="30.64",="-94.23"
="",="(0.99)",="(-1.23)"

="Flandre et autres états de l'Empereur # Raw mat fuel oils",="48.28**",="-24.25"
="",="(3.16)",="(-0.62)"

="Flandre et autres états de l'Empereur # Textile manuf",="97.61***",="131.8"
="",="(6.57)",="(1.51)"

