
="",="(1)",="(2)"
="",="war # status",="war #goods"

="(sum) value",="",=""
="ally # Blockade",="0",=""
="",="(.)",=""

="ally # Mercantilist_War",="122.0",=""
="",="(1.73)",=""

="foe # Blockade",="-11.44",=""
="",="(-0.09)",=""

="foe # Mercantilist_War",="120.8",=""
="",="(1.71)",=""

="neutral # Blockade",="-5.164",=""
="",="(-0.04)",=""

="neutral # Mercantilist_War",="122.5",=""
="",="(1.74)",=""

="ally # Blockade # year_of_war",="-0.0679",=""
="",="(-1.72)",=""

="ally # Mercantilist_War # year_of_war",="0.00741",=""
="",="(0.64)",=""

="foe # Blockade # year_of_war",="-0.0743",=""
="",="(-1.19)",=""

="foe # Mercantilist_War # year_of_war",="0.0639",=""
="",="(1.33)",=""

="neutral # Blockade # year_of_war",="-0.0707",=""
="",="(-1.07)",=""

="neutral # Mercantilist_War # year_of_war",="0.0437**",=""
="",="(2.98)",=""

="Allemagne # European foodstuff and beverage",="0",="0"
="",="(.)",="(.)"

="Allemagne # Other",="36.67",="28.71"
="",="(1.52)",="(0.75)"

="Allemagne # Plantation foodstuff",="-37.35",="39.84"
="",="(-1.08)",="(0.50)"

="Allemagne # Raw mat fuel oils",="-91.58*",="25.60"
="",="(-2.56)",="(0.37)"

="Allemagne # Textile manuf",="-19.80",="-26.82"
="",="(-0.73)",="(-0.63)"

="Allemagne # Various manuf",="1.466",="2.138"
="",="(0.06)",="(0.07)"

="Angleterre # European foodstuff and beverage",="185.3***",="168.8***"
="",="(6.09)",="(5.58)"

="Angleterre # Other",="137.7***",="106.7*"
="",="(3.74)",="(2.20)"

="Angleterre # Plantation foodstuff",="-703.3**",="-1067.5***"
="",="(-2.79)",="(-3.60)"

="Angleterre # Raw mat fuel oils",="-31.07",="27.27"
="",="(-0.49)",="(0.29)"

="Angleterre # Textile manuf",="145.2***",="148.3**"
="",="(4.37)",="(3.17)"

="Angleterre # Various manuf",="58.73",="27.38"
="",="(1.50)",="(0.64)"

="Espagne # European foodstuff and beverage",="81.37***",="82.50***"
="",="(3.29)",="(3.43)"

="Espagne # Other",="39.00",="32.81"
="",="(1.57)",="(0.87)"

="Espagne # Plantation foodstuff",="-12.61",="122.4"
="",="(-0.41)",="(1.52)"

="Espagne # Raw mat fuel oils",="68.96**",="174.4**"
="",="(2.85)",="(2.77)"

="Espagne # Textile manuf",="158.8***",="183.8***"
="",="(6.36)",="(4.52)"

="Espagne # Various manuf",="59.10*",="56.60"
="",="(2.45)",="(1.92)"

="Flandre et autres états de l'Empereur # European foodstuff and beverage",="121.4***",="100.6***"
="",="(4.40)",="(3.82)"

="Flandre et autres états de l'Empereur # Other",="163.4***",="121.4**"
="",="(5.39)",="(3.06)"

="Flandre et autres états de l'Empereur # Plantation foodstuff",="129.8***",="290.6***"
="",="(4.42)",="(4.85)"

="Flandre et autres états de l'Empereur # Raw mat fuel oils",="112.3***",="196.8**"
="",="(4.05)",="(3.07)"

="Flandre et autres états de l'Empereur # Textile manuf",="169.7***",="160.8***"
="",="(6.04)",="(3.96)"

