
="",="(1)",="(2)"
="",="war # status",="war #goods"

="(sum) value",="",=""
="ally # Blockade",="0",=""
="",="(.)",=""

="ally # Mercantilist_War",="-19.97",=""
="",="(-0.34)",=""

="foe # Blockade",="-319.3***",=""
="",="(-3.50)",=""

="foe # Mercantilist_War",="-20.65",=""
="",="(-0.35)",=""

="neutral # Blockade",="-72.64",=""
="",="(-0.80)",=""

="neutral # Mercantilist_War",="-19.48",=""
="",="(-0.33)",=""

="ally # Blockade # year_of_war",="0.0114",=""
="",="(0.35)",=""

="ally # Mercantilist_War # year_of_war",="-0.0164",=""
="",="(-1.41)",=""

="foe # Blockade # year_of_war",="-0.167***",=""
="",="(-4.40)",=""

="foe # Mercantilist_War # year_of_war",="0.0823**",=""
="",="(2.67)",=""

="neutral # Blockade # year_of_war",="-0.0291",=""
="",="(-0.74)",=""

="neutral # Mercantilist_War # year_of_war",="0.0287*",=""
="",="(2.00)",=""

="Allemagne # European foodstuff and beverage",="0",="0"
="",="(.)",="(.)"

="Allemagne # Other",="31.34",="-57.64"
="",="(0.76)",="(-1.47)"

="Allemagne # Plantation foodstuff",="103.7",="152.4"
="",="(1.52)",="(1.31)"

="Allemagne # Raw mat fuel oils",="-43.87",="32.35"
="",="(-0.93)",="(0.66)"

="Allemagne # Textile manuf",="-34.36",="-64.14"
="",="(-0.74)",="(-0.83)"

="Allemagne # Various manuf",="-23.16",="-15.70"
="",="(-0.52)",="(-0.34)"

="Angleterre # European foodstuff and beverage",="158.2**",="151.5**"
="",="(3.23)",="(2.91)"

="Angleterre # Other",="114.2**",="3.958"
="",="(2.64)",="(0.10)"

="Angleterre # Plantation foodstuff",="-779.6",="-1210.9*"
="",="(-1.59)",="(-2.38)"

="Angleterre # Raw mat fuel oils",="-9.027",="83.35"
="",="(-0.18)",="(1.76)"

="Angleterre # Textile manuf",="100.9*",="119.5"
="",="(2.32)",="(1.39)"

="Angleterre # Various manuf",="62.48",="67.58"
="",="(1.45)",="(1.73)"

="Espagne # European foodstuff and beverage",="65.71",="69.00"
="",="(1.55)",="(1.51)"

="Espagne # Other",="35.45",="-57.75"
="",="(0.84)",="(-1.52)"

="Espagne # Plantation foodstuff",="-60.65",="-267.6*"
="",="(-1.01)",="(-2.32)"

="Espagne # Raw mat fuel oils",="65.90",="140.3**"
="",="(1.58)",="(2.94)"

="Espagne # Textile manuf",="137.2**",="162.4"
="",="(3.13)",="(1.91)"

="Espagne # Various manuf",="49.19",="67.14"
="",="(1.17)",="(1.71)"

="Flandre et autres états de l'Empereur # European foodstuff and beverage",="52.26",="26.59"
="",="(1.11)",="(0.54)"

="Flandre et autres états de l'Empereur # Other",="199.2***",="17.53"
="",="(4.19)",="(0.38)"

="Flandre et autres états de l'Empereur # Plantation foodstuff",="-16.13",="164.0*"
="",="(-0.30)",="(2.41)"

="Flandre et autres états de l'Empereur # Raw mat fuel oils",="133.5**",="182.7***"
="",="(2.76)",="(3.59)"

="Flandre et autres états de l'Empereur # Textile manuf",="172.2***",="130.7"
="",="(3.43)",="(1.43)"

