
="",="(1)",="(2)"
="",="war # status",="war #goods"

="(sum) value",="",=""
="ally # Blockade",="0",=""
="",="(.)",=""

="ally # Mercantilist_War",="97.26",=""
="",="(1.85)",=""

="foe # Blockade",="234.4**",=""
="",="(2.80)",=""

="foe # Mercantilist_War",="96.96",=""
="",="(1.85)",=""

="neutral # Blockade",="266.4**",=""
="",="(2.61)",=""

="neutral # Mercantilist_War",="97.29",=""
="",="(1.85)",=""

="ally # Blockade # year_of_war",="-0.0546",=""
="",="(-1.86)",=""

="ally # Mercantilist_War # year_of_war",="0.0497***",=""
="",="(5.61)",=""

="foe # Blockade # year_of_war",="0.0766*",=""
="",="(2.07)",=""

="foe # Mercantilist_War # year_of_war",="-0.0182",=""
="",="(-0.37)",=""

="neutral # Blockade # year_of_war",="0.0947",=""
="",="(1.92)",=""

="neutral # Mercantilist_War # year_of_war",="0.0730***",=""
="",="(4.63)",=""

="Allemagne # European foodstuff and beverage",="0",="0"
="",="(.)",="(.)"

="Allemagne # Other",="59.26***",="61.83*"
="",="(5.83)",="(2.12)"

="Allemagne # Plantation foodstuff",="-9.479",="-1.892"
="",="(-0.44)",="(-0.04)"

="Allemagne # Raw mat fuel oils",="24.61",="85.90"
="",="(0.94)",="(1.44)"

="Allemagne # Textile manuf",="40.04***",="56.71"
="",="(3.84)",="(1.07)"

="Allemagne # Various manuf",="81.00***",="60.42*"
="",="(5.70)",="(2.38)"

="Angleterre # European foodstuff and beverage",="73.79***",="77.14***"
="",="(3.87)",="(3.41)"

="Angleterre # Other",="90.32***",="96.75*"
="",="(3.43)",="(2.30)"

="Angleterre # Plantation foodstuff",="6.826",="-16.71"
="",="(0.16)",="(-0.12)"

="Angleterre # Raw mat fuel oils",="-1.552",="43.73"
="",="(-0.03)",="(0.50)"

="Angleterre # Textile manuf",="86.22*",="104.4"
="",="(2.53)",="(1.68)"

="Angleterre # Various manuf",="77.33**",="58.08"
="",="(2.63)",="(1.59)"

="Espagne # European foodstuff and beverage",="47.19***",="54.33***"
="",="(5.22)",="(5.75)"

="Espagne # Other",="77.89***",="85.23**"
="",="(8.37)",="(2.95)"

="Espagne # Plantation foodstuff",="70.84***",="109.2*"
="",="(4.16)",="(2.45)"

="Espagne # Raw mat fuel oils",="68.52***",="135.2*"
="",="(6.65)",="(2.43)"

="Espagne # Textile manuf",="85.94***",="108.6*"
="",="(9.14)",="(2.05)"

="Espagne # Various manuf",="72.10***",="56.52*"
="",="(7.81)",="(2.36)"

="Flandre et autres états de l'Empereur # European foodstuff and beverage",="152.3***",="150.9***"
="",="(5.86)",="(6.16)"

="Flandre et autres états de l'Empereur # Other",="135.5***",="134.6***"
="",="(7.86)",="(4.26)"

="Flandre et autres états de l'Empereur # Plantation foodstuff",="162.3***",="198.7***"
="",="(7.01)",="(4.40)"

="Flandre et autres états de l'Empereur # Raw mat fuel oils",="120.6***",="179.3**"
="",="(7.86)",="(3.17)"

="Flandre et autres états de l'Empereur # Textile manuf",="139.5***",="156.2**"
="",="(10.05)",="(2.90)"

