
="",="(1)",="(2)"
="",="war # status",="war #goods"

="(sum) value",="",=""
="ally # War",="-0.757***",=""
="",="(-3.96)",=""

="foe # War",="-2.065***",=""
="",="(-5.66)",=""

="neutral # War",="0",=""
="",="(.)",=""

="ally # War # year_of_war",="0.0105",=""
="",="(1.26)",=""

="foe # War # year_of_war",="0.0494**",=""
="",="(3.01)",=""

="neutral # War # year_of_war",="-0.0289",=""
="",="(-1.58)",=""

="Allemagne # European foodstuff and beverage",="0",="0"
="",="(.)",="(.)"

="Allemagne # Other",="82.99***",="34.25"
="",="(4.71)",="(1.09)"

="Allemagne # Plantation foodstuff",="16.70",="-200.3**"
="",="(0.82)",="(-2.98)"

="Allemagne # Raw mat fuel oils",="-29.96",="-87.83*"
="",="(-1.13)",="(-2.00)"

="Allemagne # Textile manuf",="53.41***",="86.45"
="",="(4.21)",="(1.31)"

="Allemagne # Various manuf",="29.90",="58.63*"
="",="(1.81)",="(2.50)"

="Angleterre # European foodstuff and beverage",="17.21",="-54.15"
="",="(0.57)",="(-1.23)"

="Angleterre # Other",="33.64",="-54.19"
="",="(1.34)",="(-1.51)"

="Angleterre # Plantation foodstuff",="41.86*",="-4.883"
="",="(2.22)",="(-0.06)"

="Angleterre # Raw mat fuel oils",="0.231",="-150.3"
="",="(0.00)",="(-1.78)"

="Angleterre # Textile manuf",="-29.00",="-60.54"
="",="(-0.46)",="(-0.61)"

="Angleterre # Various manuf",="-195.8",="-245.4"
="",="(-0.81)",="(-1.01)"

="Espagne # European foodstuff and beverage",="-13.60",="15.24"
="",="(-0.84)",="(0.79)"

="Espagne # Other",="70.07***",="29.20"
="",="(5.64)",="(0.94)"

="Espagne # Plantation foodstuff",="91.63***",="16.42"
="",="(5.03)",="(0.25)"

="Espagne # Raw mat fuel oils",="46.14**",="-5.844"
="",="(3.09)",="(-0.16)"

="Espagne # Textile manuf",="75.31***",="115.7"
="",="(5.39)",="(1.75)"

="Espagne # Various manuf",="74.33***",="107.3***"
="",="(5.91)",="(5.04)"

="Flandre et autres états de l'Empereur # European foodstuff and beverage",="59.44**",="74.16**"
="",="(2.93)",="(2.97)"

="Flandre et autres états de l'Empereur # Other",="98.02**",="32.35"
="",="(3.29)",="(0.88)"

="Flandre et autres états de l'Empereur # Plantation foodstuff",="17.84",="-97.64"
="",="(0.52)",="(-1.33)"

="Flandre et autres états de l'Empereur # Raw mat fuel oils",="53.83**",="-27.69"
="",="(3.21)",="(-0.74)"

="Flandre et autres états de l'Empereur # Textile manuf",="94.86***",="112.4"
="",="(6.54)",="(1.69)"

="Flandre et autres états de l'Empereur # Various manuf",="86.08***",="108.4***"
="",="(5.46)",="(4.53)"

="Hollande # European foodstuff and beverage",="22.01",="59.15**"
="",="(1.60)",="(3.14)"

="Hollande # Other",="-3.904",="-25.09"
="",="(-0.23)",="(-0.81)"

="Hollande # Plantation foodstuff",="54.32*",="-23.80"
="",="(2.00)",="(-0.36)"

="Hollande # Raw mat fuel oils",="-11.71",="-51.90"
="",="(-0.64)",="(-1.44)"

="Hollande # Textile manuf",="26.09",="78.26"
