"reporting","partner","partner type","year","import","export","total","currency","source"
"France","Austria",,1787,34851900,34814300,69666200,"french franc","Statistique générale de la France (1838)"
"France","Bremen_Hamburg_Lubeck",,1787,11419600,60194700,71614300,"french franc","Statistique générale de la France (1838)"
"France","Denmark_Norway",,1787,4990100,6333500,11323600,"french franc","Statistique générale de la France (1838)"
"France","FrenchColonies",,1787,243292000,95509400,338801400,"french franc","Statistique générale de la France (1838)"
"France","Germany",,1787,8835800,22464400,31300200,"french franc","Statistique générale de la France (1838)"
"France","KingdomofSardinia_Genoa",,1787,36611900,25226900,61838800,"french franc","Statistique générale de la France (1838)"
"France","Milan_PapalStates_Tuscany",,1787,5905200,14264800,20170000,"french franc","Statistique générale de la France (1838)"
"France","Netherlands",,1787,24195100,33571500,57766600,"french franc","Statistique générale de la France (1838)"
"France","Portugal",,1787,9085800,3935200,13021000,"french franc","Statistique générale de la France (1838)"
"France","Prussia",,1787,3006900,9008500,12015400,"french franc","Statistique générale de la France (1838)"
"France","RussiaUSSR",,1787,6547700,6630000,13177700,"french franc","Statistique générale de la France (1838)"
"France","Spain",,1787,30339300,40161200,70500500,"french franc","Statistique générale de la France (1838)"
"France","Sweden",,1787,8310700,5043700,13354400,"french franc","Statistique générale de la France (1838)"
"France","Switzerland",,1787,7472000,20531400,28003400,"french franc","Statistique générale de la France (1838)"
"France","Turkey_BarbaryCoast",,1787,37725400,20844700,58570100,"french franc","Statistique générale de la France (1838)"
"France","TwoSicilies",,1787,14914600,5338900,20253500,"french franc","Statistique générale de la France (1838)"
"France","UnitedKingdom",,1787,49440500,34200500,83641000,"french franc","Statistique générale de la France (1838)"
"France","UnitedStatesofAmerica",,1787,14105800,2050600,16156400,"french franc","Statistique générale de la France (1838)"
"France","Worldasreported",,1787,551051100,440124200,991175300,"french franc","Statistique générale de la France (1838)"
"France","Worldsumpartners",,1787,551050300,440124200,991174500,"french franc","Statistique générale de la France (1838)"
"France","Worldbestguess",,1787,551051100,440124200,991175300,"french franc","Statistique générale de la France (1838)"
"France","Austria",,1788,29666600,35123400,64790000,"french franc","Statistique générale de la France (1838)"
"France","Bremen_Hamburg_Lubeck",,1788,10001900,64294200,74296100,"french franc","Statistique générale de la France (1838)"
"France","Denmark_Norway",,1788,3686500,5188700,8875200,"french franc","Statistique générale de la France (1838)"
"France","FrenchColonies",,1788,226582000,100168000,326750000,"french franc","Statistique générale de la France (1838)"
"France","Germany",,1788,8077300,23588600,31665900,"french franc","Statistique générale de la France (1838)"
"France","KingdomofSardinia_Genoa",,1788,30275000,24630100,54905100,"french franc","Statistique générale de la France (1838)"
"France","Milan_PapalStates_Tuscany",,1788,5370800,15174300,20545100,"french franc","Statistique générale de la France (1838)"
"France","Netherlands",,1788,23895700,45661100,69556800,"french franc","Statistique générale de la France (1838)"
"France","Portugal",,1788,9153100,4213600,13366700,"french franc","Statistique générale de la France (1838)"
"France","Prussia",,1788,3512600,9485300,12997900,"french franc","Statistique générale de la France (1838)"
"France","RussiaUSSR",,1788,7877200,5977400,13854600,"french franc","Statistique générale de la France (1838)"
"France","Spain",,1788,27256700,49890200,77146900,"french franc","Statistique générale de la France (1838)"
