;Value of livre (1450-1796) and of franc (1797-1870);
Hoffman;;
juin-05;;
;Ag;
;grams;
;;
;;
1380;8,663;
1381;8,510;
1382;;
1383;;
1384;;
1385;;
1386;;
1387;;
1388;;
1389;;
1390;;
1391;;
1392;;
1393;;
1394;;
1395;;
1396;;
1397;;
1398;34,48534952;
1399;34,48534952;
1400;34,48534952;
1401;34,48534952;
1402;34,48534952;
1403;34,48534952;
1404;34,48534952;
1405;33,67495338;
1406;34,22183051;
1407;34,22183051;
1408;34,22183051;
1409;34,22183051;
1410;34,22183051;
1411;33,32321307;
1412;28,83012586;
1413;30,73853314;
1414;30,17286326;
1415;28,83012586;
1416;28,83012586;
1417;23,78106908;
1418;15,39194549;
1419;11,52385946;
1420;10,09019939;
1421;31,04718252;
1422;30,35388044;
1423;30,75341465;
1424;30,65336949;
1425;32,98341381;
1426;29,49286163;
1427;26,83985959;
1428;24,32929323;
1429;10,09214646;
1430;27,0869931;
1431;29,01477959;
1432;26,88535218;
1433;22,99580483;
1434;22,99580483;
1435;24,43302543;
1436;27,85299243;
1437;28,01577187;
1438;19,05787801;
1439;19,05787801;
1440;19,05787801;
1441;19,05787801;
1442;19,05787801;
1443;19,05787801;
1444;19,05787801;
1445;19,05787801;
1446;19,05787801;
1447;26,18949234;
1448;26,54047683;
1449;26,54047683;
1450;26,540;
1451;26,540;
1452;26,540;
1453;26,540;
1454;26,540;
1455;26,181;
1456;24,479;
1457;23,521;
1458;23,521;
1459;23,521;
1460;23,521;
1461;23,521;
1462;23,521;
1463;23,521;
1464;23,521;
1465;24,542;
1466;25,564;
1467;25,111;
1468;22,480;
1469;22,480;
1470;20,811;
1471;25,579;
1472;25,579;
1473;25,579;
1474;22,969;
1475;22,571;
1476;21,217;
1477;21,511;
1478;22,610;
1479;21,113;
1480;21,113;
1481;21,113;
1482;21,113;
1483;21,113;
1484;21,113;
1485;21,113;
1486;21,848;
1487;21,995;
1488;21,376;
1489;19,864;
1490;19,864;
1491;19,864;
1492;19,864;
1493;19,864;
1494;19,864;
1495;19,864;
1496;19,864;
1497;19,864;
1498;19,864;
1499;19,864;
1500;19,864;
1501;19,864;
1502;19,864;
1503;19,864;
1504;19,864;
1505;19,864;
1506;19,864;
1507;19,864;
1508;19,864;
1509;19,864;
1510;19,864;
1511;19,866;
1512;19,887;
1513;18,435;
1514;17,950;
1515;17,950;
1516;17,950;
1517;17,950;
1518;17,950;
1519;17,950;
1520;17,950;
1521;17,759;
1522;17,184;
1523;17,184;
1524;17,184;
1525;17,184;
1526;17,184;
1527;17,184;
1528;17,184;
1529;17,184;
1530;17,184;
1531;17,184;
1532;17,184;
1533;16,502;
1534;16,365;
1535;16,365;
1536;16,365;
1537;16,365;
1538;16,365;
1539;16,365;
1540;16,365;
1541;16,174;
1542;16,110;
1543;15,906;
1544;15,622;
1545;15,622;
1546;15,622;
1547;15,622;
1548;15,622;
1549;15,612;
1550;15,145;
1551;15,106;
1552;15,106;
1553;15,106;
1554;15,106;
1555;15,106;
1556;15,106;
1557;15,106;
1558;15,106;
1559;15,106;
1560;15,106;
1561;14,830;
1562;14,267;
1563;14,267;
1564;14,267;
1565;14,267;
1566;14,267;
1567;14,267;
1568;14,267;
1569;14,267;
1570;14,267;
1571;14,267;
1572;14,267;
1573;13,627;
1574;13,170;
1575;12,489;
1576;11,807;
1577;11,346;
1578;11,807;
1579;11,807;
1580;11,807;
1581;11,807;
1582;11,807;
1583;11,807;
1584;11,807;
1585;11,807;
1586;11,807;
1587;11,807;
1588;11,807;
1589;11,807;
1590;11,807;
1591;11,807;
1592;11,807;
1593;11,807;
1594;11,807;
1595;11,807;
1596;11,807;
1597;11,807;
1598;11,807;
1599;11,807;
1600;11,807;
1601;11,807;
1602;11,538;
1603;10,992;
1604;10,992;
1605;10,992;
1606;10,992;
1607;10,992;
1608;10,992;
